ED,Reported As,Reporting,Michael A. Walrond Jr.,Adriano Espaillat,Charles B. Rangel,Scattered,Yolanda Garcia,Total Votes,p_Michael A. Walrond Jr.,p_Adriano Espaillat,p_Charles B. Rangel,p_Scattered,p_Yolanda Garcia,winner,winner_p
71041,71041,100,8,103,66,1,2,180,0.044444444444444446,0.5722222222222222,0.36666666666666664,0.005555555555555556,0.011111111111111112,Adriano Espaillat,0.5722222222222222
71042,71042,100,6,64,50,0,0,120,0.05,0.5333333333333333,0.4166666666666667,0.0,0.0,Adriano Espaillat,0.5333333333333333
71043,71043,100,0,125,47,0,1,173,0.0,0.7225433526011561,0.27167630057803466,0.0,0.005780346820809248,Adriano Espaillat,0.7225433526011561
71044,71044,100,7,27,33,0,1,68,0.10294117647058823,0.39705882352941174,0.4852941176470588,0.0,0.014705882352941176,Charles B. Rangel,0.4852941176470588
71045,71045,100,0,58,31,0,2,91,0.0,0.6373626373626373,0.34065934065934067,0.0,0.02197802197802198,Adriano Espaillat,0.6373626373626373
71046,71046,100,4,106,50,0,1,161,0.024844720496894408,0.6583850931677019,0.3105590062111801,0.0,0.006211180124223602,Adriano Espaillat,0.6583850931677019
71047,71047,100,19,52,154,2,1,228,0.08333333333333333,0.22807017543859648,0.6754385964912281,0.008771929824561403,0.0043859649122807015,Charles B. Rangel,0.6754385964912281
71048,71048,100,2,96,28,0,1,127,0.015748031496062992,0.7559055118110236,0.2204724409448819,0.0,0.007874015748031496,Adriano Espaillat,0.7559055118110236
71049,71049,100,2,117,35,0,0,154,0.012987012987012988,0.7597402597402597,0.22727272727272727,0.0,0.0,Adriano Espaillat,0.7597402597402597
71050,71050,100,2,89,34,0,0,125,0.016,0.712,0.272,0.0,0.0,Adriano Espaillat,0.712
71051,71051,100,0,30,9,0,0,39,0.0,0.7692307692307693,0.23076923076923078,0.0,0.0,Adriano Espaillat,0.7692307692307693
71052,71052,100,2,67,26,0,0,95,0.021052631578947368,0.7052631578947368,0.2736842105263158,0.0,0.0,Adriano Espaillat,0.7052631578947368
71053,71053,100,2,65,15,0,0,82,0.024390243902439025,0.7926829268292683,0.18292682926829268,0.0,0.0,Adriano Espaillat,0.7926829268292683
71054,71054,100,5,105,21,0,1,132,0.03787878787878788,0.7954545454545454,0.1590909090909091,0.0,0.007575757575757576,Adriano Espaillat,0.7954545454545454
71055,71055,100,2,54,41,0,0,97,0.020618556701030927,0.5567010309278351,0.422680412371134,0.0,0.0,Adriano Espaillat,0.5567010309278351
71056,71056,100,1,144,23,1,2,171,0.005847953216374269,0.8421052631578947,0.13450292397660818,0.005847953216374269,0.011695906432748537,Adriano Espaillat,0.8421052631578947
71057,71057,100,1,49,22,1,0,73,0.0136986301369863,0.6712328767123288,0.3013698630136986,0.0136986301369863,0.0,Adriano Espaillat,0.6712328767123288
71058,71058,100,5,86,23,0,0,114,0.043859649122807015,0.7543859649122807,0.20175438596491227,0.0,0.0,Adriano Espaillat,0.7543859649122807
71059,71059,100,1,59,24,0,1,85,0.011764705882352941,0.6941176470588235,0.2823529411764706,0.0,0.011764705882352941,Adriano Espaillat,0.6941176470588235
71060,71060,100,3,63,22,0,0,88,0.03409090909090909,0.7159090909090909,0.25,0.0,0.0,Adriano Espaillat,0.7159090909090909
71061,71061,100,0,30,18,1,0,49,0.0,0.6122448979591837,0.3673469387755102,0.02040816326530612,0.0,Adriano Espaillat,0.6122448979591837
71062,71062,100,2,38,27,0,2,69,0.028985507246376812,0.5507246376811594,0.391304347826087,0.0,0.028985507246376812,Adriano Espaillat,0.5507246376811594
71063,71063,100,1,64,36,0,0,101,0.009900990099009901,0.6336633663366337,0.3564356435643564,0.0,0.0,Adriano Espaillat,0.6336633663366337
71064,71064,100,3,85,35,0,4,127,0.023622047244094488,0.6692913385826772,0.2755905511811024,0.0,0.031496062992125984,Adriano Espaillat,0.6692913385826772
71065,71065,100,0,58,31,1,0,90,0.0,0.6444444444444445,0.34444444444444444,0.011111111111111112,0.0,Adriano Espaillat,0.6444444444444445
71066,71066,100,2,99,21,0,0,122,0.01639344262295082,0.8114754098360656,0.1721311475409836,0.0,0.0,Adriano Espaillat,0.8114754098360656
71067,71067,100,3,99,19,0,0,121,0.024793388429752067,0.8181818181818182,0.15702479338842976,0.0,0.0,Adriano Espaillat,0.8181818181818182
71068,71068,100,1,34,16,0,1,52,0.019230769230769232,0.6538461538461539,0.3076923076923077,0.0,0.019230769230769232,Adriano Espaillat,0.6538461538461539
71069,71069,100,1,104,26,0,2,133,0.007518796992481203,0.7819548872180451,0.19548872180451127,0.0,0.015037593984962405,Adriano Espaillat,0.7819548872180451
71070,71070,100,3,107,35,0,1,146,0.02054794520547945,0.7328767123287672,0.23972602739726026,0.0,0.00684931506849315,Adriano Espaillat,0.7328767123287672
71071,71071,100,1,15,5,0,0,21,0.047619047619047616,0.7142857142857143,0.23809523809523808,0.0,0.0,Adriano Espaillat,0.7142857142857143
71072,71072,100,1,102,23,1,1,128,0.0078125,0.796875,0.1796875,0.0078125,0.0078125,Adriano Espaillat,0.796875
71073,71073,100,5,72,38,0,0,115,0.043478260869565216,0.6260869565217392,0.33043478260869563,0.0,0.0,Adriano Espaillat,0.6260869565217392
71074,71074,100,0,76,27,0,3,106,0.0,0.7169811320754716,0.25471698113207547,0.0,0.02830188679245283,Adriano Espaillat,0.7169811320754716
71075,71075,100,0,87,24,0,0,111,0.0,0.7837837837837838,0.21621621621621623,0.0,0.0,Adriano Espaillat,0.7837837837837838
71076,71076,100,3,93,40,1,5,142,0.02112676056338028,0.6549295774647887,0.28169014084507044,0.007042253521126761,0.035211267605633804,Adriano Espaillat,0.6549295774647887
71077,71077,100,5,92,52,0,1,150,0.03333333333333333,0.6133333333333333,0.3466666666666667,0.0,0.006666666666666667,Adriano Espaillat,0.6133333333333333
71078,71078,100,8,132,68,2,2,212,0.03773584905660377,0.6226415094339622,0.32075471698113206,0.009433962264150943,0.009433962264150943,Adriano Espaillat,0.6226415094339622
71079,71079,100,7,92,55,2,2,158,0.04430379746835443,0.5822784810126582,0.34810126582278483,0.012658227848101266,0.012658227848101266,Adriano Espaillat,0.5822784810126582
71080,71080,100,5,46,24,0,0,75,0.06666666666666667,0.6133333333333333,0.32,0.0,0.0,Adriano Espaillat,0.6133333333333333
71081,71081,100,1,84,44,0,1,130,0.007692307692307693,0.6461538461538462,0.3384615384615385,0.0,0.007692307692307693,Adriano Espaillat,0.6461538461538462
71082,71082,100,2,76,28,0,0,106,0.018867924528301886,0.7169811320754716,0.2641509433962264,0.0,0.0,Adriano Espaillat,0.7169811320754716
71083,71083,100,13,139,91,1,2,246,0.052845528455284556,0.5650406504065041,0.3699186991869919,0.0040650406504065045,0.008130081300813009,Adriano Espaillat,0.5650406504065041
71084,71084,100,2,41,37,0,1,81,0.024691358024691357,0.5061728395061729,0.4567901234567901,0.0,0.012345679012345678,Adriano Espaillat,0.5061728395061729
71085,71085,100,5,57,51,0,1,114,0.043859649122807015,0.5,0.4473684210526316,0.0,0.008771929824561403,Adriano Espaillat,0.5
71086,71086,100,0,4,9,0,1,14,0.0,0.2857142857142857,0.6428571428571429,0.0,0.07142857142857142,Charles B. Rangel,0.6428571428571429
71087,71087,100,11,27,88,2,3,131,0.08396946564885496,0.20610687022900764,0.6717557251908397,0.015267175572519083,0.022900763358778626,Charles B. Rangel,0.6717557251908397
71088,71088,100,10,33,97,1,1,142,0.07042253521126761,0.2323943661971831,0.6830985915492958,0.007042253521126761,0.007042253521126761,Charles B. Rangel,0.6830985915492958
71089,71089,100,13,23,56,0,2,94,0.13829787234042554,0.24468085106382978,0.5957446808510638,0.0,0.02127659574468085,Charles B. Rangel,0.5957446808510638
71090,71090,100,20,22,93,1,1,137,0.145985401459854,0.16058394160583941,0.6788321167883211,0.0072992700729927005,0.0072992700729927005,Charles B. Rangel,0.6788321167883211
71091,71091,100,25,15,86,2,0,128,0.1953125,0.1171875,0.671875,0.015625,0.0,Charles B. Rangel,0.671875
