ED,Reported As,Reporting,Ruth H. Thompson,Crystal Collins,Scattered,Total Votes,p_Ruth H. Thompson,p_Crystal Collins,p_Scattered,winner,winner_p
82082,82082,100,53,8,0,61,0.8688524590163934,0.13114754098360656,0.0,Ruth H. Thompson,0.8688524590163934
82083,82083,100,45,5,0,50,0.9,0.1,0.0,Ruth H. Thompson,0.9
82084,82084,100,51,9,0,60,0.85,0.15,0.0,Ruth H. Thompson,0.85
82085,82085,100,69,16,0,85,0.8117647058823529,0.18823529411764706,0.0,Ruth H. Thompson,0.8117647058823529
82086,82086,100,57,1,0,58,0.9827586206896551,0.017241379310344827,0.0,Ruth H. Thompson,0.9827586206896551
82087,82087,100,47,4,1,52,0.9038461538461539,0.07692307692307693,0.019230769230769232,Ruth H. Thompson,0.9038461538461539
82088,82088,100,44,6,0,50,0.88,0.12,0.0,Ruth H. Thompson,0.88
82089,82089,100,63,12,0,75,0.84,0.16,0.0,Ruth H. Thompson,0.84
82090,82090,100,39,13,0,52,0.75,0.25,0.0,Ruth H. Thompson,0.75
82091,82091,100,60,15,0,75,0.8,0.2,0.0,Ruth H. Thompson,0.8
82092,82092,100,47,5,0,52,0.9038461538461539,0.09615384615384616,0.0,Ruth H. Thompson,0.9038461538461539
82093,82093,100,48,6,0,54,0.8888888888888888,0.1111111111111111,0.0,Ruth H. Thompson,0.8888888888888888
82094,82094,100,44,10,3,57,0.7719298245614035,0.17543859649122806,0.05263157894736842,Ruth H. Thompson,0.7719298245614035
82095,82095,100,49,9,0,58,0.8448275862068966,0.15517241379310345,0.0,Ruth H. Thompson,0.8448275862068966
82096,82096,100,39,7,0,46,0.8478260869565217,0.15217391304347827,0.0,Ruth H. Thompson,0.8478260869565217
82097,82097,100,62,14,0,76,0.8157894736842105,0.18421052631578946,0.0,Ruth H. Thompson,0.8157894736842105
82098,82098,100,87,18,0,105,0.8285714285714286,0.17142857142857143,0.0,Ruth H. Thompson,0.8285714285714286
82099,82099,100,85,15,0,100,0.85,0.15,0.0,Ruth H. Thompson,0.85
82100,82100,100,69,12,0,81,0.8518518518518519,0.14814814814814814,0.0,Ruth H. Thompson,0.8518518518518519
82101,82101,100,49,8,0,57,0.8596491228070176,0.14035087719298245,0.0,Ruth H. Thompson,0.8596491228070176
82102,82102,100,49,9,0,58,0.8448275862068966,0.15517241379310345,0.0,Ruth H. Thompson,0.8448275862068966
82103,82103,100,49,1,0,50,0.98,0.02,0.0,Ruth H. Thompson,0.98
82104,82104,100,56,17,1,74,0.7567567567567568,0.22972972972972974,0.013513513513513514,Ruth H. Thompson,0.7567567567567568
82105,82105,100,79,14,0,93,0.8494623655913979,0.15053763440860216,0.0,Ruth H. Thompson,0.8494623655913979
82109,82109,100,21,14,0,35,0.6,0.4,0.0,Ruth H. Thompson,0.6
82110,82054,100,0,0,0,0,0,0,0,n/a,0
82111,82091,100,0,0,0,0,0,0,0,n/a,0
82113,82091,100,0,0,0,0,0,0,0,n/a,0
82116,82091,100,0,0,0,0,0,0,0,n/a,0
83001,83001,100,57,10,0,67,0.8507462686567164,0.14925373134328357,0.0,Ruth H. Thompson,0.8507462686567164
83004,83004,100,24,4,0,28,0.8571428571428571,0.14285714285714285,0.0,Ruth H. Thompson,0.8571428571428571
83002,83004,100,0,0,0,0,0,0,0,n/a,0
83003,83003,100,38,4,0,42,0.9047619047619048,0.09523809523809523,0.0,Ruth H. Thompson,0.9047619047619048
83005,83005,100,8,1,0,9,0.8888888888888888,0.1111111111111111,0.0,Ruth H. Thompson,0.8888888888888888
83006,83006,100,42,7,0,49,0.8571428571428571,0.14285714285714285,0.0,Ruth H. Thompson,0.8571428571428571
83007,83007,100,56,7,0,63,0.8888888888888888,0.1111111111111111,0.0,Ruth H. Thompson,0.8888888888888888
83008,83008,100,41,7,0,48,0.8541666666666666,0.14583333333333334,0.0,Ruth H. Thompson,0.8541666666666666
83009,83009,100,33,6,0,39,0.8461538461538461,0.15384615384615385,0.0,Ruth H. Thompson,0.8461538461538461
83010,83010,100,7,4,0,11,0.6363636363636364,0.36363636363636365,0.0,Ruth H. Thompson,0.6363636363636364
83011,83011,100,42,3,0,45,0.9333333333333333,0.06666666666666667,0.0,Ruth H. Thompson,0.9333333333333333
83012,83012,100,0,0,0,0,0,0,0,n/a,0
83013,83013,100,46,7,0,53,0.8679245283018868,0.1320754716981132,0.0,Ruth H. Thompson,0.8679245283018868
