ED,Reported As,Reporting,Ed A. Hartzog,Gus Christensen,Rebecca A. Seawright,Scattered,David J. Menegon,Total Votes,p_Ed A. Hartzog,p_Gus Christensen,p_Rebecca A. Seawright,p_Scattered,p_David J. Menegon,winner,winner_p
76030,76030,100,2,18,14,0,4,38,0.05263157894736842,0.47368421052631576,0.3684210526315789,0.0,0.10526315789473684,Gus Christensen,0.47368421052631576
76031,76031,100,13,20,24,0,5,62,0.20967741935483872,0.3225806451612903,0.3870967741935484,0.0,0.08064516129032258,Rebecca A. Seawright,0.3870967741935484
76032,76032,100,11,23,44,0,11,89,0.12359550561797752,0.25842696629213485,0.4943820224719101,0.0,0.12359550561797752,Rebecca A. Seawright,0.4943820224719101
76033,76033,100,15,23,28,0,6,72,0.20833333333333334,0.3194444444444444,0.3888888888888889,0.0,0.08333333333333333,Rebecca A. Seawright,0.3888888888888889
76034,76034,100,5,24,48,0,14,91,0.054945054945054944,0.26373626373626374,0.5274725274725275,0.0,0.15384615384615385,Rebecca A. Seawright,0.5274725274725275
76035,76035,100,15,63,62,0,9,149,0.10067114093959731,0.4228187919463087,0.4161073825503356,0.0,0.06040268456375839,Gus Christensen,0.4228187919463087
76036,76036,100,1,19,24,0,5,49,0.02040816326530612,0.3877551020408163,0.4897959183673469,0.0,0.10204081632653061,Rebecca A. Seawright,0.4897959183673469
76037,76037,100,2,23,27,0,6,58,0.034482758620689655,0.39655172413793105,0.46551724137931033,0.0,0.10344827586206896,Rebecca A. Seawright,0.46551724137931033
76038,76038,100,5,24,28,1,9,67,0.07462686567164178,0.3582089552238806,0.417910447761194,0.014925373134328358,0.13432835820895522,Rebecca A. Seawright,0.417910447761194
76039,76039,100,5,28,30,0,8,71,0.07042253521126761,0.39436619718309857,0.4225352112676056,0.0,0.11267605633802817,Rebecca A. Seawright,0.4225352112676056
