ED,Reported As,Reporting,William H. Miles,Gabriel McQueen,Anthony T. Jones,Barry Cooper,Daniel Goodine,Scattered,Lamont Carolina,Total Votes,p_William H. Miles,p_Gabriel McQueen,p_Anthony T. Jones,p_Barry Cooper,p_Daniel Goodine,p_Scattered,p_Lamont Carolina,winner,winner_p
55088,55088,100,7,9,30,4,11,0,10,71,0.09859154929577464,0.1267605633802817,0.4225352112676056,0.056338028169014086,0.15492957746478872,0.0,0.14084507042253522,Anthony T. Jones,0.4225352112676056
55089,55089,100,5,12,26,7,3,0,14,67,0.07462686567164178,0.1791044776119403,0.3880597014925373,0.1044776119402985,0.04477611940298507,0.0,0.208955223880597,Anthony T. Jones,0.3880597014925373
55090,55090,100,4,8,11,5,12,1,1,42,0.09523809523809523,0.19047619047619047,0.2619047619047619,0.11904761904761904,0.2857142857142857,0.023809523809523808,0.023809523809523808,Daniel Goodine,0.2857142857142857
55091,55091,100,5,16,32,11,10,0,12,86,0.05813953488372093,0.18604651162790697,0.37209302325581395,0.12790697674418605,0.11627906976744186,0.0,0.13953488372093023,Anthony T. Jones,0.37209302325581395
55092,55092,100,4,10,32,7,11,0,8,72,0.05555555555555555,0.1388888888888889,0.4444444444444444,0.09722222222222222,0.1527777777777778,0.0,0.1111111111111111,Anthony T. Jones,0.4444444444444444
55093,55093,100,5,10,20,1,12,0,2,50,0.1,0.2,0.4,0.02,0.24,0.0,0.04,Anthony T. Jones,0.4
55094,55094,100,3,6,20,13,6,0,5,53,0.05660377358490566,0.11320754716981132,0.37735849056603776,0.24528301886792453,0.11320754716981132,0.0,0.09433962264150944,Anthony T. Jones,0.37735849056603776
55095,55095,100,0,2,4,3,1,1,3,14,0.0,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.21428571428571427,Anthony T. Jones,0.2857142857142857
55096,55096,100,0,3,8,1,2,0,2,16,0.0,0.1875,0.5,0.0625,0.125,0.0,0.125,Anthony T. Jones,0.5
55097,55097,100,4,7,29,4,16,0,6,66,0.06060606060606061,0.10606060606060606,0.4393939393939394,0.06060606060606061,0.24242424242424243,0.0,0.09090909090909091,Anthony T. Jones,0.4393939393939394
