ED,Reported As,Reporting,Steven Hasty,Michael Berger,James Maleady,Sara Shoener,William H. Smith,Courtney DeDona,Thomas F. Smith,David Niederman,Scattered,Eileen M. Cavaliere,Erin Drinkwater,Ramona Vergara,Total Votes,p_Steven Hasty,p_Michael Berger,p_James Maleady,p_Sara Shoener,p_William H. Smith,p_Courtney DeDona,p_Thomas F. Smith,p_David Niederman,p_Scattered,p_Eileen M. Cavaliere,p_Erin Drinkwater,p_Ramona Vergara,winner,winner_p
50018,50018,100,10,14,14,15,7,18,8,14,2,21,21,20,164,0.06097560975609756,0.08536585365853659,0.08536585365853659,0.09146341463414634,0.042682926829268296,0.10975609756097561,0.04878048780487805,0.08536585365853659,0.012195121951219513,0.12804878048780488,0.12804878048780488,0.12195121951219512,Tie,0.12804878048780488
50019,50019,100,21,22,19,37,12,26,10,10,1,32,32,29,251,0.08366533864541832,0.08764940239043825,0.07569721115537849,0.14741035856573706,0.04780876494023904,0.10358565737051793,0.0398406374501992,0.0398406374501992,0.00398406374501992,0.12749003984063745,0.12749003984063745,0.11553784860557768,Sara Shoener,0.14741035856573706
50020,50020,100,6,12,9,12,3,8,4,4,6,10,18,11,103,0.05825242718446602,0.11650485436893204,0.08737864077669903,0.11650485436893204,0.02912621359223301,0.07766990291262135,0.038834951456310676,0.038834951456310676,0.05825242718446602,0.0970873786407767,0.17475728155339806,0.10679611650485436,Erin Drinkwater,0.17475728155339806
50021,50021,100,8,9,9,20,4,21,2,6,0,20,22,18,139,0.05755395683453238,0.06474820143884892,0.06474820143884892,0.14388489208633093,0.02877697841726619,0.1510791366906475,0.014388489208633094,0.04316546762589928,0.0,0.14388489208633093,0.15827338129496402,0.12949640287769784,Erin Drinkwater,0.15827338129496402
50022,50022,100,4,5,3,10,4,9,3,2,0,10,11,9,70,0.05714285714285714,0.07142857142857142,0.04285714285714286,0.14285714285714285,0.05714285714285714,0.12857142857142856,0.04285714285714286,0.02857142857142857,0.0,0.14285714285714285,0.15714285714285714,0.12857142857142856,Erin Drinkwater,0.15714285714285714
50056,50056,100,1,1,1,2,0,0,0,0,1,0,1,3,10,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3,Ramona Vergara,0.3
50023,50056,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50039,50039,100,8,10,8,15,4,9,7,7,3,11,16,12,110,0.07272727272727272,0.09090909090909091,0.07272727272727272,0.13636363636363635,0.03636363636363636,0.08181818181818182,0.06363636363636363,0.06363636363636363,0.02727272727272727,0.1,0.14545454545454545,0.10909090909090909,Erin Drinkwater,0.14545454545454545
50024,50039,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50025,50025,100,0,2,0,2,2,2,1,3,0,3,0,3,18,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,Tie,0.16666666666666666
50026,50026,100,10,9,7,16,10,16,11,11,0,20,15,19,144,0.06944444444444445,0.0625,0.04861111111111111,0.1111111111111111,0.06944444444444445,0.1111111111111111,0.0763888888888889,0.0763888888888889,0.0,0.1388888888888889,0.10416666666666667,0.13194444444444445,Eileen M. Cavaliere,0.1388888888888889
