ED,Reported As,Reporting,S.J. Jung,Toby Ann Stavisky,Scattered,Total Votes,p_S.J. Jung,p_Toby Ann Stavisky,p_Scattered,winner,winner_p
39037,39037,100,18,13,0,31,0.5806451612903226,0.41935483870967744,0.0,S.J. Jung,0.5806451612903226
39038,39038,100,25,14,0,39,0.6410256410256411,0.358974358974359,0.0,S.J. Jung,0.6410256410256411
39039,39038,100,0,0,0,0,0,0,0,n/a,0
39040,39040,100,11,10,0,21,0.5238095238095238,0.47619047619047616,0.0,S.J. Jung,0.5238095238095238
39042,39040,100,0,0,0,0,0,0,0,n/a,0
39048,39048,100,17,18,0,35,0.4857142857142857,0.5142857142857142,0.0,Toby Ann Stavisky,0.5142857142857142
39049,39049,100,48,16,0,64,0.75,0.25,0.0,S.J. Jung,0.75
40003,40003,100,35,25,0,60,0.5833333333333334,0.4166666666666667,0.0,S.J. Jung,0.5833333333333334
40011,40011,100,7,6,0,13,0.5384615384615384,0.46153846153846156,0.0,S.J. Jung,0.5384615384615384
40012,40011,100,0,0,0,0,0,0,0,n/a,0
40016,40016,100,51,59,1,111,0.4594594594594595,0.5315315315315315,0.009009009009009009,Toby Ann Stavisky,0.5315315315315315
40017,40017,100,9,20,1,30,0.3,0.6666666666666666,0.03333333333333333,Toby Ann Stavisky,0.6666666666666666
40018,40018,100,65,45,1,111,0.5855855855855856,0.40540540540540543,0.009009009009009009,S.J. Jung,0.5855855855855856
40019,40019,100,66,34,0,100,0.66,0.34,0.0,S.J. Jung,0.66
40020,40020,100,79,28,0,107,0.7383177570093458,0.2616822429906542,0.0,S.J. Jung,0.7383177570093458
40021,40021,100,69,22,1,92,0.75,0.2391304347826087,0.010869565217391304,S.J. Jung,0.75
40022,40022,100,55,89,1,145,0.3793103448275862,0.6137931034482759,0.006896551724137931,Toby Ann Stavisky,0.6137931034482759
40023,40023,100,71,30,0,101,0.7029702970297029,0.297029702970297,0.0,S.J. Jung,0.7029702970297029
40024,40024,100,72,36,0,108,0.6666666666666666,0.3333333333333333,0.0,S.J. Jung,0.6666666666666666
40025,40025,100,65,36,0,101,0.6435643564356436,0.3564356435643564,0.0,S.J. Jung,0.6435643564356436
40026,40026,100,34,25,1,60,0.5666666666666667,0.4166666666666667,0.016666666666666666,S.J. Jung,0.5666666666666667
40027,40027,100,32,16,5,53,0.6037735849056604,0.3018867924528302,0.09433962264150944,S.J. Jung,0.6037735849056604
40029,40029,100,35,24,0,59,0.5932203389830508,0.4067796610169492,0.0,S.J. Jung,0.5932203389830508
40030,40030,100,48,28,0,76,0.631578947368421,0.3684210526315789,0.0,S.J. Jung,0.631578947368421
40031,40031,100,47,34,1,82,0.573170731707317,0.4146341463414634,0.012195121951219513,S.J. Jung,0.573170731707317
40032,40032,100,24,34,0,58,0.41379310344827586,0.5862068965517241,0.0,Toby Ann Stavisky,0.5862068965517241
40033,40033,100,44,61,0,105,0.41904761904761906,0.580952380952381,0.0,Toby Ann Stavisky,0.580952380952381
40034,40034,100,18,25,1,44,0.4090909090909091,0.5681818181818182,0.022727272727272728,Toby Ann Stavisky,0.5681818181818182
40035,40035,100,49,53,0,102,0.4803921568627451,0.5196078431372549,0.0,Toby Ann Stavisky,0.5196078431372549
40036,40036,100,60,72,0,132,0.45454545454545453,0.5454545454545454,0.0,Toby Ann Stavisky,0.5454545454545454
