ED,Reported As,Reporting,Munir Avery,Malcolm A. Smith,Leroy G. Comrie Jr.,Scattered,Total Votes,p_Munir Avery,p_Malcolm A. Smith,p_Leroy G. Comrie Jr.,p_Scattered,winner,winner_p
27071,27021,100,0,0,0,0,0,0,0,0,0,n/a,0
28007,28007,100,1,7,13,0,21,0.047619047619047616,0.3333333333333333,0.6190476190476191,0.0,Leroy G. Comrie Jr.,0.6190476190476191
28011,28011,100,3,5,14,0,22,0.13636363636363635,0.22727272727272727,0.6363636363636364,0.0,Leroy G. Comrie Jr.,0.6363636363636364
28025,28025,100,3,12,31,0,46,0.06521739130434782,0.2608695652173913,0.6739130434782609,0.0,Leroy G. Comrie Jr.,0.6739130434782609
28026,28026,100,2,5,19,0,26,0.07692307692307693,0.19230769230769232,0.7307692307692307,0.0,Leroy G. Comrie Jr.,0.7307692307692307
29001,29001,100,41,5,26,0,72,0.5694444444444444,0.06944444444444445,0.3611111111111111,0.0,Munir Avery,0.5694444444444444
29002,29002,100,33,21,49,0,103,0.32038834951456313,0.20388349514563106,0.47572815533980584,0.0,Leroy G. Comrie Jr.,0.47572815533980584
29003,29003,100,57,6,31,1,95,0.6,0.06315789473684211,0.3263157894736842,0.010526315789473684,Munir Avery,0.6
29006,29006,100,7,9,44,0,60,0.11666666666666667,0.15,0.7333333333333333,0.0,Leroy G. Comrie Jr.,0.7333333333333333
29008,29008,100,27,16,40,0,83,0.3253012048192771,0.1927710843373494,0.4819277108433735,0.0,Leroy G. Comrie Jr.,0.4819277108433735
29012,29012,100,8,24,44,0,76,0.10526315789473684,0.3157894736842105,0.5789473684210527,0.0,Leroy G. Comrie Jr.,0.5789473684210527
29013,29013,100,11,10,13,0,34,0.3235294117647059,0.29411764705882354,0.38235294117647056,0.0,Leroy G. Comrie Jr.,0.38235294117647056
29014,29014,100,9,14,31,0,54,0.16666666666666666,0.25925925925925924,0.5740740740740741,0.0,Leroy G. Comrie Jr.,0.5740740740740741
29015,29015,100,48,15,43,0,106,0.4528301886792453,0.14150943396226415,0.4056603773584906,0.0,Munir Avery,0.4528301886792453
29016,29016,100,33,11,18,0,62,0.532258064516129,0.1774193548387097,0.2903225806451613,0.0,Munir Avery,0.532258064516129
29017,29017,100,11,41,42,0,94,0.11702127659574468,0.43617021276595747,0.44680851063829785,0.0,Leroy G. Comrie Jr.,0.44680851063829785
29018,29018,100,15,22,31,0,68,0.22058823529411764,0.3235294117647059,0.45588235294117646,0.0,Leroy G. Comrie Jr.,0.45588235294117646
29019,29019,100,5,12,19,0,36,0.1388888888888889,0.3333333333333333,0.5277777777777778,0.0,Leroy G. Comrie Jr.,0.5277777777777778
29020,29020,100,7,19,54,0,80,0.0875,0.2375,0.675,0.0,Leroy G. Comrie Jr.,0.675
29021,29021,100,11,26,86,2,125,0.088,0.208,0.688,0.016,Leroy G. Comrie Jr.,0.688
29022,29022,100,14,20,106,0,140,0.1,0.14285714285714285,0.7571428571428571,0.0,Leroy G. Comrie Jr.,0.7571428571428571
29023,29023,100,9,23,79,2,113,0.07964601769911504,0.20353982300884957,0.6991150442477876,0.017699115044247787,Leroy G. Comrie Jr.,0.6991150442477876
29024,29024,100,7,37,140,0,184,0.03804347826086957,0.20108695652173914,0.7608695652173914,0.0,Leroy G. Comrie Jr.,0.7608695652173914
29025,29025,100,12,25,139,0,176,0.06818181818181818,0.14204545454545456,0.7897727272727273,0.0,Leroy G. Comrie Jr.,0.7897727272727273
29026,29026,100,11,46,122,0,179,0.061452513966480445,0.2569832402234637,0.6815642458100558,0.0,Leroy G. Comrie Jr.,0.6815642458100558
29027,29027,100,6,19,84,0,109,0.05504587155963303,0.1743119266055046,0.7706422018348624,0.0,Leroy G. Comrie Jr.,0.7706422018348624
29028,29028,100,3,30,83,0,116,0.02586206896551724,0.25862068965517243,0.7155172413793104,0.0,Leroy G. Comrie Jr.,0.7155172413793104
29029,29029,100,4,20,94,0,118,0.03389830508474576,0.1694915254237288,0.7966101694915254,0.0,Leroy G. Comrie Jr.,0.7966101694915254
29030,29030,100,5,17,100,0,122,0.040983606557377046,0.13934426229508196,0.819672131147541,0.0,Leroy G. Comrie Jr.,0.819672131147541
29031,29031,100,4,28,96,1,129,0.031007751937984496,0.21705426356589147,0.7441860465116279,0.007751937984496124,Leroy G. Comrie Jr.,0.7441860465116279
29032,29032,100,1,19,102,0,122,0.00819672131147541,0.1557377049180328,0.8360655737704918,0.0,Leroy G. Comrie Jr.,0.8360655737704918
29033,29033,100,7,16,77,0,100,0.07,0.16,0.77,0.0,Leroy G. Comrie Jr.,0.77
29034,29034,100,2,11,84,1,98,0.02040816326530612,0.11224489795918367,0.8571428571428571,0.01020408163265306,Leroy G. Comrie Jr.,0.8571428571428571
29036,29036,100,19,7,18,0,44,0.4318181818181818,0.1590909090909091,0.4090909090909091,0.0,Munir Avery,0.4318181818181818
29037,29037,100,7,15,28,0,50,0.14,0.3,0.56,0.0,Leroy G. Comrie Jr.,0.56
29038,29038,100,18,16,35,0,69,0.2608695652173913,0.2318840579710145,0.5072463768115942,0.0,Leroy G. Comrie Jr.,0.5072463768115942
29039,29039,100,6,6,15,1,28,0.21428571428571427,0.21428571428571427,0.5357142857142857,0.03571428571428571,Leroy G. Comrie Jr.,0.5357142857142857
29050,29050,100,3,27,68,0,98,0.030612244897959183,0.2755102040816326,0.6938775510204082,0.0,Leroy G. Comrie Jr.,0.6938775510204082
29051,29051,100,10,27,87,0,124,0.08064516129032258,0.21774193548387097,0.7016129032258065,0.0,Leroy G. Comrie Jr.,0.7016129032258065
29052,29052,100,6,14,105,1,126,0.047619047619047616,0.1111111111111111,0.8333333333333334,0.007936507936507936,Leroy G. Comrie Jr.,0.8333333333333334
29053,29053,100,1,12,54,0,67,0.014925373134328358,0.1791044776119403,0.8059701492537313,0.0,Leroy G. Comrie Jr.,0.8059701492537313
29054,29054,100,4,22,93,0,119,0.03361344537815126,0.18487394957983194,0.7815126050420168,0.0,Leroy G. Comrie Jr.,0.7815126050420168
29055,29055,100,7,20,83,0,110,0.06363636363636363,0.18181818181818182,0.7545454545454545,0.0,Leroy G. Comrie Jr.,0.7545454545454545
29056,29056,100,2,18,59,0,79,0.02531645569620253,0.22784810126582278,0.7468354430379747,0.0,Leroy G. Comrie Jr.,0.7468354430379747
29057,29057,100,5,12,58,0,75,0.06666666666666667,0.16,0.7733333333333333,0.0,Leroy G. Comrie Jr.,0.7733333333333333
29058,29058,100,11,18,62,0,91,0.12087912087912088,0.1978021978021978,0.6813186813186813,0.0,Leroy G. Comrie Jr.,0.6813186813186813
