ED,Reported As,Reporting,Karl Seidenwurm,Jonathan Piel,Scattered,Micah Z. Kellner,Total Votes,p_Karl Seidenwurm,p_Jonathan Piel,p_Scattered,p_Micah Z. Kellner,winner,winner_p
76035,76035,100,15,27,0,44,86,0.1744186046511628,0.313953488372093,0.0,0.5116279069767442,Micah Z. Kellner,0.5116279069767442
76036,76036,100,3,10,0,22,35,0.08571428571428572,0.2857142857142857,0.0,0.6285714285714286,Micah Z. Kellner,0.6285714285714286
76037,76037,100,8,7,0,22,37,0.21621621621621623,0.1891891891891892,0.0,0.5945945945945946,Micah Z. Kellner,0.5945945945945946
76038,76038,100,2,19,0,17,38,0.05263157894736842,0.5,0.0,0.4473684210526316,Jonathan Piel,0.5
76039,76039,100,4,14,0,28,46,0.08695652173913043,0.30434782608695654,0.0,0.6086956521739131,Micah Z. Kellner,0.6086956521739131
76040,76040,100,6,29,0,32,67,0.08955223880597014,0.43283582089552236,0.0,0.47761194029850745,Micah Z. Kellner,0.47761194029850745
76041,76041,100,5,23,1,26,55,0.09090909090909091,0.41818181818181815,0.01818181818181818,0.4727272727272727,Micah Z. Kellner,0.4727272727272727
76042,76042,100,12,25,0,60,97,0.12371134020618557,0.25773195876288657,0.0,0.6185567010309279,Micah Z. Kellner,0.6185567010309279
76043,76043,100,5,10,0,32,47,0.10638297872340426,0.2127659574468085,0.0,0.6808510638297872,Micah Z. Kellner,0.6808510638297872
76044,76044,100,5,18,0,33,56,0.08928571428571429,0.32142857142857145,0.0,0.5892857142857143,Micah Z. Kellner,0.5892857142857143
76045,76045,100,7,10,0,33,50,0.14,0.2,0.0,0.66,Micah Z. Kellner,0.66
76046,76046,100,10,35,0,44,89,0.11235955056179775,0.39325842696629215,0.0,0.4943820224719101,Micah Z. Kellner,0.4943820224719101
76047,76047,100,2,14,0,12,28,0.07142857142857142,0.5,0.0,0.42857142857142855,Jonathan Piel,0.5
76048,76048,100,4,8,0,28,40,0.1,0.2,0.0,0.7,Micah Z. Kellner,0.7
76049,76049,100,7,22,0,36,65,0.1076923076923077,0.3384615384615385,0.0,0.5538461538461539,Micah Z. Kellner,0.5538461538461539
76050,76050,100,7,23,0,24,54,0.12962962962962962,0.42592592592592593,0.0,0.4444444444444444,Micah Z. Kellner,0.4444444444444444
76051,76051,100,2,26,0,43,71,0.028169014084507043,0.36619718309859156,0.0,0.6056338028169014,Micah Z. Kellner,0.6056338028169014
