ED,Reported As,Reporting,Michael Brienza,Scattered,Nick Rizzo,Total Votes,p_Michael Brienza,p_Scattered,p_Nick Rizzo,winner,winner_p
50018,50018,100,9,0,25,34,0.2647058823529412,0.0,0.7352941176470589,Nick Rizzo,0.7352941176470589
50019,50019,100,12,0,53,65,0.18461538461538463,0.0,0.8153846153846154,Nick Rizzo,0.8153846153846154
50020,50020,100,3,1,17,21,0.14285714285714285,0.047619047619047616,0.8095238095238095,Nick Rizzo,0.8095238095238095
50021,50021,100,8,0,29,37,0.21621621621621623,0.0,0.7837837837837838,Nick Rizzo,0.7837837837837838
50022,50022,100,5,1,9,15,0.3333333333333333,0.06666666666666667,0.6,Nick Rizzo,0.6
50056,50056,100,1,0,4,5,0.2,0.0,0.8,Nick Rizzo,0.8
50023,50056,100,0,0,0,0,0,0,0,n/a,0
50039,50039,100,5,0,19,24,0.20833333333333334,0.0,0.7916666666666666,Nick Rizzo,0.7916666666666666
50024,50039,100,0,0,0,0,0,0,0,n/a,0
50025,50025,100,1,0,3,4,0.25,0.0,0.75,Nick Rizzo,0.75
50026,50026,100,2,0,33,35,0.05714285714285714,0.0,0.9428571428571428,Nick Rizzo,0.9428571428571428
50027,50027,100,23,0,69,92,0.25,0.0,0.75,Nick Rizzo,0.75
50028,50028,100,10,0,52,62,0.16129032258064516,0.0,0.8387096774193549,Nick Rizzo,0.8387096774193549
50029,50029,100,9,0,40,49,0.1836734693877551,0.0,0.8163265306122449,Nick Rizzo,0.8163265306122449
50030,50030,100,6,2,29,37,0.16216216216216217,0.05405405405405406,0.7837837837837838,Nick Rizzo,0.7837837837837838
50031,50031,100,13,0,41,54,0.24074074074074073,0.0,0.7592592592592593,Nick Rizzo,0.7592592592592593
50032,50032,100,10,0,44,54,0.18518518518518517,0.0,0.8148148148148148,Nick Rizzo,0.8148148148148148
50033,50033,100,24,1,41,66,0.36363636363636365,0.015151515151515152,0.6212121212121212,Nick Rizzo,0.6212121212121212
50034,50034,100,5,1,41,47,0.10638297872340426,0.02127659574468085,0.8723404255319149,Nick Rizzo,0.8723404255319149
50035,50035,100,13,1,52,66,0.19696969696969696,0.015151515151515152,0.7878787878787878,Nick Rizzo,0.7878787878787878
50036,50036,100,0,0,4,4,0.0,0.0,1.0,Nick Rizzo,1.0
50037,50037,100,7,2,14,23,0.30434782608695654,0.08695652173913043,0.6086956521739131,Nick Rizzo,0.6086956521739131
50038,50038,100,11,1,24,36,0.3055555555555556,0.027777777777777776,0.6666666666666666,Nick Rizzo,0.6666666666666666
50040,50040,100,7,0,14,21,0.3333333333333333,0.0,0.6666666666666666,Nick Rizzo,0.6666666666666666
50041,50041,100,6,0,29,35,0.17142857142857143,0.0,0.8285714285714286,Nick Rizzo,0.8285714285714286
50042,50042,100,10,2,43,55,0.18181818181818182,0.03636363636363636,0.7818181818181819,Nick Rizzo,0.7818181818181819
50043,50043,100,6,0,13,19,0.3157894736842105,0.0,0.6842105263157895,Nick Rizzo,0.6842105263157895
50044,50044,100,9,0,35,44,0.20454545454545456,0.0,0.7954545454545454,Nick Rizzo,0.7954545454545454
50045,50045,100,3,0,6,9,0.3333333333333333,0.0,0.6666666666666666,Nick Rizzo,0.6666666666666666
50046,50046,100,1,0,20,21,0.047619047619047616,0.0,0.9523809523809523,Nick Rizzo,0.9523809523809523
50047,50047,100,1,0,23,24,0.041666666666666664,0.0,0.9583333333333334,Nick Rizzo,0.9583333333333334
50048,50048,100,10,0,5,15,0.6666666666666666,0.0,0.3333333333333333,Michael Brienza,0.6666666666666666
50049,50049,100,9,0,20,29,0.3103448275862069,0.0,0.6896551724137931,Nick Rizzo,0.6896551724137931
50050,50050,100,13,0,34,47,0.2765957446808511,0.0,0.723404255319149,Nick Rizzo,0.723404255319149
50051,50051,100,13,0,30,43,0.3023255813953488,0.0,0.6976744186046512,Nick Rizzo,0.6976744186046512
50052,50052,100,14,0,51,65,0.2153846153846154,0.0,0.7846153846153846,Nick Rizzo,0.7846153846153846
50053,50053,100,2,0,17,19,0.10526315789473684,0.0,0.8947368421052632,Nick Rizzo,0.8947368421052632
50054,50054,100,4,0,12,16,0.25,0.0,0.75,Nick Rizzo,0.75
50055,50055,100,3,0,10,13,0.23076923076923078,0.0,0.7692307692307693,Nick Rizzo,0.7692307692307693
50057,50057,100,18,0,22,40,0.45,0.0,0.55,Nick Rizzo,0.55
50058,50058,100,22,0,20,42,0.5238095238095238,0.0,0.47619047619047616,Michael Brienza,0.5238095238095238
50059,50059,100,12,0,9,21,0.5714285714285714,0.0,0.42857142857142855,Michael Brienza,0.5714285714285714
50060,50060,100,34,2,15,51,0.6666666666666666,0.0392156862745098,0.29411764705882354,Michael Brienza,0.6666666666666666
50061,50061,100,19,0,9,28,0.6785714285714286,0.0,0.32142857142857145,Michael Brienza,0.6785714285714286
50062,50062,100,16,0,24,40,0.4,0.0,0.6,Nick Rizzo,0.6
50063,50063,100,23,0,12,35,0.6571428571428571,0.0,0.34285714285714286,Michael Brienza,0.6571428571428571
50064,50064,100,23,2,6,31,0.7419354838709677,0.06451612903225806,0.1935483870967742,Michael Brienza,0.7419354838709677
50065,50065,100,19,0,4,23,0.8260869565217391,0.0,0.17391304347826086,Michael Brienza,0.8260869565217391
50066,50066,100,27,1,4,32,0.84375,0.03125,0.125,Michael Brienza,0.84375
50067,50067,100,23,1,4,28,0.8214285714285714,0.03571428571428571,0.14285714285714285,Michael Brienza,0.8214285714285714
50068,50068,100,8,0,11,19,0.42105263157894735,0.0,0.5789473684210527,Nick Rizzo,0.5789473684210527
50069,50069,100,27,1,11,39,0.6923076923076923,0.02564102564102564,0.28205128205128205,Michael Brienza,0.6923076923076923
50070,50070,100,21,2,7,30,0.7,0.06666666666666667,0.23333333333333334,Michael Brienza,0.7
50071,50071,100,11,1,4,16,0.6875,0.0625,0.25,Michael Brienza,0.6875
