ED,Reported As,Reporting,Tony Avella,John C. Liu,Scattered,Total Votes,p_Tony Avella,p_John C. Liu,p_Scattered,winner,winner_p
25011,25011,100,45,45,0,90,0.5,0.5,0.0,Tie,0.5
25012,25012,100,40,59,0,99,0.40404040404040403,0.5959595959595959,0.0,John C. Liu,0.5959595959595959
25013,25013,100,36,42,1,79,0.45569620253164556,0.5316455696202531,0.012658227848101266,John C. Liu,0.5316455696202531
25014,25014,100,48,42,0,90,0.5333333333333333,0.4666666666666667,0.0,Tony Avella,0.5333333333333333
25015,25015,100,28,39,0,67,0.417910447761194,0.582089552238806,0.0,John C. Liu,0.582089552238806
25016,25016,100,49,72,0,121,0.4049586776859504,0.5950413223140496,0.0,John C. Liu,0.5950413223140496
25017,25017,100,46,64,0,110,0.41818181818181815,0.5818181818181818,0.0,John C. Liu,0.5818181818181818
25018,25018,100,54,70,1,125,0.432,0.56,0.008,John C. Liu,0.56
25019,25019,100,48,66,0,114,0.42105263157894735,0.5789473684210527,0.0,John C. Liu,0.5789473684210527
25025,25025,100,29,45,0,74,0.3918918918918919,0.6081081081081081,0.0,John C. Liu,0.6081081081081081
25026,25026,100,5,15,0,20,0.25,0.75,0.0,John C. Liu,0.75
25027,25027,100,32,48,0,80,0.4,0.6,0.0,John C. Liu,0.6
25028,25028,100,37,45,0,82,0.45121951219512196,0.5487804878048781,0.0,John C. Liu,0.5487804878048781
25029,25029,100,73,52,0,125,0.584,0.416,0.0,Tony Avella,0.584
25030,25030,100,47,37,0,84,0.5595238095238095,0.44047619047619047,0.0,Tony Avella,0.5595238095238095
25031,25031,100,38,39,0,77,0.4935064935064935,0.5064935064935064,0.0,John C. Liu,0.5064935064935064
25032,25032,100,41,55,0,96,0.4270833333333333,0.5729166666666666,0.0,John C. Liu,0.5729166666666666
25033,25033,100,35,43,0,78,0.44871794871794873,0.5512820512820513,0.0,John C. Liu,0.5512820512820513
25035,25035,100,23,32,0,55,0.41818181818181815,0.5818181818181818,0.0,John C. Liu,0.5818181818181818
25036,25036,100,47,45,0,92,0.5108695652173914,0.4891304347826087,0.0,Tony Avella,0.5108695652173914
25037,25037,100,35,46,0,81,0.43209876543209874,0.5679012345679012,0.0,John C. Liu,0.5679012345679012
25038,25038,100,19,33,0,52,0.36538461538461536,0.6346153846153846,0.0,John C. Liu,0.6346153846153846
25039,25039,100,40,44,1,85,0.47058823529411764,0.5176470588235295,0.011764705882352941,John C. Liu,0.5176470588235295
25040,25040,100,45,25,1,71,0.6338028169014085,0.352112676056338,0.014084507042253521,Tony Avella,0.6338028169014085
25041,25041,100,3,1,0,4,0.75,0.25,0.0,Tony Avella,0.75
25058,25058,100,29,27,0,56,0.5178571428571429,0.48214285714285715,0.0,Tony Avella,0.5178571428571429
25065,25065,100,21,33,1,55,0.38181818181818183,0.6,0.01818181818181818,John C. Liu,0.6
25066,25066,100,10,2,0,12,0.8333333333333334,0.16666666666666666,0.0,Tony Avella,0.8333333333333334
25067,25067,100,0,0,0,0,0,0,0,n/a,0
26001,26001,100,18,9,0,27,0.6666666666666666,0.3333333333333333,0.0,Tony Avella,0.6666666666666666
26002,26002,100,15,6,0,21,0.7142857142857143,0.2857142857142857,0.0,Tony Avella,0.7142857142857143
26003,26003,100,55,21,0,76,0.7236842105263158,0.27631578947368424,0.0,Tony Avella,0.7236842105263158
26004,26004,100,35,18,0,53,0.660377358490566,0.33962264150943394,0.0,Tony Avella,0.660377358490566
26005,26005,100,40,36,0,76,0.5263157894736842,0.47368421052631576,0.0,Tony Avella,0.5263157894736842
26006,26006,100,30,20,1,51,0.5882352941176471,0.39215686274509803,0.0196078431372549,Tony Avella,0.5882352941176471
26007,26007,100,35,18,0,53,0.660377358490566,0.33962264150943394,0.0,Tony Avella,0.660377358490566
26008,26008,100,82,46,0,128,0.640625,0.359375,0.0,Tony Avella,0.640625
26009,26009,100,80,54,0,134,0.5970149253731343,0.40298507462686567,0.0,Tony Avella,0.5970149253731343
26010,26010,100,71,34,0,105,0.6761904761904762,0.3238095238095238,0.0,Tony Avella,0.6761904761904762
26011,26011,100,38,19,0,57,0.6666666666666666,0.3333333333333333,0.0,Tony Avella,0.6666666666666666
26012,26012,100,44,17,0,61,0.7213114754098361,0.2786885245901639,0.0,Tony Avella,0.7213114754098361
26013,26013,100,51,31,0,82,0.6219512195121951,0.3780487804878049,0.0,Tony Avella,0.6219512195121951
26014,26014,100,45,16,0,61,0.7377049180327869,0.26229508196721313,0.0,Tony Avella,0.7377049180327869
26015,26015,100,69,27,0,96,0.71875,0.28125,0.0,Tony Avella,0.71875
26016,26016,100,81,70,0,151,0.5364238410596026,0.46357615894039733,0.0,Tony Avella,0.5364238410596026
26017,26017,100,66,21,0,87,0.7586206896551724,0.2413793103448276,0.0,Tony Avella,0.7586206896551724
26018,26018,100,29,14,0,43,0.6744186046511628,0.32558139534883723,0.0,Tony Avella,0.6744186046511628
26019,26019,100,52,43,0,95,0.5473684210526316,0.45263157894736844,0.0,Tony Avella,0.5473684210526316
26020,26020,100,55,62,0,117,0.4700854700854701,0.5299145299145299,0.0,John C. Liu,0.5299145299145299
26021,26021,100,47,40,0,87,0.5402298850574713,0.45977011494252873,0.0,Tony Avella,0.5402298850574713
26022,26022,100,89,53,0,142,0.6267605633802817,0.3732394366197183,0.0,Tony Avella,0.6267605633802817
26023,26023,100,97,94,0,191,0.5078534031413613,0.49214659685863876,0.0,Tony Avella,0.5078534031413613
26024,26024,100,77,52,0,129,0.5968992248062015,0.40310077519379844,0.0,Tony Avella,0.5968992248062015
26025,26025,100,64,38,0,102,0.6274509803921569,0.37254901960784315,0.0,Tony Avella,0.6274509803921569
