Bronx_Judge_of_the_Civil_Court_-_County_Bronx
Kings_Member_of_the_Assembly_60th_Assembly_District
Kings_Representative_in_Congress_9th_Congressional_District
Kings_State_Senator_17th_Senatorial_District
Kings_State_Senator_18th_Senatorial_District
Kings_State_Senator_19th_Senatorial_District
Kings_State_Senator_20th_Senatorial_District
Kings_State_Senator_21st_Senatorial_District
Kings_State_Senator_22nd_Senatorial_District
Kings_State_Senator_25th_Senatorial_District
New_York_Judge_of_the_Civil_Court_-_County_New_York
New_York_Judge_of_the_Civil_Court_-_District_10th_Municipal_Court_District_-_New_York
New_York_Judge_of_the_Civil_Court_-_District_8th_Municipal_Court_District_-_New_York
New_York_Justice_of_the_Supreme_Court_1st_Judicial_District
New_York_Member_of_the_Assembly_65th_Assembly_District
New_York_Member_of_the_Assembly_66th_Assembly_District
New_York_Member_of_the_Assembly_67th_Assembly_District
New_York_Member_of_the_Assembly_68th_Assembly_District
New_York_Member_of_the_Assembly_69th_Assembly_District
New_York_Member_of_the_Assembly_70th_Assembly_District
New_York_Member_of_the_Assembly_71st_Assembly_District
New_York_Member_of_the_Assembly_72nd_Assembly_District
New_York_Member_of_the_Assembly_73rd_Assembly_District
New_York_Member_of_the_Assembly_74th_Assembly_District
New_York_Member_of_the_Assembly_75th_Assembly_District
New_York_Member_of_the_Assembly_76th_Assembly_District
New_York_State_Senator_27th_Senatorial_District
New_York_State_Senator_28th_Senatorial_District
New_York_State_Senator_30th_Senatorial_District
New_York_State_Senator_31st_Senatorial_District
Queens_Judge_of_the_Civil_Court_-_County_Queens
Queens_Judge_of_the_Civil_Court_-_District_1st_Municipal_Court_District_-_Queens
Queens_Justice_of_the_Supreme_Court_11th_Judicial_District
Queens_Member_of_the_Assembly_23rd_Assembly_District
Queens_Member_of_the_Assembly_24th_Assembly_District
Queens_Member_of_the_Assembly_25th_Assembly_District
Queens_Member_of_the_Assembly_26th_Assembly_District
Queens_Member_of_the_Assembly_27th_Assembly_District
Queens_Member_of_the_Assembly_28th_Assembly_District
Queens_Member_of_the_Assembly_29th_Assembly_District
Queens_Member_of_the_Assembly_30th_Assembly_District
Queens_Member_of_the_Assembly_31st_Assembly_District
Queens_Member_of_the_Assembly_32nd_Assembly_District
Queens_Member_of_the_Assembly_33rd_Assembly_District
Queens_Member_of_the_Assembly_34th_Assembly_District
Queens_Member_of_the_Assembly_35th_Assembly_District
Queens_Member_of_the_Assembly_36th_Assembly_District
Queens_Member_of_the_Assembly_37th_Assembly_District
Queens_Member_of_the_Assembly_38th_Assembly_District
Queens_Member_of_the_Assembly_39th_Assembly_District
Queens_Member_of_the_Assembly_40th_Assembly_District
Queens_Representative_in_Congress_3rd_Congressional_District
Queens_Representative_in_Congress_5th_Congressional_District
Queens_Representative_in_Congress_6th_Congressional_District
Queens_State_Senator_10th_Senatorial_District
Queens_State_Senator_11th_Senatorial_District
Queens_State_Senator_12th_Senatorial_District
Queens_State_Senator_13th_Senatorial_District
Queens_State_Senator_14th_Senatorial_District
Queens_State_Senator_15th_Senatorial_District
Queens_State_Senator_16th_Senatorial_District
Richmond_Member_of_the_Assembly_61st_Assembly_District
Richmond_Member_of_the_Assembly_62nd_Assembly_District
Richmond_Member_of_the_Assembly_63rd_Assembly_District
Richmond_State_Senator_24th_Senatorial_District
