ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
45046,45046,99.00,41,25,66,0.6212121212121212,0.3787878787878788,Yes,0.6212121212121212
45047,45047,99.00,15,1,16,0.9375,0.0625,Yes,0.9375
45048,45048,99.00,67,47,114,0.5877192982456141,0.41228070175438597,Yes,0.5877192982456141
45049,45049,99.00,0,0,0,0,0,n/a,0
45050,45050,99.00,57,24,81,0.7037037037037037,0.2962962962962963,Yes,0.7037037037037037
45051,45051,99.00,51,31,82,0.6219512195121951,0.3780487804878049,Yes,0.6219512195121951
45052,45052,99.00,1,0,1,1.0,0.0,Yes,1.0
45053,45053,99.00,88,48,136,0.6470588235294118,0.35294117647058826,Yes,0.6470588235294118
45054,45054,99.00,4,0,4,1.0,0.0,Yes,1.0
45055,45055,99.00,0,0,0,0,0,n/a,0
45056,45056,66.67,3,0,3,1.0,0.0,Yes,1.0
45057,45057,99.00,70,20,90,0.7777777777777778,0.2222222222222222,Yes,0.7777777777777778
45058,45058,99.00,3,0,3,1.0,0.0,Yes,1.0
45059,45059,99.00,103,39,142,0.7253521126760564,0.2746478873239437,Yes,0.7253521126760564
45060,45060,99.00,48,20,68,0.7058823529411765,0.29411764705882354,Yes,0.7058823529411765
45061,45061,99.00,0,0,0,0,0,n/a,0
45062,45062,99.00,36,14,50,0.72,0.28,Yes,0.72
45063,45063,99.00,0,0,0,0,0,n/a,0
45064,45064,99.00,27,23,50,0.54,0.46,Yes,0.54
45065,45065,99.00,2,1,3,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
45066,45066,0.00,1,0,1,1.0,0.0,Yes,1.0
45067,45067,99.00,0,0,0,0,0,n/a,0
45068,45068,99.00,64,48,112,0.5714285714285714,0.42857142857142855,Yes,0.5714285714285714
45069,45069,99.00,110,78,188,0.5851063829787234,0.4148936170212766,Yes,0.5851063829787234
45070,45070,99.00,2,0,2,1.0,0.0,Yes,1.0
45071,45071,99.00,4,0,4,1.0,0.0,Yes,1.0
45072,45072,99.00,0,0,0,0,0,n/a,0
45073,45073,99.00,51,26,77,0.6623376623376623,0.33766233766233766,Yes,0.6623376623376623
45074,45074,99.00,71,40,111,0.6396396396396397,0.36036036036036034,Yes,0.6396396396396397
45075,45075,99.00,68,33,101,0.6732673267326733,0.32673267326732675,Yes,0.6732673267326733
45076,45076,99.00,2,0,2,1.0,0.0,Yes,1.0
45077,45077,99.00,0,0,0,0,0,n/a,0
45078,45078,99.00,93,55,148,0.6283783783783784,0.3716216216216216,Yes,0.6283783783783784
45079,45079,99.00,0,0,0,0,0,n/a,0
45080,45080,99.00,0,0,0,0,0,n/a,0
46001,46001,99.00,5,4,9,0.5555555555555556,0.4444444444444444,Yes,0.5555555555555556
46002,46002,99.00,4,1,5,0.8,0.2,Yes,0.8
46003,46003,99.00,83,44,127,0.6535433070866141,0.3464566929133858,Yes,0.6535433070866141
46004,46004,99.00,124,52,176,0.7045454545454546,0.29545454545454547,Yes,0.7045454545454546
46005,46005,99.00,50,22,72,0.6944444444444444,0.3055555555555556,Yes,0.6944444444444444
46006,46006,99.00,2,1,3,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
46007,46007,99.00,5,2,7,0.7142857142857143,0.2857142857142857,Yes,0.7142857142857143
46008,46008,99.00,115,44,159,0.7232704402515723,0.27672955974842767,Yes,0.7232704402515723
46009,46009,99.00,10,0,10,1.0,0.0,Yes,1.0
46010,46010,99.00,102,21,123,0.8292682926829268,0.17073170731707318,Yes,0.8292682926829268
46011,46011,99.00,24,3,27,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
46012,46012,99.00,97,23,120,0.8083333333333333,0.19166666666666668,Yes,0.8083333333333333
46013,46013,99.00,5,0,5,1.0,0.0,Yes,1.0
46014,46014,99.00,101,23,124,0.8145161290322581,0.18548387096774194,Yes,0.8145161290322581
46015,46015,99.00,0,1,1,0.0,1.0,No,1.0
46016,46016,99.00,83,32,115,0.7217391304347827,0.2782608695652174,Yes,0.7217391304347827
46017,46017,99.00,50,45,95,0.5263157894736842,0.47368421052631576,Yes,0.5263157894736842
46018,46018,99.00,0,0,0,0,0,n/a,0
46019,46019,99.00,69,29,98,0.7040816326530612,0.29591836734693877,Yes,0.7040816326530612
46020,46020,99.00,69,23,92,0.75,0.25,Yes,0.75
46021,46021,99.00,0,0,0,0,0,n/a,0
46022,46022,99.00,48,29,77,0.6233766233766234,0.37662337662337664,Yes,0.6233766233766234
46023,46023,99.00,56,14,70,0.8,0.2,Yes,0.8
