ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
35037,35037,99.00,60,14,74,0.8108108108108109,0.1891891891891892,Yes,0.8108108108108109
35038,35038,99.00,125,26,151,0.8278145695364238,0.17218543046357615,Yes,0.8278145695364238
35039,35039,99.00,48,14,62,0.7741935483870968,0.22580645161290322,Yes,0.7741935483870968
35040,35040,99.00,0,0,0,0,0,n/a,0
35041,35041,99.00,107,16,123,0.8699186991869918,0.13008130081300814,Yes,0.8699186991869918
35042,35042,99.00,74,11,85,0.8705882352941177,0.12941176470588237,Yes,0.8705882352941177
35043,35043,99.00,75,11,86,0.872093023255814,0.12790697674418605,Yes,0.872093023255814
35044,35044,99.00,71,13,84,0.8452380952380952,0.15476190476190477,Yes,0.8452380952380952
35045,35045,99.00,7,1,8,0.875,0.125,Yes,0.875
35046,35046,55.56,78,16,94,0.8297872340425532,0.1702127659574468,Yes,0.8297872340425532
35047,35047,55.56,111,16,127,0.8740157480314961,0.12598425196850394,Yes,0.8740157480314961
35048,35048,55.56,127,18,145,0.8758620689655172,0.12413793103448276,Yes,0.8758620689655172
35049,35049,99.00,1,1,2,0.5,0.5,Tie,0.5
35050,35050,99.00,102,29,131,0.7786259541984732,0.22137404580152673,Yes,0.7786259541984732
35051,35051,99.00,84,21,105,0.8,0.2,Yes,0.8
35052,35052,55.56,93,15,108,0.8611111111111112,0.1388888888888889,Yes,0.8611111111111112
35053,35053,55.56,108,21,129,0.8372093023255814,0.16279069767441862,Yes,0.8372093023255814
35054,35054,99.00,0,0,0,0,0,n/a,0
35055,35055,99.00,0,0,0,0,0,n/a,0
35056,35056,55.56,0,0,0,0,0,n/a,0
35057,35057,99.00,0,0,0,0,0,n/a,0
35058,35058,99.00,0,0,0,0,0,n/a,0
35059,35059,99.00,0,0,0,0,0,n/a,0
35060,35060,55.56,0,0,0,0,0,n/a,0
35061,35061,99.00,0,0,0,0,0,n/a,0
35062,35062,99.00,0,0,0,0,0,n/a,0
