ED,Reported As,Reporting,Toby Ann Stavisky (Independence),Toby Ann Stavisky (Working Families),Toby Ann Stavisky (Democratic),Scattered,Total Votes,Toby Ann Stavisky RECAP,Scattered RECAP,p_Toby Ann Stavisky (Independence),p_Toby Ann Stavisky (Working Families),p_Toby Ann Stavisky (Democratic),p_Scattered,p_Toby Ann Stavisky RECAP,p_Scattered RECAP,winner,winner_p
35002,35002,100,2,10,81,29,122,93,29,0.01639344262295082,0.08196721311475409,0.6639344262295082,0.23770491803278687,0.7622950819672131,0.23770491803278687,Toby Ann Stavisky RECAP,0.7622950819672131
35003,35003,100,8,18,91,8,125,117,8,0.064,0.144,0.728,0.064,0.936,0.064,Toby Ann Stavisky RECAP,0.936
35004,35004,100,0,9,68,5,82,77,5,0.0,0.10975609756097561,0.8292682926829268,0.06097560975609756,0.9390243902439024,0.06097560975609756,Toby Ann Stavisky RECAP,0.9390243902439024
35005,35005,100,4,12,118,6,140,134,6,0.02857142857142857,0.08571428571428572,0.8428571428571429,0.04285714285714286,0.9571428571428572,0.04285714285714286,Toby Ann Stavisky RECAP,0.9571428571428572
35006,35006,100,4,11,93,5,113,108,5,0.035398230088495575,0.09734513274336283,0.8230088495575221,0.04424778761061947,0.9557522123893806,0.04424778761061947,Toby Ann Stavisky RECAP,0.9557522123893806
35007,35007,100,4,9,126,1,140,139,1,0.02857142857142857,0.06428571428571428,0.9,0.007142857142857143,0.9928571428571429,0.007142857142857143,Toby Ann Stavisky RECAP,0.9928571428571429
35008,35008,100,4,8,78,0,90,90,0,0.044444444444444446,0.08888888888888889,0.8666666666666667,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
35009,35009,100,8,14,148,1,171,170,1,0.04678362573099415,0.08187134502923976,0.8654970760233918,0.005847953216374269,0.9941520467836257,0.005847953216374269,Toby Ann Stavisky RECAP,0.9941520467836257
35010,35010,100,5,12,155,0,172,172,0,0.029069767441860465,0.06976744186046512,0.9011627906976745,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
35023,35023,100,5,19,168,0,192,192,0,0.026041666666666668,0.09895833333333333,0.875,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
35024,35024,100,5,6,133,2,146,144,2,0.03424657534246575,0.0410958904109589,0.910958904109589,0.0136986301369863,0.9863013698630136,0.0136986301369863,Toby Ann Stavisky RECAP,0.9863013698630136
35026,35026,100,12,15,111,1,139,138,1,0.08633093525179857,0.1079136690647482,0.7985611510791367,0.007194244604316547,0.9928057553956835,0.007194244604316547,Toby Ann Stavisky RECAP,0.9928057553956835
