ED,Reported As,Reporting,Michael J. Eginton (Republican),Michael R. Benedetto (Democratic),William E. Britt Jr. (Conservative),Scattered,Total Votes,Michael J. Eginton RECAP,Michael R. Benedetto RECAP,William E. Britt Jr. RECAP,Scattered RECAP,p_Michael J. Eginton (Republican),p_Michael R. Benedetto (Democratic),p_William E. Britt Jr. (Conservative),p_Scattered,p_Michael J. Eginton RECAP,p_Michael R. Benedetto RECAP,p_William E. Britt Jr. RECAP,p_Scattered RECAP,winner,winner_p
82091,82091,100,9,192,5,0,206,9,192,5,0,0.043689320388349516,0.9320388349514563,0.024271844660194174,0.0,0.043689320388349516,0.9320388349514563,0.024271844660194174,0.0,Michael R. Benedetto RECAP,0.9320388349514563
82092,82092,100,16,240,5,0,261,16,240,5,0,0.06130268199233716,0.9195402298850575,0.019157088122605363,0.0,0.06130268199233716,0.9195402298850575,0.019157088122605363,0.0,Michael R. Benedetto RECAP,0.9195402298850575
82093,82093,100,6,145,5,0,156,6,145,5,0,0.038461538461538464,0.9294871794871795,0.03205128205128205,0.0,0.038461538461538464,0.9294871794871795,0.03205128205128205,0.0,Michael R. Benedetto RECAP,0.9294871794871795
82094,82094,100,5,175,1,0,181,5,175,1,0,0.027624309392265192,0.9668508287292817,0.0055248618784530384,0.0,0.027624309392265192,0.9668508287292817,0.0055248618784530384,0.0,Michael R. Benedetto RECAP,0.9668508287292817
82095,82095,100,4,159,7,0,170,4,159,7,0,0.023529411764705882,0.9352941176470588,0.041176470588235294,0.0,0.023529411764705882,0.9352941176470588,0.041176470588235294,0.0,Michael R. Benedetto RECAP,0.9352941176470588
82096,82096,100,1,166,0,0,167,1,166,0,0,0.005988023952095809,0.9940119760479041,0.0,0.0,0.005988023952095809,0.9940119760479041,0.0,0.0,Michael R. Benedetto RECAP,0.9940119760479041
82097,82097,100,11,200,3,1,215,11,200,3,1,0.05116279069767442,0.9302325581395349,0.013953488372093023,0.004651162790697674,0.05116279069767442,0.9302325581395349,0.013953488372093023,0.004651162790697674,Michael R. Benedetto RECAP,0.9302325581395349
82098,82098,100,13,245,8,0,266,13,245,8,0,0.04887218045112782,0.9210526315789473,0.03007518796992481,0.0,0.04887218045112782,0.9210526315789473,0.03007518796992481,0.0,Michael R. Benedetto RECAP,0.9210526315789473
82099,82099,100,5,241,2,0,248,5,241,2,0,0.020161290322580645,0.9717741935483871,0.008064516129032258,0.0,0.020161290322580645,0.9717741935483871,0.008064516129032258,0.0,Michael R. Benedetto RECAP,0.9717741935483871
82100,82100,100,6,207,0,0,213,6,207,0,0,0.028169014084507043,0.971830985915493,0.0,0.0,0.028169014084507043,0.971830985915493,0.0,0.0,Michael R. Benedetto RECAP,0.971830985915493
