ED,Reported As,Reporting,Ruben Diaz Sr. (Democratic),Ruben Diaz Sr. (Republican),Jasmine Marte (Conservative),Scattered,Total Votes,Ruben Diaz Sr. RECAP,Jasmine Marte RECAP,Scattered RECAP,p_Ruben Diaz Sr. (Democratic),p_Ruben Diaz Sr. (Republican),p_Jasmine Marte (Conservative),p_Scattered,p_Ruben Diaz Sr. RECAP,p_Jasmine Marte RECAP,p_Scattered RECAP,winner,winner_p
79017,79017,100,136,6,7,0,149,142,7,0,0.912751677852349,0.040268456375838924,0.04697986577181208,0.0,0.9530201342281879,0.04697986577181208,0.0,Ruben Diaz Sr. RECAP,0.9530201342281879
79018,79018,100,29,5,1,0,35,34,1,0,0.8285714285714286,0.14285714285714285,0.02857142857142857,0.0,0.9714285714285714,0.02857142857142857,0.0,Ruben Diaz Sr. RECAP,0.9714285714285714
79019,79019,100,93,5,8,0,106,98,8,0,0.8773584905660378,0.04716981132075472,0.07547169811320754,0.0,0.9245283018867925,0.07547169811320754,0.0,Ruben Diaz Sr. RECAP,0.9245283018867925
79021,79021,100,75,7,4,0,86,82,4,0,0.872093023255814,0.08139534883720931,0.046511627906976744,0.0,0.9534883720930233,0.046511627906976744,0.0,Ruben Diaz Sr. RECAP,0.9534883720930233
79022,79022,100,71,2,5,0,78,73,5,0,0.9102564102564102,0.02564102564102564,0.0641025641025641,0.0,0.9358974358974359,0.0641025641025641,0.0,Ruben Diaz Sr. RECAP,0.9358974358974359
79023,79023,100,107,5,4,0,116,112,4,0,0.9224137931034483,0.04310344827586207,0.034482758620689655,0.0,0.9655172413793104,0.034482758620689655,0.0,Ruben Diaz Sr. RECAP,0.9655172413793104
79024,79024,100,125,10,8,0,143,135,8,0,0.8741258741258742,0.06993006993006994,0.055944055944055944,0.0,0.9440559440559441,0.055944055944055944,0.0,Ruben Diaz Sr. RECAP,0.9440559440559441
79025,79025,100,141,0,3,0,144,141,3,0,0.9791666666666666,0.0,0.020833333333333332,0.0,0.9791666666666666,0.020833333333333332,0.0,Ruben Diaz Sr. RECAP,0.9791666666666666
79026,79026,100,104,7,3,0,114,111,3,0,0.9122807017543859,0.06140350877192982,0.02631578947368421,0.0,0.9736842105263158,0.02631578947368421,0.0,Ruben Diaz Sr. RECAP,0.9736842105263158
79027,79027,100,167,1,7,0,175,168,7,0,0.9542857142857143,0.005714285714285714,0.04,0.0,0.96,0.04,0.0,Ruben Diaz Sr. RECAP,0.96
79028,79028,100,159,6,4,0,169,165,4,0,0.9408284023668639,0.03550295857988166,0.023668639053254437,0.0,0.9763313609467456,0.023668639053254437,0.0,Ruben Diaz Sr. RECAP,0.9763313609467456
79038,79038,100,144,4,2,0,150,148,2,0,0.96,0.02666666666666667,0.013333333333333334,0.0,0.9866666666666667,0.013333333333333334,0.0,Ruben Diaz Sr. RECAP,0.9866666666666667
79039,79039,100,150,2,6,0,158,152,6,0,0.9493670886075949,0.012658227848101266,0.0379746835443038,0.0,0.9620253164556962,0.0379746835443038,0.0,Ruben Diaz Sr. RECAP,0.9620253164556962
79040,79040,100,171,3,4,0,178,174,4,0,0.9606741573033708,0.016853932584269662,0.02247191011235955,0.0,0.9775280898876404,0.02247191011235955,0.0,Ruben Diaz Sr. RECAP,0.9775280898876404
79041,79041,100,114,3,6,0,123,117,6,0,0.926829268292683,0.024390243902439025,0.04878048780487805,0.0,0.9512195121951219,0.04878048780487805,0.0,Ruben Diaz Sr. RECAP,0.9512195121951219
79042,79042,100,131,2,4,0,137,133,4,0,0.9562043795620438,0.014598540145985401,0.029197080291970802,0.0,0.9708029197080292,0.029197080291970802,0.0,Ruben Diaz Sr. RECAP,0.9708029197080292
