ED,Reported As,Reporting,Leroy R. Bates Sr. (Republican),Charles Barron (Democratic),Scattered,Leroy R. Bates Sr. (Conservative),Total Votes,Leroy R. Bates Sr. RECAP,Charles Barron RECAP,Scattered RECAP,p_Leroy R. Bates Sr. (Republican),p_Charles Barron (Democratic),p_Scattered,p_Leroy R. Bates Sr. (Conservative),p_Leroy R. Bates Sr. RECAP,p_Charles Barron RECAP,p_Scattered RECAP,winner,winner_p
60025,60025,100,4,114,0,2,120,6,114,0,0.03333333333333333,0.95,0.0,0.016666666666666666,0.05,0.95,0.0,Charles Barron RECAP,0.95
60026,60026,100,4,164,0,3,171,7,164,0,0.023391812865497075,0.9590643274853801,0.0,0.017543859649122806,0.04093567251461988,0.9590643274853801,0.0,Charles Barron RECAP,0.9590643274853801
60027,60027,100,4,141,0,6,151,10,141,0,0.026490066225165563,0.9337748344370861,0.0,0.039735099337748346,0.06622516556291391,0.9337748344370861,0.0,Charles Barron RECAP,0.9337748344370861
60028,60028,100,5,252,0,4,261,9,252,0,0.019157088122605363,0.9655172413793104,0.0,0.01532567049808429,0.034482758620689655,0.9655172413793104,0.0,Charles Barron RECAP,0.9655172413793104
60029,60029,100,1,142,2,3,148,4,142,2,0.006756756756756757,0.9594594594594594,0.013513513513513514,0.02027027027027027,0.02702702702702703,0.9594594594594594,0.013513513513513514,Charles Barron RECAP,0.9594594594594594
60030,60030,100,2,103,1,0,106,2,103,1,0.018867924528301886,0.9716981132075472,0.009433962264150943,0.0,0.018867924528301886,0.9716981132075472,0.009433962264150943,Charles Barron RECAP,0.9716981132075472
60031,60031,100,0,139,0,2,141,2,139,0,0.0,0.9858156028368794,0.0,0.014184397163120567,0.014184397163120567,0.9858156028368794,0.0,Charles Barron RECAP,0.9858156028368794
60032,60032,100,8,183,0,2,193,10,183,0,0.04145077720207254,0.9481865284974094,0.0,0.010362694300518135,0.05181347150259067,0.9481865284974094,0.0,Charles Barron RECAP,0.9481865284974094
60033,60033,100,7,171,1,3,182,10,171,1,0.038461538461538464,0.9395604395604396,0.005494505494505495,0.016483516483516484,0.054945054945054944,0.9395604395604396,0.005494505494505495,Charles Barron RECAP,0.9395604395604396
60034,60034,100,7,202,2,2,213,9,202,2,0.03286384976525822,0.9483568075117371,0.009389671361502348,0.009389671361502348,0.04225352112676056,0.9483568075117371,0.009389671361502348,Charles Barron RECAP,0.9483568075117371
60035,60035,100,2,212,1,5,220,7,212,1,0.00909090909090909,0.9636363636363636,0.004545454545454545,0.022727272727272728,0.031818181818181815,0.9636363636363636,0.004545454545454545,Charles Barron RECAP,0.9636363636363636
60036,60036,100,8,212,1,10,231,18,212,1,0.03463203463203463,0.9177489177489178,0.004329004329004329,0.04329004329004329,0.07792207792207792,0.9177489177489178,0.004329004329004329,Charles Barron RECAP,0.9177489177489178
60037,60037,100,5,222,0,8,235,13,222,0,0.02127659574468085,0.9446808510638298,0.0,0.03404255319148936,0.05531914893617021,0.9446808510638298,0.0,Charles Barron RECAP,0.9446808510638298
60038,60038,100,2,118,1,3,124,5,118,1,0.016129032258064516,0.9516129032258065,0.008064516129032258,0.024193548387096774,0.04032258064516129,0.9516129032258065,0.008064516129032258,Charles Barron RECAP,0.9516129032258065
