ED,Reported As,Reporting,Robert M. Goodman (Conservative),Robert M. Goodman (Republican),Mark Gjonaj (Democratic),Scattered,Total Votes,Robert M. Goodman RECAP,Mark Gjonaj RECAP,Scattered RECAP,p_Robert M. Goodman (Conservative),p_Robert M. Goodman (Republican),p_Mark Gjonaj (Democratic),p_Scattered,p_Robert M. Goodman RECAP,p_Mark Gjonaj RECAP,p_Scattered RECAP,winner,winner_p
80013,80013,100,2,17,81,0,100,19,81,0,0.02,0.17,0.81,0.0,0.19,0.81,0.0,Mark Gjonaj RECAP,0.81
80014,80014,100,1,6,158,2,167,7,158,2,0.005988023952095809,0.03592814371257485,0.9461077844311377,0.011976047904191617,0.041916167664670656,0.9461077844311377,0.011976047904191617,Mark Gjonaj RECAP,0.9461077844311377
80015,80015,100,2,12,57,1,72,14,57,1,0.027777777777777776,0.16666666666666666,0.7916666666666666,0.013888888888888888,0.19444444444444445,0.7916666666666666,0.013888888888888888,Mark Gjonaj RECAP,0.7916666666666666
80016,80016,100,10,34,204,0,248,44,204,0,0.04032258064516129,0.13709677419354838,0.8225806451612904,0.0,0.1774193548387097,0.8225806451612904,0.0,Mark Gjonaj RECAP,0.8225806451612904
80017,80017,100,1,13,159,0,173,14,159,0,0.005780346820809248,0.07514450867052024,0.9190751445086706,0.0,0.08092485549132948,0.9190751445086706,0.0,Mark Gjonaj RECAP,0.9190751445086706
80018,80018,100,10,33,109,0,152,43,109,0,0.06578947368421052,0.21710526315789475,0.7171052631578947,0.0,0.28289473684210525,0.7171052631578947,0.0,Mark Gjonaj RECAP,0.7171052631578947
80019,80019,100,4,38,61,2,105,42,61,2,0.0380952380952381,0.3619047619047619,0.580952380952381,0.01904761904761905,0.4,0.580952380952381,0.01904761904761905,Mark Gjonaj RECAP,0.580952380952381
80020,80020,100,6,34,132,0,172,40,132,0,0.03488372093023256,0.19767441860465115,0.7674418604651163,0.0,0.23255813953488372,0.7674418604651163,0.0,Mark Gjonaj RECAP,0.7674418604651163
80021,80021,100,7,19,193,0,219,26,193,0,0.0319634703196347,0.0867579908675799,0.8812785388127854,0.0,0.1187214611872146,0.8812785388127854,0.0,Mark Gjonaj RECAP,0.8812785388127854
80022,80022,100,3,11,115,0,129,14,115,0,0.023255813953488372,0.08527131782945736,0.8914728682170543,0.0,0.10852713178294573,0.8914728682170543,0.0,Mark Gjonaj RECAP,0.8914728682170543
80023,80023,100,3,23,187,0,213,26,187,0,0.014084507042253521,0.107981220657277,0.8779342723004695,0.0,0.12206572769953052,0.8779342723004695,0.0,Mark Gjonaj RECAP,0.8779342723004695
80024,80024,100,10,25,244,0,279,35,244,0,0.035842293906810034,0.08960573476702509,0.8745519713261649,0.0,0.12544802867383512,0.8745519713261649,0.0,Mark Gjonaj RECAP,0.8745519713261649
80025,80025,100,1,15,141,0,157,16,141,0,0.006369426751592357,0.09554140127388536,0.8980891719745223,0.0,0.10191082802547771,0.8980891719745223,0.0,Mark Gjonaj RECAP,0.8980891719745223
80026,80026,100,5,10,135,0,150,15,135,0,0.03333333333333333,0.06666666666666667,0.9,0.0,0.1,0.9,0.0,Mark Gjonaj RECAP,0.9
80027,80027,100,9,24,95,0,128,33,95,0,0.0703125,0.1875,0.7421875,0.0,0.2578125,0.7421875,0.0,Mark Gjonaj RECAP,0.7421875
80028,80028,100,9,28,105,2,144,37,105,2,0.0625,0.19444444444444445,0.7291666666666666,0.013888888888888888,0.2569444444444444,0.7291666666666666,0.013888888888888888,Mark Gjonaj RECAP,0.7291666666666666
80029,80029,100,4,16,45,0,65,20,45,0,0.06153846153846154,0.24615384615384617,0.6923076923076923,0.0,0.3076923076923077,0.6923076923076923,0.0,Mark Gjonaj RECAP,0.6923076923076923
80030,80030,100,16,40,129,0,185,56,129,0,0.08648648648648649,0.21621621621621623,0.6972972972972973,0.0,0.3027027027027027,0.6972972972972973,0.0,Mark Gjonaj RECAP,0.6972972972972973
80031,80031,100,8,72,157,0,237,80,157,0,0.03375527426160337,0.3037974683544304,0.6624472573839663,0.0,0.33755274261603374,0.6624472573839663,0.0,Mark Gjonaj RECAP,0.6624472573839663
80032,80032,100,10,38,77,0,125,48,77,0,0.08,0.304,0.616,0.0,0.384,0.616,0.0,Mark Gjonaj RECAP,0.616
80033,80033,100,10,21,79,0,110,31,79,0,0.09090909090909091,0.19090909090909092,0.7181818181818181,0.0,0.2818181818181818,0.7181818181818181,0.0,Mark Gjonaj RECAP,0.7181818181818181
80034,80034,100,11,35,98,1,145,46,98,1,0.07586206896551724,0.2413793103448276,0.6758620689655173,0.006896551724137931,0.31724137931034485,0.6758620689655173,0.006896551724137931,Mark Gjonaj RECAP,0.6758620689655173
80035,80035,100,16,25,83,1,125,41,83,1,0.128,0.2,0.664,0.008,0.328,0.664,0.008,Mark Gjonaj RECAP,0.664
80036,80036,100,9,32,139,0,180,41,139,0,0.05,0.17777777777777778,0.7722222222222223,0.0,0.22777777777777777,0.7722222222222223,0.0,Mark Gjonaj RECAP,0.7722222222222223
80037,80037,100,9,23,60,0,92,32,60,0,0.09782608695652174,0.25,0.6521739130434783,0.0,0.34782608695652173,0.6521739130434783,0.0,Mark Gjonaj RECAP,0.6521739130434783
80038,80038,100,5,19,81,0,105,24,81,0,0.047619047619047616,0.18095238095238095,0.7714285714285715,0.0,0.22857142857142856,0.7714285714285715,0.0,Mark Gjonaj RECAP,0.7714285714285715
80039,80039,100,6,26,115,0,147,32,115,0,0.04081632653061224,0.17687074829931973,0.782312925170068,0.0,0.21768707482993196,0.782312925170068,0.0,Mark Gjonaj RECAP,0.782312925170068
80040,80040,100,3,9,121,0,133,12,121,0,0.022556390977443608,0.06766917293233082,0.9097744360902256,0.0,0.09022556390977443,0.9097744360902256,0.0,Mark Gjonaj RECAP,0.9097744360902256
80041,80041,100,3,18,215,0,236,21,215,0,0.012711864406779662,0.07627118644067797,0.9110169491525424,0.0,0.08898305084745763,0.9110169491525424,0.0,Mark Gjonaj RECAP,0.9110169491525424
80042,80042,100,3,8,133,0,144,11,133,0,0.020833333333333332,0.05555555555555555,0.9236111111111112,0.0,0.0763888888888889,0.9236111111111112,0.0,Mark Gjonaj RECAP,0.9236111111111112
80043,80043,100,1,9,111,0,121,10,111,0,0.008264462809917356,0.0743801652892562,0.9173553719008265,0.0,0.08264462809917356,0.9173553719008265,0.0,Mark Gjonaj RECAP,0.9173553719008265
80044,80044,100,2,7,92,0,101,9,92,0,0.019801980198019802,0.06930693069306931,0.9108910891089109,0.0,0.0891089108910891,0.9108910891089109,0.0,Mark Gjonaj RECAP,0.9108910891089109
80045,80045,100,4,17,182,0,203,21,182,0,0.019704433497536946,0.08374384236453201,0.896551724137931,0.0,0.10344827586206896,0.896551724137931,0.0,Mark Gjonaj RECAP,0.896551724137931
80046,80046,100,2,1,67,0,70,3,67,0,0.02857142857142857,0.014285714285714285,0.9571428571428572,0.0,0.04285714285714286,0.9571428571428572,0.0,Mark Gjonaj RECAP,0.9571428571428572
80047,80047,100,4,19,115,0,138,23,115,0,0.028985507246376812,0.13768115942028986,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,Mark Gjonaj RECAP,0.8333333333333334
80048,80048,100,2,14,96,0,112,16,96,0,0.017857142857142856,0.125,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571,0.0,Mark Gjonaj RECAP,0.8571428571428571
80049,80049,100,0,4,28,0,32,4,28,0,0.0,0.125,0.875,0.0,0.125,0.875,0.0,Mark Gjonaj RECAP,0.875
80050,80050,100,2,9,168,0,179,11,168,0,0.0111731843575419,0.05027932960893855,0.9385474860335196,0.0,0.061452513966480445,0.9385474860335196,0.0,Mark Gjonaj RECAP,0.9385474860335196
80051,80051,100,2,6,55,0,63,8,55,0,0.031746031746031744,0.09523809523809523,0.873015873015873,0.0,0.12698412698412698,0.873015873015873,0.0,Mark Gjonaj RECAP,0.873015873015873
80052,80052,100,0,4,78,0,82,4,78,0,0.0,0.04878048780487805,0.9512195121951219,0.0,0.04878048780487805,0.9512195121951219,0.0,Mark Gjonaj RECAP,0.9512195121951219
80053,80053,100,1,3,68,0,72,4,68,0,0.013888888888888888,0.041666666666666664,0.9444444444444444,0.0,0.05555555555555555,0.9444444444444444,0.0,Mark Gjonaj RECAP,0.9444444444444444
80054,80054,100,0,6,19,0,25,6,19,0,0.0,0.24,0.76,0.0,0.24,0.76,0.0,Mark Gjonaj RECAP,0.76
80055,80055,100,1,22,162,1,186,23,162,1,0.005376344086021506,0.11827956989247312,0.8709677419354839,0.005376344086021506,0.12365591397849462,0.8709677419354839,0.005376344086021506,Mark Gjonaj RECAP,0.8709677419354839
80056,80056,100,3,3,290,0,296,6,290,0,0.010135135135135136,0.010135135135135136,0.9797297297297297,0.0,0.02027027027027027,0.9797297297297297,0.0,Mark Gjonaj RECAP,0.9797297297297297
80057,80057,100,1,6,65,0,72,7,65,0,0.013888888888888888,0.08333333333333333,0.9027777777777778,0.0,0.09722222222222222,0.9027777777777778,0.0,Mark Gjonaj RECAP,0.9027777777777778
80058,80058,100,2,21,105,0,128,23,105,0,0.015625,0.1640625,0.8203125,0.0,0.1796875,0.8203125,0.0,Mark Gjonaj RECAP,0.8203125
80059,80059,100,1,4,31,0,36,5,31,0,0.027777777777777776,0.1111111111111111,0.8611111111111112,0.0,0.1388888888888889,0.8611111111111112,0.0,Mark Gjonaj RECAP,0.8611111111111112
80060,80060,100,1,9,203,0,213,10,203,0,0.004694835680751174,0.04225352112676056,0.9530516431924883,0.0,0.046948356807511735,0.9530516431924883,0.0,Mark Gjonaj RECAP,0.9530516431924883
80061,80061,100,0,2,33,0,35,2,33,0,0.0,0.05714285714285714,0.9428571428571428,0.0,0.05714285714285714,0.9428571428571428,0.0,Mark Gjonaj RECAP,0.9428571428571428
80062,80062,100,4,15,148,0,167,19,148,0,0.023952095808383235,0.08982035928143713,0.8862275449101796,0.0,0.11377245508982035,0.8862275449101796,0.0,Mark Gjonaj RECAP,0.8862275449101796
80063,80063,100,2,13,168,0,183,15,168,0,0.01092896174863388,0.07103825136612021,0.9180327868852459,0.0,0.08196721311475409,0.9180327868852459,0.0,Mark Gjonaj RECAP,0.9180327868852459
80064,80064,100,4,13,126,0,143,17,126,0,0.027972027972027972,0.09090909090909091,0.8811188811188811,0.0,0.11888111888111888,0.8811188811188811,0.0,Mark Gjonaj RECAP,0.8811188811188811
80065,80065,100,2,5,252,0,259,7,252,0,0.007722007722007722,0.019305019305019305,0.972972972972973,0.0,0.02702702702702703,0.972972972972973,0.0,Mark Gjonaj RECAP,0.972972972972973
80066,80066,100,3,38,88,0,129,41,88,0,0.023255813953488372,0.29457364341085274,0.6821705426356589,0.0,0.3178294573643411,0.6821705426356589,0.0,Mark Gjonaj RECAP,0.6821705426356589
80067,80067,100,11,34,131,0,176,45,131,0,0.0625,0.19318181818181818,0.7443181818181818,0.0,0.2556818181818182,0.7443181818181818,0.0,Mark Gjonaj RECAP,0.7443181818181818
80068,80068,100,13,24,114,0,151,37,114,0,0.08609271523178808,0.15894039735099338,0.7549668874172185,0.0,0.24503311258278146,0.7549668874172185,0.0,Mark Gjonaj RECAP,0.7549668874172185
