ED,Reported As,Reporting,Scattered,Andrew S. Borrok (Democratic),Total Votes,Scattered RECAP,Andrew S. Borrok RECAP,p_Scattered,p_Andrew S. Borrok (Democratic),p_Scattered RECAP,p_Andrew S. Borrok RECAP,winner,winner_p
41032,41032,100,2,157,159,2,157,0.012578616352201259,0.9874213836477987,0.012578616352201259,0.9874213836477987,Andrew S. Borrok RECAP,0.9874213836477987
41033,41033,100,1,176,177,1,176,0.005649717514124294,0.9943502824858758,0.005649717514124294,0.9943502824858758,Andrew S. Borrok RECAP,0.9943502824858758
41034,41034,100,0,195,195,0,195,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41035,41035,100,1,124,125,1,124,0.008,0.992,0.008,0.992,Andrew S. Borrok RECAP,0.992
41036,41036,100,1,98,99,1,98,0.010101010101010102,0.98989898989899,0.010101010101010102,0.98989898989899,Andrew S. Borrok RECAP,0.98989898989899
41037,41037,100,0,205,205,0,205,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41038,41038,100,0,326,326,0,326,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41039,41039,100,0,203,203,0,203,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41040,41040,100,0,180,180,0,180,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41041,41041,100,0,272,272,0,272,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41042,41042,100,0,38,38,0,38,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41043,41043,100,1,155,156,1,155,0.00641025641025641,0.9935897435897436,0.00641025641025641,0.9935897435897436,Andrew S. Borrok RECAP,0.9935897435897436
41044,41044,100,0,55,55,0,55,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41046,41046,100,0,150,150,0,150,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41056,41056,100,1,81,82,1,81,0.012195121951219513,0.9878048780487805,0.012195121951219513,0.9878048780487805,Andrew S. Borrok RECAP,0.9878048780487805
41057,41057,100,2,80,82,2,80,0.024390243902439025,0.975609756097561,0.024390243902439025,0.975609756097561,Andrew S. Borrok RECAP,0.975609756097561
41058,41058,100,4,138,142,4,138,0.028169014084507043,0.971830985915493,0.028169014084507043,0.971830985915493,Andrew S. Borrok RECAP,0.971830985915493
41059,41059,100,2,131,133,2,131,0.015037593984962405,0.9849624060150376,0.015037593984962405,0.9849624060150376,Andrew S. Borrok RECAP,0.9849624060150376
41060,41060,100,3,94,97,3,94,0.030927835051546393,0.9690721649484536,0.030927835051546393,0.9690721649484536,Andrew S. Borrok RECAP,0.9690721649484536
41061,41061,100,1,62,63,1,62,0.015873015873015872,0.9841269841269841,0.015873015873015872,0.9841269841269841,Andrew S. Borrok RECAP,0.9841269841269841
41062,41062,100,2,80,82,2,80,0.024390243902439025,0.975609756097561,0.024390243902439025,0.975609756097561,Andrew S. Borrok RECAP,0.975609756097561
41063,41063,100,4,108,112,4,108,0.03571428571428571,0.9642857142857143,0.03571428571428571,0.9642857142857143,Andrew S. Borrok RECAP,0.9642857142857143
41064,41064,100,3,223,226,3,223,0.01327433628318584,0.9867256637168141,0.01327433628318584,0.9867256637168141,Andrew S. Borrok RECAP,0.9867256637168141
41065,41065,100,0,34,34,0,34,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41066,41066,100,0,113,113,0,113,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41067,41067,100,0,106,106,0,106,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41068,41068,100,0,122,122,0,122,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41069,41069,100,0,100,100,0,100,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41070,41070,100,1,108,109,1,108,0.009174311926605505,0.9908256880733946,0.009174311926605505,0.9908256880733946,Andrew S. Borrok RECAP,0.9908256880733946
41071,41071,100,0,147,147,0,147,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41072,41072,100,0,126,126,0,126,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41073,41073,100,1,177,178,1,177,0.0056179775280898875,0.9943820224719101,0.0056179775280898875,0.9943820224719101,Andrew S. Borrok RECAP,0.9943820224719101
41074,41074,100,1,113,114,1,113,0.008771929824561403,0.9912280701754386,0.008771929824561403,0.9912280701754386,Andrew S. Borrok RECAP,0.9912280701754386
41075,41075,100,1,99,100,1,99,0.01,0.99,0.01,0.99,Andrew S. Borrok RECAP,0.99
41076,41076,100,2,102,104,2,102,0.019230769230769232,0.9807692307692307,0.019230769230769232,0.9807692307692307,Andrew S. Borrok RECAP,0.9807692307692307
41077,41077,100,0,81,81,0,81,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41078,41078,100,1,66,67,1,66,0.014925373134328358,0.9850746268656716,0.014925373134328358,0.9850746268656716,Andrew S. Borrok RECAP,0.9850746268656716
41079,41079,100,6,101,107,6,101,0.056074766355140186,0.9439252336448598,0.056074766355140186,0.9439252336448598,Andrew S. Borrok RECAP,0.9439252336448598
41080,41080,100,0,12,12,0,12,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41081,41081,100,0,132,132,0,132,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41082,41082,100,3,115,118,3,115,0.025423728813559324,0.9745762711864406,0.025423728813559324,0.9745762711864406,Andrew S. Borrok RECAP,0.9745762711864406
41083,41083,100,1,141,142,1,141,0.007042253521126761,0.9929577464788732,0.007042253521126761,0.9929577464788732,Andrew S. Borrok RECAP,0.9929577464788732
41084,41084,100,4,161,165,4,161,0.024242424242424242,0.9757575757575757,0.024242424242424242,0.9757575757575757,Andrew S. Borrok RECAP,0.9757575757575757
41085,41085,100,0,85,85,0,85,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41086,41086,100,1,12,13,1,12,0.07692307692307693,0.9230769230769231,0.07692307692307693,0.9230769230769231,Andrew S. Borrok RECAP,0.9230769230769231
41087,41087,100,0,89,89,0,89,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41088,41088,100,0,80,80,0,80,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41089,41089,100,0,75,75,0,75,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41090,41090,100,0,29,29,0,29,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41091,41091,100,0,62,62,0,62,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41093,41090,100,0,0,0,0,0,0,0,0,0,n/a,0
42060,42060,100,1,13,14,1,13,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.9285714285714286,Andrew S. Borrok RECAP,0.9285714285714286
42066,42066,100,3,62,65,3,62,0.046153846153846156,0.9538461538461539,0.046153846153846156,0.9538461538461539,Andrew S. Borrok RECAP,0.9538461538461539
42067,42067,100,1,88,89,1,88,0.011235955056179775,0.9887640449438202,0.011235955056179775,0.9887640449438202,Andrew S. Borrok RECAP,0.9887640449438202
42069,42069,100,1,23,24,1,23,0.041666666666666664,0.9583333333333334,0.041666666666666664,0.9583333333333334,Andrew S. Borrok RECAP,0.9583333333333334
45001,45001,100,4,95,99,4,95,0.04040404040404041,0.9595959595959596,0.04040404040404041,0.9595959595959596,Andrew S. Borrok RECAP,0.9595959595959596
45002,45002,100,3,145,148,3,145,0.02027027027027027,0.9797297297297297,0.02027027027027027,0.9797297297297297,Andrew S. Borrok RECAP,0.9797297297297297
45003,45003,100,4,117,121,4,117,0.03305785123966942,0.9669421487603306,0.03305785123966942,0.9669421487603306,Andrew S. Borrok RECAP,0.9669421487603306
45004,45004,100,2,119,121,2,119,0.01652892561983471,0.9834710743801653,0.01652892561983471,0.9834710743801653,Andrew S. Borrok RECAP,0.9834710743801653
45005,45005,100,4,164,168,4,164,0.023809523809523808,0.9761904761904762,0.023809523809523808,0.9761904761904762,Andrew S. Borrok RECAP,0.9761904761904762
45006,45006,100,7,108,115,7,108,0.06086956521739131,0.9391304347826087,0.06086956521739131,0.9391304347826087,Andrew S. Borrok RECAP,0.9391304347826087
45007,45007,100,0,8,8,0,8,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45008,45008,100,0,79,79,0,79,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45009,45009,100,2,98,100,2,98,0.02,0.98,0.02,0.98,Andrew S. Borrok RECAP,0.98
45010,45010,100,0,48,48,0,48,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45011,45011,100,1,111,112,1,111,0.008928571428571428,0.9910714285714286,0.008928571428571428,0.9910714285714286,Andrew S. Borrok RECAP,0.9910714285714286
45012,45012,100,3,92,95,3,92,0.031578947368421054,0.968421052631579,0.031578947368421054,0.968421052631579,Andrew S. Borrok RECAP,0.968421052631579
45013,45013,100,3,112,115,3,112,0.02608695652173913,0.9739130434782609,0.02608695652173913,0.9739130434782609,Andrew S. Borrok RECAP,0.9739130434782609
45014,45014,100,3,119,122,3,119,0.02459016393442623,0.9754098360655737,0.02459016393442623,0.9754098360655737,Andrew S. Borrok RECAP,0.9754098360655737
45015,45015,100,0,18,18,0,18,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45016,45016,100,3,114,117,3,114,0.02564102564102564,0.9743589743589743,0.02564102564102564,0.9743589743589743,Andrew S. Borrok RECAP,0.9743589743589743
45017,45017,100,0,68,68,0,68,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45018,45018,100,0,8,8,0,8,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45019,45019,100,1,81,82,1,81,0.012195121951219513,0.9878048780487805,0.012195121951219513,0.9878048780487805,Andrew S. Borrok RECAP,0.9878048780487805
45020,45020,100,1,70,71,1,70,0.014084507042253521,0.9859154929577465,0.014084507042253521,0.9859154929577465,Andrew S. Borrok RECAP,0.9859154929577465
45021,45021,100,0,67,67,0,67,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45022,45022,100,0,75,75,0,75,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45023,45023,100,1,113,114,1,113,0.008771929824561403,0.9912280701754386,0.008771929824561403,0.9912280701754386,Andrew S. Borrok RECAP,0.9912280701754386
45024,45024,100,1,128,129,1,128,0.007751937984496124,0.9922480620155039,0.007751937984496124,0.9922480620155039,Andrew S. Borrok RECAP,0.9922480620155039
45025,45025,100,0,31,31,0,31,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
45026,45026,100,0,66,66,0,66,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
