ED,Reported As,Reporting,Helene E. Weinstein (Working Families),Scattered,Helene E. Weinstein (Democratic),Sura Yusim (Conservative),Total Votes,Helene E. Weinstein RECAP,Scattered RECAP,Sura Yusim RECAP,p_Helene E. Weinstein (Working Families),p_Scattered,p_Helene E. Weinstein (Democratic),p_Sura Yusim (Conservative),p_Helene E. Weinstein RECAP,p_Scattered RECAP,p_Sura Yusim RECAP,winner,winner_p
41032,41032,100,24,1,156,1,182,180,1,1,0.13186813186813187,0.005494505494505495,0.8571428571428571,0.005494505494505495,0.989010989010989,0.005494505494505495,0.005494505494505495,Helene E. Weinstein RECAP,0.989010989010989
41033,41033,100,18,0,176,3,197,194,0,3,0.09137055837563451,0.0,0.8934010152284264,0.015228426395939087,0.9847715736040609,0.0,0.015228426395939087,Helene E. Weinstein RECAP,0.9847715736040609
41034,41034,100,17,0,202,7,226,219,0,7,0.0752212389380531,0.0,0.8938053097345132,0.030973451327433628,0.9690265486725663,0.0,0.030973451327433628,Helene E. Weinstein RECAP,0.9690265486725663
41035,41035,100,18,0,127,38,183,145,0,38,0.09836065573770492,0.0,0.6939890710382514,0.20765027322404372,0.7923497267759563,0.0,0.20765027322404372,Helene E. Weinstein RECAP,0.7923497267759563
41036,41036,100,29,0,113,39,181,142,0,39,0.16022099447513813,0.0,0.6243093922651933,0.2154696132596685,0.7845303867403315,0.0,0.2154696132596685,Helene E. Weinstein RECAP,0.7845303867403315
41037,41037,100,9,1,216,4,230,225,1,4,0.0391304347826087,0.004347826086956522,0.9391304347826087,0.017391304347826087,0.9782608695652174,0.004347826086956522,0.017391304347826087,Helene E. Weinstein RECAP,0.9782608695652174
41038,41038,100,11,0,338,4,353,349,0,4,0.031161473087818695,0.0,0.9575070821529745,0.0113314447592068,0.9886685552407932,0.0,0.0113314447592068,Helene E. Weinstein RECAP,0.9886685552407932
41039,41039,100,9,0,203,2,214,212,0,2,0.04205607476635514,0.0,0.9485981308411215,0.009345794392523364,0.9906542056074766,0.0,0.009345794392523364,Helene E. Weinstein RECAP,0.9906542056074766
41040,41040,100,5,0,198,0,203,203,0,0,0.024630541871921183,0.0,0.9753694581280788,0.0,1.0,0.0,0.0,Helene E. Weinstein RECAP,1.0
41041,41041,100,2,0,274,7,283,276,0,7,0.007067137809187279,0.0,0.9681978798586572,0.024734982332155476,0.9752650176678446,0.0,0.024734982332155476,Helene E. Weinstein RECAP,0.9752650176678446
41042,41042,100,10,0,37,29,76,47,0,29,0.13157894736842105,0.0,0.4868421052631579,0.3815789473684211,0.618421052631579,0.0,0.3815789473684211,Helene E. Weinstein RECAP,0.618421052631579
41043,41043,100,4,0,158,6,168,162,0,6,0.023809523809523808,0.0,0.9404761904761905,0.03571428571428571,0.9642857142857143,0.0,0.03571428571428571,Helene E. Weinstein RECAP,0.9642857142857143
41044,41044,100,6,0,49,19,74,55,0,19,0.08108108108108109,0.0,0.6621621621621622,0.25675675675675674,0.7432432432432432,0.0,0.25675675675675674,Helene E. Weinstein RECAP,0.7432432432432432
41045,41045,100,11,1,288,3,303,299,1,3,0.036303630363036306,0.0033003300330033004,0.9504950495049505,0.009900990099009901,0.9867986798679867,0.0033003300330033004,0.009900990099009901,Helene E. Weinstein RECAP,0.9867986798679867
41046,41046,100,24,0,191,45,260,215,0,45,0.09230769230769231,0.0,0.7346153846153847,0.17307692307692307,0.8269230769230769,0.0,0.17307692307692307,Helene E. Weinstein RECAP,0.8269230769230769
