ED,Reported As,Reporting,Latrice Monique Walker (Democratic),Lori A. Boozer (Working Families),Berneda Jackson (Republican),Scattered,Total Votes,Latrice Monique Walker RECAP,Lori A. Boozer RECAP,Berneda Jackson RECAP,Scattered RECAP,p_Latrice Monique Walker (Democratic),p_Lori A. Boozer (Working Families),p_Berneda Jackson (Republican),p_Scattered,p_Latrice Monique Walker RECAP,p_Lori A. Boozer RECAP,p_Berneda Jackson RECAP,p_Scattered RECAP,winner,winner_p
55065,55065,100,81,8,2,0,91,81,8,2,0,0.8901098901098901,0.08791208791208792,0.02197802197802198,0.0,0.8901098901098901,0.08791208791208792,0.02197802197802198,0.0,Latrice Monique Walker RECAP,0.8901098901098901
55066,55066,100,129,15,3,0,147,129,15,3,0,0.8775510204081632,0.10204081632653061,0.02040816326530612,0.0,0.8775510204081632,0.10204081632653061,0.02040816326530612,0.0,Latrice Monique Walker RECAP,0.8775510204081632
55067,55067,100,89,9,2,0,100,89,9,2,0,0.89,0.09,0.02,0.0,0.89,0.09,0.02,0.0,Latrice Monique Walker RECAP,0.89
55068,55068,100,109,8,5,0,122,109,8,5,0,0.8934426229508197,0.06557377049180328,0.040983606557377046,0.0,0.8934426229508197,0.06557377049180328,0.040983606557377046,0.0,Latrice Monique Walker RECAP,0.8934426229508197
55069,55069,100,136,4,0,0,140,136,4,0,0,0.9714285714285714,0.02857142857142857,0.0,0.0,0.9714285714285714,0.02857142857142857,0.0,0.0,Latrice Monique Walker RECAP,0.9714285714285714
55070,55070,100,63,1,1,0,65,63,1,1,0,0.9692307692307692,0.015384615384615385,0.015384615384615385,0.0,0.9692307692307692,0.015384615384615385,0.015384615384615385,0.0,Latrice Monique Walker RECAP,0.9692307692307692
55071,55071,100,83,5,0,1,89,83,5,0,1,0.9325842696629213,0.056179775280898875,0.0,0.011235955056179775,0.9325842696629213,0.056179775280898875,0.0,0.011235955056179775,Latrice Monique Walker RECAP,0.9325842696629213
55072,55072,100,163,1,6,0,170,163,1,6,0,0.9588235294117647,0.0058823529411764705,0.03529411764705882,0.0,0.9588235294117647,0.0058823529411764705,0.03529411764705882,0.0,Latrice Monique Walker RECAP,0.9588235294117647
55073,55073,100,3,0,0,0,3,3,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Latrice Monique Walker RECAP,1.0
55074,55074,100,122,4,2,1,129,122,4,2,1,0.9457364341085271,0.031007751937984496,0.015503875968992248,0.007751937984496124,0.9457364341085271,0.031007751937984496,0.015503875968992248,0.007751937984496124,Latrice Monique Walker RECAP,0.9457364341085271
55075,55075,100,126,10,0,0,136,126,10,0,0,0.9264705882352942,0.07352941176470588,0.0,0.0,0.9264705882352942,0.07352941176470588,0.0,0.0,Latrice Monique Walker RECAP,0.9264705882352942
55076,55076,100,119,8,3,2,132,119,8,3,2,0.9015151515151515,0.06060606060606061,0.022727272727272728,0.015151515151515152,0.9015151515151515,0.06060606060606061,0.022727272727272728,0.015151515151515152,Latrice Monique Walker RECAP,0.9015151515151515
55077,55077,100,33,3,0,0,36,33,3,0,0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,Latrice Monique Walker RECAP,0.9166666666666666
55078,55078,100,199,5,0,0,204,199,5,0,0,0.9754901960784313,0.024509803921568627,0.0,0.0,0.9754901960784313,0.024509803921568627,0.0,0.0,Latrice Monique Walker RECAP,0.9754901960784313
55079,55079,100,89,3,3,0,95,89,3,3,0,0.9368421052631579,0.031578947368421054,0.031578947368421054,0.0,0.9368421052631579,0.031578947368421054,0.031578947368421054,0.0,Latrice Monique Walker RECAP,0.9368421052631579
55080,55080,100,114,4,1,0,119,114,4,1,0,0.957983193277311,0.03361344537815126,0.008403361344537815,0.0,0.957983193277311,0.03361344537815126,0.008403361344537815,0.0,Latrice Monique Walker RECAP,0.957983193277311
55081,55081,100,128,8,4,0,140,128,8,4,0,0.9142857142857143,0.05714285714285714,0.02857142857142857,0.0,0.9142857142857143,0.05714285714285714,0.02857142857142857,0.0,Latrice Monique Walker RECAP,0.9142857142857143
55082,55082,100,120,5,2,0,127,120,5,2,0,0.9448818897637795,0.03937007874015748,0.015748031496062992,0.0,0.9448818897637795,0.03937007874015748,0.015748031496062992,0.0,Latrice Monique Walker RECAP,0.9448818897637795
55083,55083,100,101,3,0,0,104,101,3,0,0,0.9711538461538461,0.028846153846153848,0.0,0.0,0.9711538461538461,0.028846153846153848,0.0,0.0,Latrice Monique Walker RECAP,0.9711538461538461
55084,55084,100,177,11,5,1,194,177,11,5,1,0.9123711340206185,0.05670103092783505,0.02577319587628866,0.005154639175257732,0.9123711340206185,0.05670103092783505,0.02577319587628866,0.005154639175257732,Latrice Monique Walker RECAP,0.9123711340206185
55085,55085,100,193,4,8,0,205,193,4,8,0,0.9414634146341463,0.01951219512195122,0.03902439024390244,0.0,0.9414634146341463,0.01951219512195122,0.03902439024390244,0.0,Latrice Monique Walker RECAP,0.9414634146341463
55086,55086,100,61,1,1,0,63,61,1,1,0,0.9682539682539683,0.015873015873015872,0.015873015873015872,0.0,0.9682539682539683,0.015873015873015872,0.015873015873015872,0.0,Latrice Monique Walker RECAP,0.9682539682539683
55087,55087,100,197,7,5,0,209,197,7,5,0,0.9425837320574163,0.03349282296650718,0.023923444976076555,0.0,0.9425837320574163,0.03349282296650718,0.023923444976076555,0.0,Latrice Monique Walker RECAP,0.9425837320574163
55088,55088,100,180,4,1,0,185,180,4,1,0,0.972972972972973,0.021621621621621623,0.005405405405405406,0.0,0.972972972972973,0.021621621621621623,0.005405405405405406,0.0,Latrice Monique Walker RECAP,0.972972972972973
55089,55089,100,201,5,4,0,210,201,5,4,0,0.9571428571428572,0.023809523809523808,0.01904761904761905,0.0,0.9571428571428572,0.023809523809523808,0.01904761904761905,0.0,Latrice Monique Walker RECAP,0.9571428571428572
55090,55090,100,113,4,0,0,117,113,4,0,0,0.9658119658119658,0.03418803418803419,0.0,0.0,0.9658119658119658,0.03418803418803419,0.0,0.0,Latrice Monique Walker RECAP,0.9658119658119658
55091,55091,100,176,7,7,0,190,176,7,7,0,0.9263157894736842,0.03684210526315789,0.03684210526315789,0.0,0.9263157894736842,0.03684210526315789,0.03684210526315789,0.0,Latrice Monique Walker RECAP,0.9263157894736842
55092,55092,100,151,11,0,0,162,151,11,0,0,0.9320987654320988,0.06790123456790123,0.0,0.0,0.9320987654320988,0.06790123456790123,0.0,0.0,Latrice Monique Walker RECAP,0.9320987654320988
55093,55093,100,158,7,3,0,168,158,7,3,0,0.9404761904761905,0.041666666666666664,0.017857142857142856,0.0,0.9404761904761905,0.041666666666666664,0.017857142857142856,0.0,Latrice Monique Walker RECAP,0.9404761904761905
55094,55094,100,176,7,2,0,185,176,7,2,0,0.9513513513513514,0.03783783783783784,0.010810810810810811,0.0,0.9513513513513514,0.03783783783783784,0.010810810810810811,0.0,Latrice Monique Walker RECAP,0.9513513513513514
55095,55095,100,49,5,1,0,55,49,5,1,0,0.8909090909090909,0.09090909090909091,0.01818181818181818,0.0,0.8909090909090909,0.09090909090909091,0.01818181818181818,0.0,Latrice Monique Walker RECAP,0.8909090909090909
55096,55096,100,56,5,1,0,62,56,5,1,0,0.9032258064516129,0.08064516129032258,0.016129032258064516,0.0,0.9032258064516129,0.08064516129032258,0.016129032258064516,0.0,Latrice Monique Walker RECAP,0.9032258064516129
55097,55097,100,168,1,3,0,172,168,1,3,0,0.9767441860465116,0.005813953488372093,0.01744186046511628,0.0,0.9767441860465116,0.005813953488372093,0.01744186046511628,0.0,Latrice Monique Walker RECAP,0.9767441860465116
55098,55098,100,20,0,1,0,21,20,0,1,0,0.9523809523809523,0.0,0.047619047619047616,0.0,0.9523809523809523,0.0,0.047619047619047616,0.0,Latrice Monique Walker RECAP,0.9523809523809523
55099,55099,100,177,7,2,0,186,177,7,2,0,0.9516129032258065,0.03763440860215054,0.010752688172043012,0.0,0.9516129032258065,0.03763440860215054,0.010752688172043012,0.0,Latrice Monique Walker RECAP,0.9516129032258065
55100,55100,100,84,4,1,0,89,84,4,1,0,0.9438202247191011,0.0449438202247191,0.011235955056179775,0.0,0.9438202247191011,0.0449438202247191,0.011235955056179775,0.0,Latrice Monique Walker RECAP,0.9438202247191011
55101,55101,100,104,8,3,0,115,104,8,3,0,0.9043478260869565,0.06956521739130435,0.02608695652173913,0.0,0.9043478260869565,0.06956521739130435,0.02608695652173913,0.0,Latrice Monique Walker RECAP,0.9043478260869565
55102,55102,100,115,6,2,0,123,115,6,2,0,0.9349593495934959,0.04878048780487805,0.016260162601626018,0.0,0.9349593495934959,0.04878048780487805,0.016260162601626018,0.0,Latrice Monique Walker RECAP,0.9349593495934959
55103,55103,100,153,10,2,0,165,153,10,2,0,0.9272727272727272,0.06060606060606061,0.012121212121212121,0.0,0.9272727272727272,0.06060606060606061,0.012121212121212121,0.0,Latrice Monique Walker RECAP,0.9272727272727272
55104,55104,100,182,13,2,1,198,182,13,2,1,0.9191919191919192,0.06565656565656566,0.010101010101010102,0.005050505050505051,0.9191919191919192,0.06565656565656566,0.010101010101010102,0.005050505050505051,Latrice Monique Walker RECAP,0.9191919191919192
55105,55105,100,22,0,0,0,22,22,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Latrice Monique Walker RECAP,1.0
55106,55106,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55107,55107,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55108,55108,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
