ED,Reported As,Reporting,Scattered,Leroy G. Comrie Jr. (Democratic),Leroy G. Comrie Jr. (Working Families),Total Votes,Scattered RECAP,Leroy G. Comrie Jr. RECAP,p_Scattered,p_Leroy G. Comrie Jr. (Democratic),p_Leroy G. Comrie Jr. (Working Families),p_Scattered RECAP,p_Leroy G. Comrie Jr. RECAP,winner,winner_p
24059,24059,100,0,115,9,124,0,124,0.0,0.9274193548387096,0.07258064516129033,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24060,24060,100,0,28,0,28,0,28,0.0,1.0,0.0,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24062,24062,100,1,122,6,129,1,128,0.007751937984496124,0.9457364341085271,0.046511627906976744,0.007751937984496124,0.9922480620155039,Leroy G. Comrie Jr. RECAP,0.9922480620155039
24065,24065,100,0,133,3,136,0,136,0.0,0.9779411764705882,0.022058823529411766,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24066,24066,100,1,142,7,150,1,149,0.006666666666666667,0.9466666666666667,0.04666666666666667,0.006666666666666667,0.9933333333333333,Leroy G. Comrie Jr. RECAP,0.9933333333333333
24078,24078,100,0,135,11,146,0,146,0.0,0.9246575342465754,0.07534246575342465,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
24080,24080,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
24081,24060,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
24083,24080,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
25002,25002,100,1,16,1,18,1,17,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.9444444444444444,Leroy G. Comrie Jr. RECAP,0.9444444444444444
25003,25003,100,2,146,12,160,2,158,0.0125,0.9125,0.075,0.0125,0.9875,Leroy G. Comrie Jr. RECAP,0.9875
25004,25004,100,1,130,23,154,1,153,0.006493506493506494,0.8441558441558441,0.14935064935064934,0.006493506493506494,0.9935064935064936,Leroy G. Comrie Jr. RECAP,0.9935064935064936
25005,25005,100,2,22,2,26,2,24,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.9230769230769231,Leroy G. Comrie Jr. RECAP,0.9230769230769231
25006,25006,100,1,101,5,107,1,106,0.009345794392523364,0.9439252336448598,0.04672897196261682,0.009345794392523364,0.9906542056074766,Leroy G. Comrie Jr. RECAP,0.9906542056074766
25007,25007,100,2,192,20,214,2,212,0.009345794392523364,0.897196261682243,0.09345794392523364,0.009345794392523364,0.9906542056074766,Leroy G. Comrie Jr. RECAP,0.9906542056074766
25008,25008,100,1,107,17,125,1,124,0.008,0.856,0.136,0.008,0.992,Leroy G. Comrie Jr. RECAP,0.992
25009,25009,100,2,34,3,39,2,37,0.05128205128205128,0.8717948717948718,0.07692307692307693,0.05128205128205128,0.9487179487179487,Leroy G. Comrie Jr. RECAP,0.9487179487179487
27002,27002,100,1,139,7,147,1,146,0.006802721088435374,0.9455782312925171,0.047619047619047616,0.006802721088435374,0.9931972789115646,Leroy G. Comrie Jr. RECAP,0.9931972789115646
27003,27003,100,3,120,20,143,3,140,0.02097902097902098,0.8391608391608392,0.13986013986013987,0.02097902097902098,0.9790209790209791,Leroy G. Comrie Jr. RECAP,0.9790209790209791
27004,27004,100,3,153,27,183,3,180,0.01639344262295082,0.8360655737704918,0.14754098360655737,0.01639344262295082,0.9836065573770492,Leroy G. Comrie Jr. RECAP,0.9836065573770492
27005,27005,100,2,157,24,183,2,181,0.01092896174863388,0.8579234972677595,0.13114754098360656,0.01092896174863388,0.9890710382513661,Leroy G. Comrie Jr. RECAP,0.9890710382513661
27006,27006,100,1,151,18,170,1,169,0.0058823529411764705,0.888235294117647,0.10588235294117647,0.0058823529411764705,0.9941176470588236,Leroy G. Comrie Jr. RECAP,0.9941176470588236
27007,27007,100,2,264,46,312,2,310,0.00641025641025641,0.8461538461538461,0.14743589743589744,0.00641025641025641,0.9935897435897436,Leroy G. Comrie Jr. RECAP,0.9935897435897436
27008,27008,100,3,142,17,162,3,159,0.018518518518518517,0.8765432098765432,0.10493827160493827,0.018518518518518517,0.9814814814814815,Leroy G. Comrie Jr. RECAP,0.9814814814814815
27009,27009,100,2,174,21,197,2,195,0.01015228426395939,0.883248730964467,0.1065989847715736,0.01015228426395939,0.9898477157360406,Leroy G. Comrie Jr. RECAP,0.9898477157360406
27011,27011,100,0,107,5,112,0,112,0.0,0.9553571428571429,0.044642857142857144,0.0,1.0,Leroy G. Comrie Jr. RECAP,1.0
27012,27012,100,1,153,28,182,1,181,0.005494505494505495,0.8406593406593407,0.15384615384615385,0.005494505494505495,0.9945054945054945,Leroy G. Comrie Jr. RECAP,0.9945054945054945
