ED,Reported As,Reporting,Maritza Davila (Democratic),Scattered,Total Votes,Maritza Davila RECAP,Scattered RECAP,p_Maritza Davila (Democratic),p_Scattered,p_Maritza Davila RECAP,p_Scattered RECAP,winner,winner_p
53048,53048,100,87,0,87,87,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53049,53049,100,17,1,18,17,1,0.9444444444444444,0.05555555555555555,0.9444444444444444,0.05555555555555555,Maritza Davila RECAP,0.9444444444444444
53050,53050,100,96,0,96,96,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53051,53051,100,69,1,70,69,1,0.9857142857142858,0.014285714285714285,0.9857142857142858,0.014285714285714285,Maritza Davila RECAP,0.9857142857142858
53052,53052,100,11,0,11,11,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53053,53053,100,118,1,119,118,1,0.9915966386554622,0.008403361344537815,0.9915966386554622,0.008403361344537815,Maritza Davila RECAP,0.9915966386554622
53054,53054,100,109,12,121,109,12,0.9008264462809917,0.09917355371900827,0.9008264462809917,0.09917355371900827,Maritza Davila RECAP,0.9008264462809917
53055,53055,100,110,1,111,110,1,0.990990990990991,0.009009009009009009,0.990990990990991,0.009009009009009009,Maritza Davila RECAP,0.990990990990991
53056,53056,100,150,3,153,150,3,0.9803921568627451,0.0196078431372549,0.9803921568627451,0.0196078431372549,Maritza Davila RECAP,0.9803921568627451
53057,53057,100,156,0,156,156,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53058,53058,100,101,4,105,101,4,0.9619047619047619,0.0380952380952381,0.9619047619047619,0.0380952380952381,Maritza Davila RECAP,0.9619047619047619
53059,53059,100,158,2,160,158,2,0.9875,0.0125,0.9875,0.0125,Maritza Davila RECAP,0.9875
53060,53060,100,184,1,185,184,1,0.9945945945945946,0.005405405405405406,0.9945945945945946,0.005405405405405406,Maritza Davila RECAP,0.9945945945945946
53061,53061,100,163,0,163,163,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53062,53062,100,29,0,29,29,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53063,53063,100,99,2,101,99,2,0.9801980198019802,0.019801980198019802,0.9801980198019802,0.019801980198019802,Maritza Davila RECAP,0.9801980198019802
53064,53064,100,86,1,87,86,1,0.9885057471264368,0.011494252873563218,0.9885057471264368,0.011494252873563218,Maritza Davila RECAP,0.9885057471264368
53065,53065,100,117,1,118,117,1,0.9915254237288136,0.00847457627118644,0.9915254237288136,0.00847457627118644,Maritza Davila RECAP,0.9915254237288136
53066,53066,100,165,1,166,165,1,0.9939759036144579,0.006024096385542169,0.9939759036144579,0.006024096385542169,Maritza Davila RECAP,0.9939759036144579
53067,53067,100,138,0,138,138,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53068,53068,100,142,0,142,142,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53069,53069,100,70,1,71,70,1,0.9859154929577465,0.014084507042253521,0.9859154929577465,0.014084507042253521,Maritza Davila RECAP,0.9859154929577465
53070,53070,100,154,0,154,154,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53071,53071,100,82,0,82,82,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53072,53072,100,123,0,123,123,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53073,53073,100,166,1,167,166,1,0.9940119760479041,0.005988023952095809,0.9940119760479041,0.005988023952095809,Maritza Davila RECAP,0.9940119760479041
53074,53074,100,147,1,148,147,1,0.9932432432432432,0.006756756756756757,0.9932432432432432,0.006756756756756757,Maritza Davila RECAP,0.9932432432432432
53075,53075,100,76,0,76,76,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53076,53076,100,97,1,98,97,1,0.9897959183673469,0.01020408163265306,0.9897959183673469,0.01020408163265306,Maritza Davila RECAP,0.9897959183673469
53077,53077,100,133,1,134,133,1,0.9925373134328358,0.007462686567164179,0.9925373134328358,0.007462686567164179,Maritza Davila RECAP,0.9925373134328358
53078,53078,100,39,3,42,39,3,0.9285714285714286,0.07142857142857142,0.9285714285714286,0.07142857142857142,Maritza Davila RECAP,0.9285714285714286
53079,53079,100,47,0,47,47,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53080,53080,100,169,1,170,169,1,0.9941176470588236,0.0058823529411764705,0.9941176470588236,0.0058823529411764705,Maritza Davila RECAP,0.9941176470588236
53081,53081,100,55,0,55,55,0,1.0,0.0,1.0,0.0,Maritza Davila RECAP,1.0
53082,53082,100,0,0,0,0,0,0,0,0,0,n/a,0
