ED,Reported As,Reporting,Eliot L. Engel (Working Families),Eliot L. Engel (Democratic),Scattered,Total Votes,Eliot L. Engel RECAP,Scattered RECAP,p_Eliot L. Engel (Working Families),p_Eliot L. Engel (Democratic),p_Scattered,p_Eliot L. Engel RECAP,p_Scattered RECAP,winner,winner_p
83058,83058,100,0,105,1,106,105,1,0.0,0.9905660377358491,0.009433962264150943,0.9905660377358491,0.009433962264150943,Eliot L. Engel RECAP,0.9905660377358491
83059,83059,100,2,159,1,162,161,1,0.012345679012345678,0.9814814814814815,0.006172839506172839,0.9938271604938271,0.006172839506172839,Eliot L. Engel RECAP,0.9938271604938271
83060,83060,100,1,82,0,83,83,0,0.012048192771084338,0.9879518072289156,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83061,83061,100,2,116,0,118,118,0,0.01694915254237288,0.9830508474576272,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83062,83062,100,2,107,0,109,109,0,0.01834862385321101,0.981651376146789,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83063,83063,100,1,93,0,94,94,0,0.010638297872340425,0.9893617021276596,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83064,83064,100,8,168,0,176,176,0,0.045454545454545456,0.9545454545454546,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83065,83065,100,4,124,0,128,128,0,0.03125,0.96875,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83066,83066,100,6,214,0,220,220,0,0.02727272727272727,0.9727272727272728,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83067,83067,100,4,171,2,177,175,2,0.022598870056497175,0.9661016949152542,0.011299435028248588,0.9887005649717514,0.011299435028248588,Eliot L. Engel RECAP,0.9887005649717514
83068,83068,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
83069,83069,100,13,289,1,303,302,1,0.0429042904290429,0.9537953795379538,0.0033003300330033004,0.9966996699669967,0.0033003300330033004,Eliot L. Engel RECAP,0.9966996699669967
83070,83070,100,14,248,0,262,262,0,0.05343511450381679,0.9465648854961832,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83071,83071,100,7,233,0,240,240,0,0.029166666666666667,0.9708333333333333,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83072,83072,100,4,164,0,168,168,0,0.023809523809523808,0.9761904761904762,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83073,83073,100,6,228,0,234,234,0,0.02564102564102564,0.9743589743589743,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83074,83074,100,8,194,0,202,202,0,0.039603960396039604,0.9603960396039604,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83075,83075,100,10,226,2,238,236,2,0.04201680672268908,0.9495798319327731,0.008403361344537815,0.9915966386554622,0.008403361344537815,Eliot L. Engel RECAP,0.9915966386554622
83076,83076,100,7,226,0,233,233,0,0.030042918454935622,0.9699570815450643,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83077,83077,100,7,156,0,163,163,0,0.04294478527607362,0.9570552147239264,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83078,83078,100,3,143,0,146,146,0,0.02054794520547945,0.9794520547945206,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83079,83079,100,0,182,0,182,182,0,0.0,1.0,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83080,83080,100,4,182,0,186,186,0,0.021505376344086023,0.978494623655914,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83081,83081,100,5,202,0,207,207,0,0.024154589371980676,0.9758454106280193,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83082,83082,100,7,196,1,204,203,1,0.03431372549019608,0.9607843137254902,0.004901960784313725,0.9950980392156863,0.004901960784313725,Eliot L. Engel RECAP,0.9950980392156863
83083,83083,100,2,173,0,175,175,0,0.011428571428571429,0.9885714285714285,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83084,83084,100,0,27,0,27,27,0,0.0,1.0,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83085,83085,100,2,105,0,107,107,0,0.018691588785046728,0.9813084112149533,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83086,83086,100,5,87,0,92,92,0,0.05434782608695652,0.9456521739130435,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
83087,83068,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
