ED,Reported As,Reporting,Charles B. Rangel (Democratic),Charles B. Rangel (Working Families),Scattered,Daniel Vila Rivera (Green),Total Votes,Charles B. Rangel RECAP,Scattered RECAP,Daniel Vila Rivera RECAP,p_Charles B. Rangel (Democratic),p_Charles B. Rangel (Working Families),p_Scattered,p_Daniel Vila Rivera (Green),p_Charles B. Rangel RECAP,p_Scattered RECAP,p_Daniel Vila Rivera RECAP,winner,winner_p
68030,68030,100,93,3,0,5,101,96,0,5,0.9207920792079208,0.0297029702970297,0.0,0.04950495049504951,0.9504950495049505,0.0,0.04950495049504951,Charles B. Rangel RECAP,0.9504950495049505
68031,68031,100,187,9,1,8,205,196,1,8,0.9121951219512195,0.04390243902439024,0.004878048780487805,0.03902439024390244,0.9560975609756097,0.004878048780487805,0.03902439024390244,Charles B. Rangel RECAP,0.9560975609756097
68032,68032,100,111,3,0,5,119,114,0,5,0.9327731092436975,0.025210084033613446,0.0,0.04201680672268908,0.957983193277311,0.0,0.04201680672268908,Charles B. Rangel RECAP,0.957983193277311
68033,68033,100,153,11,0,56,220,164,0,56,0.6954545454545454,0.05,0.0,0.2545454545454545,0.7454545454545455,0.0,0.2545454545454545,Charles B. Rangel RECAP,0.7454545454545455
68034,68034,100,161,11,0,12,184,172,0,12,0.875,0.059782608695652176,0.0,0.06521739130434782,0.9347826086956522,0.0,0.06521739130434782,Charles B. Rangel RECAP,0.9347826086956522
68035,68035,100,85,1,0,3,89,86,0,3,0.9550561797752809,0.011235955056179775,0.0,0.033707865168539325,0.9662921348314607,0.0,0.033707865168539325,Charles B. Rangel RECAP,0.9662921348314607
68036,68036,100,184,2,0,7,193,186,0,7,0.9533678756476683,0.010362694300518135,0.0,0.03626943005181347,0.9637305699481865,0.0,0.03626943005181347,Charles B. Rangel RECAP,0.9637305699481865
68037,68037,100,129,7,1,28,165,136,1,28,0.7818181818181819,0.04242424242424243,0.006060606060606061,0.1696969696969697,0.8242424242424242,0.006060606060606061,0.1696969696969697,Charles B. Rangel RECAP,0.8242424242424242
68038,68038,100,35,11,1,17,64,46,1,17,0.546875,0.171875,0.015625,0.265625,0.71875,0.015625,0.265625,Charles B. Rangel RECAP,0.71875
68039,68039,100,104,10,0,18,132,114,0,18,0.7878787878787878,0.07575757575757576,0.0,0.13636363636363635,0.8636363636363636,0.0,0.13636363636363635,Charles B. Rangel RECAP,0.8636363636363636
68040,68040,100,187,12,0,11,210,199,0,11,0.8904761904761904,0.05714285714285714,0.0,0.05238095238095238,0.9476190476190476,0.0,0.05238095238095238,Charles B. Rangel RECAP,0.9476190476190476
68041,68041,100,208,13,0,25,246,221,0,25,0.8455284552845529,0.052845528455284556,0.0,0.1016260162601626,0.8983739837398373,0.0,0.1016260162601626,Charles B. Rangel RECAP,0.8983739837398373
68042,68042,100,131,4,0,11,146,135,0,11,0.8972602739726028,0.0273972602739726,0.0,0.07534246575342465,0.9246575342465754,0.0,0.07534246575342465,Charles B. Rangel RECAP,0.9246575342465754
68043,68043,100,120,9,0,28,157,129,0,28,0.7643312101910829,0.05732484076433121,0.0,0.17834394904458598,0.821656050955414,0.0,0.17834394904458598,Charles B. Rangel RECAP,0.821656050955414
68044,68044,100,113,2,0,10,125,115,0,10,0.904,0.016,0.0,0.08,0.92,0.0,0.08,Charles B. Rangel RECAP,0.92
68045,68045,100,73,2,0,3,78,75,0,3,0.9358974358974359,0.02564102564102564,0.0,0.038461538461538464,0.9615384615384616,0.0,0.038461538461538464,Charles B. Rangel RECAP,0.9615384615384616
68046,68046,100,113,5,1,20,139,118,1,20,0.8129496402877698,0.03597122302158273,0.007194244604316547,0.14388489208633093,0.8489208633093526,0.007194244604316547,0.14388489208633093,Charles B. Rangel RECAP,0.8489208633093526
68047,68047,100,107,4,1,7,119,111,1,7,0.8991596638655462,0.03361344537815126,0.008403361344537815,0.058823529411764705,0.9327731092436975,0.008403361344537815,0.058823529411764705,Charles B. Rangel RECAP,0.9327731092436975
68048,68048,100,115,3,0,7,125,118,0,7,0.92,0.024,0.0,0.056,0.944,0.0,0.056,Charles B. Rangel RECAP,0.944
68049,68049,100,122,4,0,4,130,126,0,4,0.9384615384615385,0.03076923076923077,0.0,0.03076923076923077,0.9692307692307692,0.0,0.03076923076923077,Charles B. Rangel RECAP,0.9692307692307692
68050,68050,100,201,5,0,10,216,206,0,10,0.9305555555555556,0.023148148148148147,0.0,0.046296296296296294,0.9537037037037037,0.0,0.046296296296296294,Charles B. Rangel RECAP,0.9537037037037037
68051,68051,100,148,7,0,13,168,155,0,13,0.8809523809523809,0.041666666666666664,0.0,0.07738095238095238,0.9226190476190477,0.0,0.07738095238095238,Charles B. Rangel RECAP,0.9226190476190477
68052,68052,100,163,8,0,10,181,171,0,10,0.9005524861878453,0.04419889502762431,0.0,0.055248618784530384,0.9447513812154696,0.0,0.055248618784530384,Charles B. Rangel RECAP,0.9447513812154696
68053,68053,100,130,10,0,8,148,140,0,8,0.8783783783783784,0.06756756756756757,0.0,0.05405405405405406,0.9459459459459459,0.0,0.05405405405405406,Charles B. Rangel RECAP,0.9459459459459459
68054,68054,100,106,9,0,33,148,115,0,33,0.7162162162162162,0.060810810810810814,0.0,0.22297297297297297,0.777027027027027,0.0,0.22297297297297297,Charles B. Rangel RECAP,0.777027027027027
