ED,Reported As,Reporting,Barbara Santander (Conservative),Daniel Zuger (Green),Janelle M. King (Republican),Scattered,Marcos A. Crespo (Democratic),Total Votes,Barbara Santander RECAP,Daniel Zuger RECAP,Janelle M. King RECAP,Scattered RECAP,Marcos A. Crespo RECAP,p_Barbara Santander (Conservative),p_Daniel Zuger (Green),p_Janelle M. King (Republican),p_Scattered,p_Marcos A. Crespo (Democratic),p_Barbara Santander RECAP,p_Daniel Zuger RECAP,p_Janelle M. King RECAP,p_Scattered RECAP,p_Marcos A. Crespo RECAP,winner,winner_p
85011,85011,100,2,1,1,10,173,187,2,1,1,10,173,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.053475935828877004,0.9251336898395722,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.053475935828877004,0.9251336898395722,Marcos A. Crespo RECAP,0.9251336898395722
85012,85012,100,4,3,5,3,180,195,4,3,5,3,180,0.020512820512820513,0.015384615384615385,0.02564102564102564,0.015384615384615385,0.9230769230769231,0.020512820512820513,0.015384615384615385,0.02564102564102564,0.015384615384615385,0.9230769230769231,Marcos A. Crespo RECAP,0.9230769230769231
85013,85013,100,5,0,1,30,211,247,5,0,1,30,211,0.020242914979757085,0.0,0.004048582995951417,0.1214574898785425,0.854251012145749,0.020242914979757085,0.0,0.004048582995951417,0.1214574898785425,0.854251012145749,Marcos A. Crespo RECAP,0.854251012145749
85014,85014,100,2,0,2,2,80,86,2,0,2,2,80,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.9302325581395349,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.9302325581395349,Marcos A. Crespo RECAP,0.9302325581395349
85015,85015,100,2,3,2,11,100,118,2,3,2,11,100,0.01694915254237288,0.025423728813559324,0.01694915254237288,0.09322033898305085,0.847457627118644,0.01694915254237288,0.025423728813559324,0.01694915254237288,0.09322033898305085,0.847457627118644,Marcos A. Crespo RECAP,0.847457627118644
85016,85016,100,2,0,0,6,70,78,2,0,0,6,70,0.02564102564102564,0.0,0.0,0.07692307692307693,0.8974358974358975,0.02564102564102564,0.0,0.0,0.07692307692307693,0.8974358974358975,Marcos A. Crespo RECAP,0.8974358974358975
85017,85017,100,0,0,2,17,121,140,0,0,2,17,121,0.0,0.0,0.014285714285714285,0.12142857142857143,0.8642857142857143,0.0,0.0,0.014285714285714285,0.12142857142857143,0.8642857142857143,Marcos A. Crespo RECAP,0.8642857142857143
85018,85018,100,3,0,1,2,10,16,3,0,1,2,10,0.1875,0.0,0.0625,0.125,0.625,0.1875,0.0,0.0625,0.125,0.625,Marcos A. Crespo RECAP,0.625
85019,85019,100,4,1,4,25,308,342,4,1,4,25,308,0.011695906432748537,0.0029239766081871343,0.011695906432748537,0.07309941520467836,0.9005847953216374,0.011695906432748537,0.0029239766081871343,0.011695906432748537,0.07309941520467836,0.9005847953216374,Marcos A. Crespo RECAP,0.9005847953216374
85020,85020,100,6,1,3,21,221,252,6,1,3,21,221,0.023809523809523808,0.003968253968253968,0.011904761904761904,0.08333333333333333,0.876984126984127,0.023809523809523808,0.003968253968253968,0.011904761904761904,0.08333333333333333,0.876984126984127,Marcos A. Crespo RECAP,0.876984126984127
85021,85021,100,7,0,3,14,194,218,7,0,3,14,194,0.03211009174311927,0.0,0.013761467889908258,0.06422018348623854,0.8899082568807339,0.03211009174311927,0.0,0.013761467889908258,0.06422018348623854,0.8899082568807339,Marcos A. Crespo RECAP,0.8899082568807339
85022,85022,100,0,0,6,3,96,105,0,0,6,3,96,0.0,0.0,0.05714285714285714,0.02857142857142857,0.9142857142857143,0.0,0.0,0.05714285714285714,0.02857142857142857,0.9142857142857143,Marcos A. Crespo RECAP,0.9142857142857143
85023,85023,100,0,0,2,0,93,95,0,0,2,0,93,0.0,0.0,0.021052631578947368,0.0,0.9789473684210527,0.0,0.0,0.021052631578947368,0.0,0.9789473684210527,Marcos A. Crespo RECAP,0.9789473684210527
85024,85024,100,4,2,3,3,216,228,4,2,3,3,216,0.017543859649122806,0.008771929824561403,0.013157894736842105,0.013157894736842105,0.9473684210526315,0.017543859649122806,0.008771929824561403,0.013157894736842105,0.013157894736842105,0.9473684210526315,Marcos A. Crespo RECAP,0.9473684210526315
85025,85025,100,4,1,4,3,216,228,4,1,4,3,216,0.017543859649122806,0.0043859649122807015,0.017543859649122806,0.013157894736842105,0.9473684210526315,0.017543859649122806,0.0043859649122807015,0.017543859649122806,0.013157894736842105,0.9473684210526315,Marcos A. Crespo RECAP,0.9473684210526315
85026,85026,100,2,4,5,2,156,169,2,4,5,2,156,0.011834319526627219,0.023668639053254437,0.029585798816568046,0.011834319526627219,0.9230769230769231,0.011834319526627219,0.023668639053254437,0.029585798816568046,0.011834319526627219,0.9230769230769231,Marcos A. Crespo RECAP,0.9230769230769231
85027,85027,100,1,0,2,1,57,61,1,0,2,1,57,0.01639344262295082,0.0,0.03278688524590164,0.01639344262295082,0.9344262295081968,0.01639344262295082,0.0,0.03278688524590164,0.01639344262295082,0.9344262295081968,Marcos A. Crespo RECAP,0.9344262295081968
85028,85028,100,0,0,0,0,11,11,0,0,0,0,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Marcos A. Crespo RECAP,1.0
85029,85029,100,0,0,1,1,95,97,0,0,1,1,95,0.0,0.0,0.010309278350515464,0.010309278350515464,0.979381443298969,0.0,0.0,0.010309278350515464,0.010309278350515464,0.979381443298969,Marcos A. Crespo RECAP,0.979381443298969
85030,85030,100,3,1,7,4,131,146,3,1,7,4,131,0.02054794520547945,0.00684931506849315,0.04794520547945205,0.0273972602739726,0.8972602739726028,0.02054794520547945,0.00684931506849315,0.04794520547945205,0.0273972602739726,0.8972602739726028,Marcos A. Crespo RECAP,0.8972602739726028
85031,85031,100,2,0,5,6,155,168,2,0,5,6,155,0.011904761904761904,0.0,0.02976190476190476,0.03571428571428571,0.9226190476190477,0.011904761904761904,0.0,0.02976190476190476,0.03571428571428571,0.9226190476190477,Marcos A. Crespo RECAP,0.9226190476190477
85032,85032,100,4,3,7,0,176,190,4,3,7,0,176,0.021052631578947368,0.015789473684210527,0.03684210526315789,0.0,0.9263157894736842,0.021052631578947368,0.015789473684210527,0.03684210526315789,0.0,0.9263157894736842,Marcos A. Crespo RECAP,0.9263157894736842
85033,85033,100,6,1,8,0,170,185,6,1,8,0,170,0.032432432432432434,0.005405405405405406,0.043243243243243246,0.0,0.918918918918919,0.032432432432432434,0.005405405405405406,0.043243243243243246,0.0,0.918918918918919,Marcos A. Crespo RECAP,0.918918918918919
85034,85034,100,5,1,4,0,151,161,5,1,4,0,151,0.031055900621118012,0.006211180124223602,0.024844720496894408,0.0,0.937888198757764,0.031055900621118012,0.006211180124223602,0.024844720496894408,0.0,0.937888198757764,Marcos A. Crespo RECAP,0.937888198757764
85035,85035,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85036,85036,100,1,0,2,0,33,36,1,0,2,0,33,0.027777777777777776,0.0,0.05555555555555555,0.0,0.9166666666666666,0.027777777777777776,0.0,0.05555555555555555,0.0,0.9166666666666666,Marcos A. Crespo RECAP,0.9166666666666666
