ED,Reported As,Reporting,Sheldon Silver (Democratic),Sheldon Silver (Working Families),Scattered,Maureen Koetz (Republican),Total Votes,Sheldon Silver RECAP,Scattered RECAP,Maureen Koetz RECAP,p_Sheldon Silver (Democratic),p_Sheldon Silver (Working Families),p_Scattered,p_Maureen Koetz (Republican),p_Sheldon Silver RECAP,p_Scattered RECAP,p_Maureen Koetz RECAP,winner,winner_p
65035,65035,100,104,2,0,15,121,106,0,15,0.859504132231405,0.01652892561983471,0.0,0.12396694214876033,0.8760330578512396,0.0,0.12396694214876033,Sheldon Silver RECAP,0.8760330578512396
65036,65036,100,139,2,0,13,154,141,0,13,0.9025974025974026,0.012987012987012988,0.0,0.08441558441558442,0.9155844155844156,0.0,0.08441558441558442,Sheldon Silver RECAP,0.9155844155844156
65037,65037,100,125,6,0,6,137,131,0,6,0.9124087591240876,0.043795620437956206,0.0,0.043795620437956206,0.9562043795620438,0.0,0.043795620437956206,Sheldon Silver RECAP,0.9562043795620438
65038,65038,100,126,12,0,17,155,138,0,17,0.8129032258064516,0.07741935483870968,0.0,0.10967741935483871,0.8903225806451613,0.0,0.10967741935483871,Sheldon Silver RECAP,0.8903225806451613
65039,65039,100,97,14,0,27,138,111,0,27,0.7028985507246377,0.10144927536231885,0.0,0.1956521739130435,0.8043478260869565,0.0,0.1956521739130435,Sheldon Silver RECAP,0.8043478260869565
65040,65040,100,102,9,1,5,117,111,1,5,0.8717948717948718,0.07692307692307693,0.008547008547008548,0.042735042735042736,0.9487179487179487,0.008547008547008548,0.042735042735042736,Sheldon Silver RECAP,0.9487179487179487
65041,65041,100,79,10,0,20,109,89,0,20,0.7247706422018348,0.09174311926605505,0.0,0.1834862385321101,0.8165137614678899,0.0,0.1834862385321101,Sheldon Silver RECAP,0.8165137614678899
65042,65042,100,97,15,0,13,125,112,0,13,0.776,0.12,0.0,0.104,0.896,0.0,0.104,Sheldon Silver RECAP,0.896
65043,65043,100,162,5,1,9,177,167,1,9,0.9152542372881356,0.02824858757062147,0.005649717514124294,0.05084745762711865,0.943502824858757,0.005649717514124294,0.05084745762711865,Sheldon Silver RECAP,0.943502824858757
65044,65044,100,261,45,2,45,353,306,2,45,0.7393767705382436,0.1274787535410765,0.0056657223796034,0.1274787535410765,0.8668555240793201,0.0056657223796034,0.1274787535410765,Sheldon Silver RECAP,0.8668555240793201
65045,65045,100,246,38,1,44,329,284,1,44,0.7477203647416414,0.11550151975683891,0.00303951367781155,0.1337386018237082,0.8632218844984803,0.00303951367781155,0.1337386018237082,Sheldon Silver RECAP,0.8632218844984803
65046,65046,100,190,29,6,28,253,219,6,28,0.7509881422924901,0.11462450592885376,0.023715415019762844,0.11067193675889328,0.8656126482213439,0.023715415019762844,0.11067193675889328,Sheldon Silver RECAP,0.8656126482213439
65047,65047,100,171,23,2,34,230,194,2,34,0.7434782608695653,0.1,0.008695652173913044,0.14782608695652175,0.8434782608695652,0.008695652173913044,0.14782608695652175,Sheldon Silver RECAP,0.8434782608695652
65048,65048,100,212,47,2,30,291,259,2,30,0.7285223367697594,0.16151202749140894,0.006872852233676976,0.10309278350515463,0.8900343642611683,0.006872852233676976,0.10309278350515463,Sheldon Silver RECAP,0.8900343642611683
65049,65049,100,181,12,1,35,229,193,1,35,0.7903930131004366,0.05240174672489083,0.004366812227074236,0.15283842794759825,0.8427947598253275,0.004366812227074236,0.15283842794759825,Sheldon Silver RECAP,0.8427947598253275
