ED,Reported As,Reporting,Nachman C. Caller (Republican),Dov Hikind (Conservative),Dov Hikind (Democratic),Nachman C. Caller (The Housing & Jobs),Scattered,Total Votes,Nachman C. Caller RECAP,Dov Hikind RECAP,Scattered RECAP,p_Nachman C. Caller (Republican),p_Dov Hikind (Conservative),p_Dov Hikind (Democratic),p_Nachman C. Caller (The Housing & Jobs),p_Scattered,p_Nachman C. Caller RECAP,p_Dov Hikind RECAP,p_Scattered RECAP,winner,winner_p
48016,48016,100,79,43,170,3,0,295,82,213,0,0.2677966101694915,0.14576271186440679,0.576271186440678,0.010169491525423728,0.0,0.27796610169491526,0.7220338983050848,0.0,Dov Hikind RECAP,0.7220338983050848
48017,48017,100,106,48,244,6,0,404,112,292,0,0.2623762376237624,0.1188118811881188,0.6039603960396039,0.01485148514851485,0.0,0.27722772277227725,0.7227722772277227,0.0,Dov Hikind RECAP,0.7227722772277227
48018,48018,100,64,60,324,7,3,458,71,384,3,0.13973799126637554,0.13100436681222707,0.7074235807860262,0.015283842794759825,0.006550218340611353,0.15502183406113537,0.8384279475982532,0.006550218340611353,Dov Hikind RECAP,0.8384279475982532
48019,48019,100,54,54,284,1,2,395,55,338,2,0.13670886075949368,0.13670886075949368,0.7189873417721518,0.002531645569620253,0.005063291139240506,0.13924050632911392,0.8556962025316456,0.005063291139240506,Dov Hikind RECAP,0.8556962025316456
48020,48020,100,71,56,333,2,0,462,73,389,0,0.15367965367965367,0.12121212121212122,0.7207792207792207,0.004329004329004329,0.0,0.15800865800865802,0.841991341991342,0.0,Dov Hikind RECAP,0.841991341991342
48021,48021,100,76,50,245,3,5,379,79,295,5,0.20052770448548812,0.13192612137203166,0.6464379947229552,0.0079155672823219,0.013192612137203167,0.20844327176781002,0.7783641160949868,0.013192612137203167,Dov Hikind RECAP,0.7783641160949868
48022,48022,100,115,50,260,3,0,428,118,310,0,0.26869158878504673,0.11682242990654206,0.6074766355140186,0.007009345794392523,0.0,0.2757009345794392,0.7242990654205608,0.0,Dov Hikind RECAP,0.7242990654205608
48023,48023,100,64,53,207,2,1,327,66,260,1,0.19571865443425077,0.1620795107033639,0.6330275229357798,0.0061162079510703364,0.0030581039755351682,0.2018348623853211,0.7951070336391437,0.0030581039755351682,Dov Hikind RECAP,0.7951070336391437
48024,48024,100,77,50,186,3,0,316,80,236,0,0.24367088607594936,0.15822784810126583,0.5886075949367089,0.00949367088607595,0.0,0.25316455696202533,0.7468354430379747,0.0,Dov Hikind RECAP,0.7468354430379747
48025,48025,100,60,68,277,4,2,411,64,345,2,0.145985401459854,0.1654501216545012,0.6739659367396593,0.009732360097323601,0.004866180048661801,0.15571776155717762,0.8394160583941606,0.004866180048661801,Dov Hikind RECAP,0.8394160583941606
