ED,Reported As,Reporting,Adriano Espaillat (Democratic),Scattered,Total Votes,Adriano Espaillat RECAP,Scattered RECAP,p_Adriano Espaillat (Democratic),p_Scattered,p_Adriano Espaillat RECAP,p_Scattered RECAP,winner,winner_p
71068,71068,100,81,5,86,81,5,0.9418604651162791,0.05813953488372093,0.9418604651162791,0.05813953488372093,Adriano Espaillat RECAP,0.9418604651162791
71069,71069,100,179,1,180,179,1,0.9944444444444445,0.005555555555555556,0.9944444444444445,0.005555555555555556,Adriano Espaillat RECAP,0.9944444444444445
71070,71070,100,195,1,196,195,1,0.9948979591836735,0.00510204081632653,0.9948979591836735,0.00510204081632653,Adriano Espaillat RECAP,0.9948979591836735
71071,71071,100,21,0,21,21,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
71072,71072,100,162,6,168,162,6,0.9642857142857143,0.03571428571428571,0.9642857142857143,0.03571428571428571,Adriano Espaillat RECAP,0.9642857142857143
71073,71073,100,143,2,145,143,2,0.9862068965517241,0.013793103448275862,0.9862068965517241,0.013793103448275862,Adriano Espaillat RECAP,0.9862068965517241
71074,71074,100,158,2,160,158,2,0.9875,0.0125,0.9875,0.0125,Adriano Espaillat RECAP,0.9875
71075,71075,100,159,3,162,159,3,0.9814814814814815,0.018518518518518517,0.9814814814814815,0.018518518518518517,Adriano Espaillat RECAP,0.9814814814814815
71076,71076,100,230,5,235,230,5,0.9787234042553191,0.02127659574468085,0.9787234042553191,0.02127659574468085,Adriano Espaillat RECAP,0.9787234042553191
71077,71077,100,228,3,231,228,3,0.987012987012987,0.012987012987012988,0.987012987012987,0.012987012987012988,Adriano Espaillat RECAP,0.987012987012987
71078,71078,100,277,5,282,277,5,0.9822695035460993,0.01773049645390071,0.9822695035460993,0.01773049645390071,Adriano Espaillat RECAP,0.9822695035460993
71079,71079,100,211,3,214,211,3,0.985981308411215,0.014018691588785047,0.985981308411215,0.014018691588785047,Adriano Espaillat RECAP,0.985981308411215
71080,71080,100,124,2,126,124,2,0.9841269841269841,0.015873015873015872,0.9841269841269841,0.015873015873015872,Adriano Espaillat RECAP,0.9841269841269841
71081,71081,100,188,7,195,188,7,0.9641025641025641,0.035897435897435895,0.9641025641025641,0.035897435897435895,Adriano Espaillat RECAP,0.9641025641025641
71082,71082,100,195,6,201,195,6,0.9701492537313433,0.029850746268656716,0.9701492537313433,0.029850746268656716,Adriano Espaillat RECAP,0.9701492537313433
71083,71083,100,357,17,374,357,17,0.9545454545454546,0.045454545454545456,0.9545454545454546,0.045454545454545456,Adriano Espaillat RECAP,0.9545454545454546
71084,71084,100,147,1,148,147,1,0.9932432432432432,0.006756756756756757,0.9932432432432432,0.006756756756756757,Adriano Espaillat RECAP,0.9932432432432432
71085,71085,100,178,3,181,178,3,0.9834254143646409,0.016574585635359115,0.9834254143646409,0.016574585635359115,Adriano Espaillat RECAP,0.9834254143646409
71086,71086,100,20,2,22,20,2,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.09090909090909091,Adriano Espaillat RECAP,0.9090909090909091
71092,71092,100,200,2,202,200,2,0.9900990099009901,0.009900990099009901,0.9900990099009901,0.009900990099009901,Adriano Espaillat RECAP,0.9900990099009901
71200,71200,100,0,0,0,0,0,0,0,0,0,n/a,0
71201,71201,100,0,0,0,0,0,0,0,0,0,n/a,0
72002,72002,100,218,1,219,218,1,0.9954337899543378,0.0045662100456621,0.9954337899543378,0.0045662100456621,Adriano Espaillat RECAP,0.9954337899543378
72003,72003,100,150,0,150,150,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72004,72004,100,193,4,197,193,4,0.9796954314720813,0.02030456852791878,0.9796954314720813,0.02030456852791878,Adriano Espaillat RECAP,0.9796954314720813
