ED,Reported As,Reporting,Aravella Simotas (Working Families),Aravella Simotas (Democratic),Scattered,Total Votes,Aravella Simotas RECAP,Scattered RECAP,p_Aravella Simotas (Working Families),p_Aravella Simotas (Democratic),p_Scattered,p_Aravella Simotas RECAP,p_Scattered RECAP,winner,winner_p
36039,36039,100,36,179,3,218,215,3,0.1651376146788991,0.8211009174311926,0.013761467889908258,0.9862385321100917,0.013761467889908258,Aravella Simotas RECAP,0.9862385321100917
36040,36040,100,34,183,2,219,217,2,0.1552511415525114,0.8356164383561644,0.0091324200913242,0.9908675799086758,0.0091324200913242,Aravella Simotas RECAP,0.9908675799086758
36041,36041,100,48,186,4,238,234,4,0.20168067226890757,0.7815126050420168,0.01680672268907563,0.9831932773109243,0.01680672268907563,Aravella Simotas RECAP,0.9831932773109243
36042,36042,100,31,183,3,217,214,3,0.14285714285714285,0.8433179723502304,0.013824884792626729,0.9861751152073732,0.013824884792626729,Aravella Simotas RECAP,0.9861751152073732
36043,36043,100,8,24,0,32,32,0,0.25,0.75,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36044,36044,100,0,14,0,14,14,0,0.0,1.0,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36045,36045,100,14,80,2,96,94,2,0.14583333333333334,0.8333333333333334,0.020833333333333332,0.9791666666666666,0.020833333333333332,Aravella Simotas RECAP,0.9791666666666666
36046,36046,100,16,98,2,116,114,2,0.13793103448275862,0.8448275862068966,0.017241379310344827,0.9827586206896551,0.017241379310344827,Aravella Simotas RECAP,0.9827586206896551
36047,36047,100,24,134,0,158,158,0,0.1518987341772152,0.8481012658227848,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36048,36048,100,23,117,1,141,140,1,0.16312056737588654,0.8297872340425532,0.0070921985815602835,0.9929078014184397,0.0070921985815602835,Aravella Simotas RECAP,0.9929078014184397
36049,36049,100,26,120,1,147,146,1,0.17687074829931973,0.8163265306122449,0.006802721088435374,0.9931972789115646,0.006802721088435374,Aravella Simotas RECAP,0.9931972789115646
36050,36050,100,4,42,0,46,46,0,0.08695652173913043,0.9130434782608695,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36051,36051,100,0,15,0,15,15,0,0.0,1.0,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36052,36052,100,30,169,0,199,199,0,0.1507537688442211,0.8492462311557789,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36053,36053,100,30,157,1,188,187,1,0.1595744680851064,0.8351063829787234,0.005319148936170213,0.9946808510638298,0.005319148936170213,Aravella Simotas RECAP,0.9946808510638298
36054,36054,100,16,95,2,113,111,2,0.1415929203539823,0.8407079646017699,0.017699115044247787,0.9823008849557522,0.017699115044247787,Aravella Simotas RECAP,0.9823008849557522
36055,36055,100,39,146,1,186,185,1,0.20967741935483872,0.7849462365591398,0.005376344086021506,0.9946236559139785,0.005376344086021506,Aravella Simotas RECAP,0.9946236559139785
36056,36056,100,28,99,2,129,127,2,0.21705426356589147,0.7674418604651163,0.015503875968992248,0.9844961240310077,0.015503875968992248,Aravella Simotas RECAP,0.9844961240310077
36057,36057,100,27,133,1,161,160,1,0.16770186335403728,0.8260869565217391,0.006211180124223602,0.9937888198757764,0.006211180124223602,Aravella Simotas RECAP,0.9937888198757764
36058,36058,100,25,138,0,163,163,0,0.15337423312883436,0.8466257668711656,0.0,1.0,0.0,Aravella Simotas RECAP,1.0
36059,36059,100,35,112,6,153,147,6,0.22875816993464052,0.7320261437908496,0.0392156862745098,0.9607843137254902,0.0392156862745098,Aravella Simotas RECAP,0.9607843137254902
