ED,Reported As,Reporting,Edward C. Braunstein (Working Families),Edward C. Braunstein (Independence),Scattered,Edward C. Braunstein (Democratic),Total Votes,Edward C. Braunstein RECAP,Scattered RECAP,p_Edward C. Braunstein (Working Families),p_Edward C. Braunstein (Independence),p_Scattered,p_Edward C. Braunstein (Democratic),p_Edward C. Braunstein RECAP,p_Scattered RECAP,winner,winner_p
26021,26021,100,6,17,0,188,211,211,0,0.02843601895734597,0.08056872037914692,0.0,0.8909952606635071,1.0,0.0,Edward C. Braunstein RECAP,1.0
26022,26022,100,22,28,1,250,301,300,1,0.07308970099667775,0.09302325581395349,0.0033222591362126247,0.8305647840531561,0.9966777408637874,0.0033222591362126247,Edward C. Braunstein RECAP,0.9966777408637874
26023,26023,100,10,15,2,281,308,306,2,0.032467532467532464,0.048701298701298704,0.006493506493506494,0.9123376623376623,0.9935064935064936,0.006493506493506494,Edward C. Braunstein RECAP,0.9935064935064936
26024,26024,100,11,14,1,235,261,260,1,0.0421455938697318,0.05363984674329502,0.0038314176245210726,0.9003831417624522,0.9961685823754789,0.0038314176245210726,Edward C. Braunstein RECAP,0.9961685823754789
26025,26025,100,4,16,1,212,233,232,1,0.017167381974248927,0.06866952789699571,0.004291845493562232,0.9098712446351931,0.9957081545064378,0.004291845493562232,Edward C. Braunstein RECAP,0.9957081545064378
26026,26026,100,8,7,1,139,155,154,1,0.05161290322580645,0.04516129032258064,0.0064516129032258064,0.896774193548387,0.9935483870967742,0.0064516129032258064,Edward C. Braunstein RECAP,0.9935483870967742
26027,26027,100,14,21,0,234,269,269,0,0.05204460966542751,0.07806691449814127,0.0,0.8698884758364313,1.0,0.0,Edward C. Braunstein RECAP,1.0
26028,26028,100,14,31,2,161,208,206,2,0.0673076923076923,0.14903846153846154,0.009615384615384616,0.7740384615384616,0.9903846153846154,0.009615384615384616,Edward C. Braunstein RECAP,0.9903846153846154
26029,26029,100,23,31,0,168,222,222,0,0.1036036036036036,0.13963963963963963,0.0,0.7567567567567568,1.0,0.0,Edward C. Braunstein RECAP,1.0
26030,26030,100,30,26,4,230,290,286,4,0.10344827586206896,0.0896551724137931,0.013793103448275862,0.7931034482758621,0.9862068965517241,0.013793103448275862,Edward C. Braunstein RECAP,0.9862068965517241
26031,26031,100,23,40,0,204,267,267,0,0.08614232209737828,0.149812734082397,0.0,0.7640449438202247,1.0,0.0,Edward C. Braunstein RECAP,1.0
26032,26032,100,25,31,2,179,237,235,2,0.10548523206751055,0.1308016877637131,0.008438818565400843,0.7552742616033755,0.9915611814345991,0.008438818565400843,Edward C. Braunstein RECAP,0.9915611814345991
26033,26033,100,23,50,5,204,282,277,5,0.08156028368794327,0.1773049645390071,0.01773049645390071,0.723404255319149,0.9822695035460993,0.01773049645390071,Edward C. Braunstein RECAP,0.9822695035460993
26034,26034,100,15,20,0,83,118,118,0,0.1271186440677966,0.1694915254237288,0.0,0.7033898305084746,1.0,0.0,Edward C. Braunstein RECAP,1.0
26035,26035,100,20,24,2,164,210,208,2,0.09523809523809523,0.11428571428571428,0.009523809523809525,0.780952380952381,0.9904761904761905,0.009523809523809525,Edward C. Braunstein RECAP,0.9904761904761905
26036,26036,100,3,3,1,61,68,67,1,0.04411764705882353,0.04411764705882353,0.014705882352941176,0.8970588235294118,0.9852941176470589,0.014705882352941176,Edward C. Braunstein RECAP,0.9852941176470589
26037,26037,100,14,11,2,137,164,162,2,0.08536585365853659,0.06707317073170732,0.012195121951219513,0.8353658536585366,0.9878048780487805,0.012195121951219513,Edward C. Braunstein RECAP,0.9878048780487805
26038,26038,100,3,1,0,12,16,16,0,0.1875,0.0625,0.0,0.75,1.0,0.0,Edward C. Braunstein RECAP,1.0
26039,26039,100,9,3,1,106,119,118,1,0.07563025210084033,0.025210084033613446,0.008403361344537815,0.8907563025210085,0.9915966386554622,0.008403361344537815,Edward C. Braunstein RECAP,0.9915966386554622
26040,26040,100,11,6,0,81,98,98,0,0.11224489795918367,0.061224489795918366,0.0,0.826530612244898,1.0,0.0,Edward C. Braunstein RECAP,1.0
26041,26041,100,0,0,0,5,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,Edward C. Braunstein RECAP,1.0
26042,26042,100,13,12,1,93,119,118,1,0.1092436974789916,0.10084033613445378,0.008403361344537815,0.7815126050420168,0.9915966386554622,0.008403361344537815,Edward C. Braunstein RECAP,0.9915966386554622
26043,26043,100,8,6,2,64,80,78,2,0.1,0.075,0.025,0.8,0.975,0.025,Edward C. Braunstein RECAP,0.975
26044,26044,100,2,6,0,52,60,60,0,0.03333333333333333,0.1,0.0,0.8666666666666667,1.0,0.0,Edward C. Braunstein RECAP,1.0
26045,26045,100,21,16,1,227,265,264,1,0.07924528301886792,0.06037735849056604,0.0037735849056603774,0.8566037735849057,0.9962264150943396,0.0037735849056603774,Edward C. Braunstein RECAP,0.9962264150943396
