ED,Reported As,Reporting,Jeffrey Dinowitz (Democratic),Alan H. Reed (Conservative),Scattered,Jeffrey Dinowitz (Working Families),Total Votes,Jeffrey Dinowitz RECAP,Alan H. Reed RECAP,Scattered RECAP,p_Jeffrey Dinowitz (Democratic),p_Alan H. Reed (Conservative),p_Scattered,p_Jeffrey Dinowitz (Working Families),p_Jeffrey Dinowitz RECAP,p_Alan H. Reed RECAP,p_Scattered RECAP,winner,winner_p
81062,81062,100,178,20,1,23,222,201,20,1,0.8018018018018018,0.09009009009009009,0.0045045045045045045,0.1036036036036036,0.9054054054054054,0.09009009009009009,0.0045045045045045045,Jeffrey Dinowitz RECAP,0.9054054054054054
81063,81063,100,162,37,0,29,228,191,37,0,0.7105263157894737,0.16228070175438597,0.0,0.12719298245614036,0.8377192982456141,0.16228070175438597,0.0,Jeffrey Dinowitz RECAP,0.8377192982456141
81064,81064,100,319,21,2,35,377,354,21,2,0.8461538461538461,0.05570291777188329,0.005305039787798408,0.09283819628647215,0.9389920424403183,0.05570291777188329,0.005305039787798408,Jeffrey Dinowitz RECAP,0.9389920424403183
81065,81065,100,206,32,0,29,267,235,32,0,0.7715355805243446,0.1198501872659176,0.0,0.10861423220973783,0.8801498127340824,0.1198501872659176,0.0,Jeffrey Dinowitz RECAP,0.8801498127340824
81066,81066,100,97,19,0,23,139,120,19,0,0.697841726618705,0.1366906474820144,0.0,0.16546762589928057,0.8633093525179856,0.1366906474820144,0.0,Jeffrey Dinowitz RECAP,0.8633093525179856
81067,81067,100,122,9,0,24,155,146,9,0,0.7870967741935484,0.05806451612903226,0.0,0.15483870967741936,0.9419354838709677,0.05806451612903226,0.0,Jeffrey Dinowitz RECAP,0.9419354838709677
81068,81068,100,239,42,0,47,328,286,42,0,0.7286585365853658,0.12804878048780488,0.0,0.14329268292682926,0.8719512195121951,0.12804878048780488,0.0,Jeffrey Dinowitz RECAP,0.8719512195121951
81069,81069,100,236,33,4,32,305,268,33,4,0.7737704918032787,0.10819672131147541,0.013114754098360656,0.10491803278688525,0.8786885245901639,0.10819672131147541,0.013114754098360656,Jeffrey Dinowitz RECAP,0.8786885245901639
81070,81070,100,137,8,0,16,161,153,8,0,0.8509316770186336,0.049689440993788817,0.0,0.09937888198757763,0.9503105590062112,0.049689440993788817,0.0,Jeffrey Dinowitz RECAP,0.9503105590062112
81071,81071,100,263,22,1,33,319,296,22,1,0.8244514106583072,0.06896551724137931,0.003134796238244514,0.10344827586206896,0.9278996865203761,0.06896551724137931,0.003134796238244514,Jeffrey Dinowitz RECAP,0.9278996865203761
81072,81072,100,180,24,2,28,234,208,24,2,0.7692307692307693,0.10256410256410256,0.008547008547008548,0.11965811965811966,0.8888888888888888,0.10256410256410256,0.008547008547008548,Jeffrey Dinowitz RECAP,0.8888888888888888
81073,81073,100,211,16,2,16,245,227,16,2,0.8612244897959184,0.0653061224489796,0.00816326530612245,0.0653061224489796,0.926530612244898,0.0653061224489796,0.00816326530612245,Jeffrey Dinowitz RECAP,0.926530612244898
81074,81074,100,184,18,1,30,233,214,18,1,0.7896995708154506,0.07725321888412018,0.004291845493562232,0.12875536480686695,0.9184549356223176,0.07725321888412018,0.004291845493562232,Jeffrey Dinowitz RECAP,0.9184549356223176
81075,81075,100,159,19,1,27,206,186,19,1,0.7718446601941747,0.09223300970873786,0.0048543689320388345,0.13106796116504854,0.9029126213592233,0.09223300970873786,0.0048543689320388345,Jeffrey Dinowitz RECAP,0.9029126213592233
81076,81076,100,196,19,1,28,244,224,19,1,0.8032786885245902,0.0778688524590164,0.004098360655737705,0.11475409836065574,0.9180327868852459,0.0778688524590164,0.004098360655737705,Jeffrey Dinowitz RECAP,0.9180327868852459
81077,81077,100,160,19,1,30,210,190,19,1,0.7619047619047619,0.09047619047619047,0.004761904761904762,0.14285714285714285,0.9047619047619048,0.09047619047619047,0.004761904761904762,Jeffrey Dinowitz RECAP,0.9047619047619048
81078,81078,100,294,24,0,34,352,328,24,0,0.8352272727272727,0.06818181818181818,0.0,0.09659090909090909,0.9318181818181818,0.06818181818181818,0.0,Jeffrey Dinowitz RECAP,0.9318181818181818
81079,81079,100,190,18,1,16,225,206,18,1,0.8444444444444444,0.08,0.0044444444444444444,0.07111111111111111,0.9155555555555556,0.08,0.0044444444444444444,Jeffrey Dinowitz RECAP,0.9155555555555556
81080,81080,100,221,32,1,55,309,276,32,1,0.7152103559870551,0.10355987055016182,0.003236245954692557,0.1779935275080906,0.8932038834951457,0.10355987055016182,0.003236245954692557,Jeffrey Dinowitz RECAP,0.8932038834951457
81081,81081,100,146,14,1,31,192,177,14,1,0.7604166666666666,0.07291666666666667,0.005208333333333333,0.16145833333333334,0.921875,0.07291666666666667,0.005208333333333333,Jeffrey Dinowitz RECAP,0.921875
81082,81082,100,144,18,0,19,181,163,18,0,0.7955801104972375,0.09944751381215469,0.0,0.10497237569060773,0.9005524861878453,0.09944751381215469,0.0,Jeffrey Dinowitz RECAP,0.9005524861878453
