ED,Reported As,Reporting,Jose Rivera (Democratic),Fernando P. Tirado (Independence),Scattered,Fernando P. Tirado (Republican),Total Votes,Jose Rivera RECAP,Fernando P. Tirado RECAP,Scattered RECAP,p_Jose Rivera (Democratic),p_Fernando P. Tirado (Independence),p_Scattered,p_Fernando P. Tirado (Republican),p_Jose Rivera RECAP,p_Fernando P. Tirado RECAP,p_Scattered RECAP,winner,winner_p
78018,78018,100,103,2,0,11,116,103,13,0,0.8879310344827587,0.017241379310344827,0.0,0.09482758620689655,0.8879310344827587,0.11206896551724138,0.0,Jose Rivera RECAP,0.8879310344827587
78019,78019,100,98,0,0,7,105,98,7,0,0.9333333333333333,0.0,0.0,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.0,Jose Rivera RECAP,0.9333333333333333
78020,78020,100,112,5,0,8,125,112,13,0,0.896,0.04,0.0,0.064,0.896,0.104,0.0,Jose Rivera RECAP,0.896
78021,78021,100,143,3,0,8,154,143,11,0,0.9285714285714286,0.01948051948051948,0.0,0.05194805194805195,0.9285714285714286,0.07142857142857142,0.0,Jose Rivera RECAP,0.9285714285714286
78022,78022,100,137,1,0,7,145,137,8,0,0.9448275862068966,0.006896551724137931,0.0,0.04827586206896552,0.9448275862068966,0.05517241379310345,0.0,Jose Rivera RECAP,0.9448275862068966
78023,78023,100,148,2,0,10,160,148,12,0,0.925,0.0125,0.0,0.0625,0.925,0.075,0.0,Jose Rivera RECAP,0.925
78024,78024,100,140,6,0,12,158,140,18,0,0.8860759493670886,0.0379746835443038,0.0,0.0759493670886076,0.8860759493670886,0.11392405063291139,0.0,Jose Rivera RECAP,0.8860759493670886
78025,78025,100,99,1,0,4,104,99,5,0,0.9519230769230769,0.009615384615384616,0.0,0.038461538461538464,0.9519230769230769,0.04807692307692308,0.0,Jose Rivera RECAP,0.9519230769230769
78026,78026,100,106,1,1,5,113,106,6,1,0.9380530973451328,0.008849557522123894,0.008849557522123894,0.04424778761061947,0.9380530973451328,0.05309734513274336,0.008849557522123894,Jose Rivera RECAP,0.9380530973451328
78027,78027,100,90,0,1,5,96,90,5,1,0.9375,0.0,0.010416666666666666,0.052083333333333336,0.9375,0.052083333333333336,0.010416666666666666,Jose Rivera RECAP,0.9375
78028,78028,100,177,6,0,21,204,177,27,0,0.8676470588235294,0.029411764705882353,0.0,0.10294117647058823,0.8676470588235294,0.1323529411764706,0.0,Jose Rivera RECAP,0.8676470588235294
78029,78029,100,121,3,1,7,132,121,10,1,0.9166666666666666,0.022727272727272728,0.007575757575757576,0.05303030303030303,0.9166666666666666,0.07575757575757576,0.007575757575757576,Jose Rivera RECAP,0.9166666666666666
78030,78030,100,130,6,0,27,163,130,33,0,0.7975460122699386,0.03680981595092025,0.0,0.1656441717791411,0.7975460122699386,0.20245398773006135,0.0,Jose Rivera RECAP,0.7975460122699386
78031,78031,100,112,6,0,20,138,112,26,0,0.8115942028985508,0.043478260869565216,0.0,0.14492753623188406,0.8115942028985508,0.18840579710144928,0.0,Jose Rivera RECAP,0.8115942028985508
