ED,Reported As,Reporting,Mike Yusupov (Conservative),James F. Brennan (Working Families),Mike Yusupov (Republican),Scattered,James F. Brennan (Democratic),Total Votes,Mike Yusupov RECAP,James F. Brennan RECAP,Scattered RECAP,p_Mike Yusupov (Conservative),p_James F. Brennan (Working Families),p_Mike Yusupov (Republican),p_Scattered,p_James F. Brennan (Democratic),p_Mike Yusupov RECAP,p_James F. Brennan RECAP,p_Scattered RECAP,winner,winner_p
44027,44027,100,35,21,52,1,95,204,87,116,1,0.1715686274509804,0.10294117647058823,0.2549019607843137,0.004901960784313725,0.46568627450980393,0.4264705882352941,0.5686274509803921,0.004901960784313725,James F. Brennan RECAP,0.5686274509803921
44028,44028,100,6,27,39,0,121,193,45,148,0,0.031088082901554404,0.13989637305699482,0.20207253886010362,0.0,0.6269430051813472,0.23316062176165803,0.7668393782383419,0.0,James F. Brennan RECAP,0.7668393782383419
44029,44029,100,14,19,36,0,139,208,50,158,0,0.0673076923076923,0.09134615384615384,0.17307692307692307,0.0,0.6682692307692307,0.2403846153846154,0.7596153846153846,0.0,James F. Brennan RECAP,0.7596153846153846
44030,44030,100,17,17,43,0,150,227,60,167,0,0.07488986784140969,0.07488986784140969,0.1894273127753304,0.0,0.6607929515418502,0.2643171806167401,0.73568281938326,0.0,James F. Brennan RECAP,0.73568281938326
44031,44031,100,11,66,22,0,187,286,33,253,0,0.038461538461538464,0.23076923076923078,0.07692307692307693,0.0,0.6538461538461539,0.11538461538461539,0.8846153846153846,0.0,James F. Brennan RECAP,0.8846153846153846
44032,44032,100,3,7,4,0,42,56,7,49,0,0.05357142857142857,0.125,0.07142857142857142,0.0,0.75,0.125,0.875,0.0,James F. Brennan RECAP,0.875
44033,44033,100,2,62,11,1,156,232,13,218,1,0.008620689655172414,0.2672413793103448,0.04741379310344827,0.004310344827586207,0.6724137931034483,0.05603448275862069,0.9396551724137931,0.004310344827586207,James F. Brennan RECAP,0.9396551724137931
44034,44034,100,0,22,8,0,103,133,8,125,0,0.0,0.16541353383458646,0.06015037593984962,0.0,0.7744360902255639,0.06015037593984962,0.9398496240601504,0.0,James F. Brennan RECAP,0.9398496240601504
44035,44035,100,12,59,17,0,144,232,29,203,0,0.05172413793103448,0.2543103448275862,0.07327586206896551,0.0,0.6206896551724138,0.125,0.875,0.0,James F. Brennan RECAP,0.875
44036,44036,100,4,83,13,1,240,341,17,323,1,0.011730205278592375,0.2434017595307918,0.03812316715542522,0.002932551319648094,0.7038123167155426,0.04985337243401759,0.9472140762463344,0.002932551319648094,James F. Brennan RECAP,0.9472140762463344
44037,44037,100,5,16,3,0,82,106,8,98,0,0.04716981132075472,0.1509433962264151,0.02830188679245283,0.0,0.7735849056603774,0.07547169811320754,0.9245283018867925,0.0,James F. Brennan RECAP,0.9245283018867925
44038,44038,100,7,85,14,1,161,268,21,246,1,0.026119402985074626,0.31716417910447764,0.05223880597014925,0.0037313432835820895,0.6007462686567164,0.07835820895522388,0.917910447761194,0.0037313432835820895,James F. Brennan RECAP,0.917910447761194
44039,44039,100,5,28,7,0,114,154,12,142,0,0.032467532467532464,0.18181818181818182,0.045454545454545456,0.0,0.7402597402597403,0.07792207792207792,0.922077922077922,0.0,James F. Brennan RECAP,0.922077922077922
44040,44040,100,0,1,0,0,25,26,0,26,0,0.0,0.038461538461538464,0.0,0.0,0.9615384615384616,0.0,1.0,0.0,James F. Brennan RECAP,1.0
44041,44041,100,19,5,14,0,32,70,33,37,0,0.2714285714285714,0.07142857142857142,0.2,0.0,0.45714285714285713,0.4714285714285714,0.5285714285714286,0.0,James F. Brennan RECAP,0.5285714285714286
44042,44042,100,11,37,35,0,97,180,46,134,0,0.06111111111111111,0.20555555555555555,0.19444444444444445,0.0,0.5388888888888889,0.25555555555555554,0.7444444444444445,0.0,James F. Brennan RECAP,0.7444444444444445
44043,44043,100,17,42,45,1,157,262,62,199,1,0.0648854961832061,0.16030534351145037,0.1717557251908397,0.003816793893129771,0.5992366412213741,0.2366412213740458,0.7595419847328244,0.003816793893129771,James F. Brennan RECAP,0.7595419847328244
