ED,Reported As,Reporting,Hakeem S. Jeffries (Working Families),Alan Bellone (Conservative),Hakeem S. Jeffries (Democratic),Scattered,Total Votes,Hakeem S. Jeffries RECAP,Alan Bellone RECAP,Scattered RECAP,p_Hakeem S. Jeffries (Working Families),p_Alan Bellone (Conservative),p_Hakeem S. Jeffries (Democratic),p_Scattered,p_Hakeem S. Jeffries RECAP,p_Alan Bellone RECAP,p_Scattered RECAP,winner,winner_p
60022,60022,100,9,4,125,0,138,134,4,0,0.06521739130434782,0.028985507246376812,0.9057971014492754,0.0,0.9710144927536232,0.028985507246376812,0.0,Hakeem S. Jeffries RECAP,0.9710144927536232
60023,60023,100,0,0,33,0,33,33,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60024,60024,100,6,1,113,0,120,119,1,0,0.05,0.008333333333333333,0.9416666666666667,0.0,0.9916666666666667,0.008333333333333333,0.0,Hakeem S. Jeffries RECAP,0.9916666666666667
60025,60025,100,3,1,120,0,124,123,1,0,0.024193548387096774,0.008064516129032258,0.967741935483871,0.0,0.9919354838709677,0.008064516129032258,0.0,Hakeem S. Jeffries RECAP,0.9919354838709677
60026,60026,100,3,1,164,0,168,167,1,0,0.017857142857142856,0.005952380952380952,0.9761904761904762,0.0,0.9940476190476191,0.005952380952380952,0.0,Hakeem S. Jeffries RECAP,0.9940476190476191
60027,60027,100,12,0,145,0,157,157,0,0,0.07643312101910828,0.0,0.9235668789808917,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60028,60028,100,11,1,259,0,271,270,1,0,0.04059040590405904,0.0036900369003690036,0.955719557195572,0.0,0.996309963099631,0.0036900369003690036,0.0,Hakeem S. Jeffries RECAP,0.996309963099631
60029,60029,100,7,0,142,1,150,149,0,1,0.04666666666666667,0.0,0.9466666666666667,0.006666666666666667,0.9933333333333333,0.0,0.006666666666666667,Hakeem S. Jeffries RECAP,0.9933333333333333
60030,60030,100,5,0,95,0,100,100,0,0,0.05,0.0,0.95,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60031,60031,100,7,1,131,0,139,138,1,0,0.050359712230215826,0.007194244604316547,0.9424460431654677,0.0,0.9928057553956835,0.007194244604316547,0.0,Hakeem S. Jeffries RECAP,0.9928057553956835
60032,60032,100,7,2,181,0,190,188,2,0,0.03684210526315789,0.010526315789473684,0.9526315789473684,0.0,0.9894736842105263,0.010526315789473684,0.0,Hakeem S. Jeffries RECAP,0.9894736842105263
