ED,Reported As,Reporting,Ron Kim (Independence),Ron Kim (Working Families),Ron Kim (Democratic),Philip N. Gim (Republican),Scattered,Total Votes,Ron Kim RECAP,Philip N. Gim RECAP,Scattered RECAP,p_Ron Kim (Independence),p_Ron Kim (Working Families),p_Ron Kim (Democratic),p_Philip N. Gim (Republican),p_Scattered,p_Ron Kim RECAP,p_Philip N. Gim RECAP,p_Scattered RECAP,winner,winner_p
40035,40035,100,2,5,192,44,0,243,199,44,0,0.00823045267489712,0.0205761316872428,0.7901234567901234,0.18106995884773663,0.0,0.8189300411522634,0.18106995884773663,0.0,Ron Kim RECAP,0.8189300411522634
40036,40036,100,4,11,130,116,0,261,145,116,0,0.01532567049808429,0.0421455938697318,0.49808429118773945,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444,0.0,Ron Kim RECAP,0.5555555555555556
40037,40037,100,2,4,155,38,0,199,161,38,0,0.010050251256281407,0.020100502512562814,0.7788944723618091,0.19095477386934673,0.0,0.8090452261306532,0.19095477386934673,0.0,Ron Kim RECAP,0.8090452261306532
40038,40038,100,2,11,108,62,0,183,121,62,0,0.01092896174863388,0.060109289617486336,0.5901639344262295,0.33879781420765026,0.0,0.6612021857923497,0.33879781420765026,0.0,Ron Kim RECAP,0.6612021857923497
40039,40039,100,6,5,169,56,1,237,180,56,1,0.02531645569620253,0.02109704641350211,0.7130801687763713,0.23628691983122363,0.004219409282700422,0.759493670886076,0.23628691983122363,0.004219409282700422,Ron Kim RECAP,0.759493670886076
40040,40040,100,3,2,118,49,1,173,123,49,1,0.017341040462427744,0.011560693641618497,0.6820809248554913,0.2832369942196532,0.005780346820809248,0.7109826589595376,0.2832369942196532,0.005780346820809248,Ron Kim RECAP,0.7109826589595376
40041,40041,100,3,3,113,74,2,195,119,74,2,0.015384615384615385,0.015384615384615385,0.5794871794871795,0.37948717948717947,0.010256410256410256,0.6102564102564103,0.37948717948717947,0.010256410256410256,Ron Kim RECAP,0.6102564102564103
40042,40042,100,1,4,106,70,2,183,111,70,2,0.00546448087431694,0.02185792349726776,0.5792349726775956,0.3825136612021858,0.01092896174863388,0.6065573770491803,0.3825136612021858,0.01092896174863388,Ron Kim RECAP,0.6065573770491803
40043,40043,100,4,5,100,86,0,195,109,86,0,0.020512820512820513,0.02564102564102564,0.5128205128205128,0.441025641025641,0.0,0.558974358974359,0.441025641025641,0.0,Ron Kim RECAP,0.558974358974359
40044,40044,100,2,2,86,64,0,154,90,64,0,0.012987012987012988,0.012987012987012988,0.5584415584415584,0.4155844155844156,0.0,0.5844155844155844,0.4155844155844156,0.0,Ron Kim RECAP,0.5844155844155844
40045,40045,100,4,1,76,26,0,107,81,26,0,0.037383177570093455,0.009345794392523364,0.7102803738317757,0.24299065420560748,0.0,0.7570093457943925,0.24299065420560748,0.0,Ron Kim RECAP,0.7570093457943925
40046,40046,100,0,11,57,17,0,85,68,17,0,0.0,0.12941176470588237,0.6705882352941176,0.2,0.0,0.8,0.2,0.0,Ron Kim RECAP,0.8
40047,40047,100,5,7,145,74,2,233,157,74,2,0.02145922746781116,0.030042918454935622,0.6223175965665236,0.31759656652360513,0.008583690987124463,0.6738197424892703,0.31759656652360513,0.008583690987124463,Ron Kim RECAP,0.6738197424892703
40048,40048,100,7,12,208,116,0,343,227,116,0,0.02040816326530612,0.03498542274052478,0.6064139941690962,0.33819241982507287,0.0,0.6618075801749271,0.33819241982507287,0.0,Ron Kim RECAP,0.6618075801749271
40049,40049,100,0,7,97,44,0,148,104,44,0,0.0,0.0472972972972973,0.6554054054054054,0.2972972972972973,0.0,0.7027027027027027,0.2972972972972973,0.0,Ron Kim RECAP,0.7027027027027027
40050,40050,100,0,2,121,15,0,138,123,15,0,0.0,0.014492753623188406,0.8768115942028986,0.10869565217391304,0.0,0.8913043478260869,0.10869565217391304,0.0,Ron Kim RECAP,0.8913043478260869
40051,40051,100,5,3,138,33,0,179,146,33,0,0.027932960893854747,0.01675977653631285,0.770949720670391,0.18435754189944134,0.0,0.8156424581005587,0.18435754189944134,0.0,Ron Kim RECAP,0.8156424581005587
40052,40052,100,0,3,61,38,0,102,64,38,0,0.0,0.029411764705882353,0.5980392156862745,0.37254901960784315,0.0,0.6274509803921569,0.37254901960784315,0.0,Ron Kim RECAP,0.6274509803921569
40053,40053,100,3,3,81,33,5,125,87,33,5,0.024,0.024,0.648,0.264,0.04,0.696,0.264,0.04,Ron Kim RECAP,0.696
40054,40054,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
40055,40054,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
