ED,Reported As,Reporting,Alec Brook-Krasny (Independence),Stamatis Lilikakis (Conservative),Stamatis Lilikakis (Republican),Scattered,Alec Brook-Krasny (Democratic),Alec Brook-Krasny (Working Families),Total Votes,Alec Brook-Krasny RECAP,Stamatis Lilikakis RECAP,Scattered RECAP,p_Alec Brook-Krasny (Independence),p_Stamatis Lilikakis (Conservative),p_Stamatis Lilikakis (Republican),p_Scattered,p_Alec Brook-Krasny (Democratic),p_Alec Brook-Krasny (Working Families),p_Alec Brook-Krasny RECAP,p_Stamatis Lilikakis RECAP,p_Scattered RECAP,winner,winner_p
46015,46015,100,1,0,6,0,128,4,139,133,6,0,0.007194244604316547,0.0,0.04316546762589928,0.0,0.920863309352518,0.02877697841726619,0.9568345323741008,0.04316546762589928,0.0,Alec Brook-Krasny RECAP,0.9568345323741008
46016,46016,100,4,5,6,0,95,5,115,104,11,0,0.034782608695652174,0.043478260869565216,0.05217391304347826,0.0,0.8260869565217391,0.043478260869565216,0.9043478260869565,0.09565217391304348,0.0,Alec Brook-Krasny RECAP,0.9043478260869565
46017,46017,100,5,4,55,2,71,8,145,84,59,2,0.034482758620689655,0.027586206896551724,0.3793103448275862,0.013793103448275862,0.4896551724137931,0.05517241379310345,0.5793103448275863,0.4068965517241379,0.013793103448275862,Alec Brook-Krasny RECAP,0.5793103448275863
46018,46018,100,9,6,72,0,89,3,179,101,78,0,0.05027932960893855,0.0335195530726257,0.4022346368715084,0.0,0.4972067039106145,0.01675977653631285,0.5642458100558659,0.43575418994413406,0.0,Alec Brook-Krasny RECAP,0.5642458100558659
46019,46019,100,4,10,79,0,141,9,243,154,89,0,0.01646090534979424,0.0411522633744856,0.32510288065843623,0.0,0.5802469135802469,0.037037037037037035,0.6337448559670782,0.3662551440329218,0.0,Alec Brook-Krasny RECAP,0.6337448559670782
46020,46020,100,6,15,45,0,86,6,158,98,60,0,0.0379746835443038,0.0949367088607595,0.2848101265822785,0.0,0.5443037974683544,0.0379746835443038,0.620253164556962,0.379746835443038,0.0,Alec Brook-Krasny RECAP,0.620253164556962
46021,46021,100,6,9,80,0,99,13,207,118,89,0,0.028985507246376812,0.043478260869565216,0.3864734299516908,0.0,0.4782608695652174,0.06280193236714976,0.5700483091787439,0.42995169082125606,0.0,Alec Brook-Krasny RECAP,0.5700483091787439
46022,46022,100,5,14,76,0,108,3,206,116,90,0,0.024271844660194174,0.06796116504854369,0.36893203883495146,0.0,0.5242718446601942,0.014563106796116505,0.5631067961165048,0.4368932038834951,0.0,Alec Brook-Krasny RECAP,0.5631067961165048
46023,46023,100,7,9,45,0,73,10,144,90,54,0,0.04861111111111111,0.0625,0.3125,0.0,0.5069444444444444,0.06944444444444445,0.625,0.375,0.0,Alec Brook-Krasny RECAP,0.625
46024,46024,100,7,12,78,1,110,4,212,121,90,1,0.0330188679245283,0.05660377358490566,0.36792452830188677,0.0047169811320754715,0.5188679245283019,0.018867924528301886,0.5707547169811321,0.42452830188679247,0.0047169811320754715,Alec Brook-Krasny RECAP,0.5707547169811321
46025,46025,100,3,14,77,0,112,5,211,120,91,0,0.014218009478672985,0.06635071090047394,0.36492890995260663,0.0,0.5308056872037915,0.023696682464454975,0.5687203791469194,0.4312796208530806,0.0,Alec Brook-Krasny RECAP,0.5687203791469194
46026,46026,100,8,11,64,0,117,16,216,141,75,0,0.037037037037037035,0.05092592592592592,0.2962962962962963,0.0,0.5416666666666666,0.07407407407407407,0.6527777777777778,0.3472222222222222,0.0,Alec Brook-Krasny RECAP,0.6527777777777778
46027,46027,100,6,9,63,0,108,14,200,128,72,0,0.03,0.045,0.315,0.0,0.54,0.07,0.64,0.36,0.0,Alec Brook-Krasny RECAP,0.64
46028,46028,100,4,10,49,0,102,6,171,112,59,0,0.023391812865497075,0.05847953216374269,0.28654970760233917,0.0,0.5964912280701754,0.03508771929824561,0.6549707602339181,0.34502923976608185,0.0,Alec Brook-Krasny RECAP,0.6549707602339181
46029,46029,100,8,11,66,0,100,13,198,121,77,0,0.04040404040404041,0.05555555555555555,0.3333333333333333,0.0,0.5050505050505051,0.06565656565656566,0.6111111111111112,0.3888888888888889,0.0,Alec Brook-Krasny RECAP,0.6111111111111112
46030,46030,100,6,10,83,0,107,12,218,125,93,0,0.027522935779816515,0.045871559633027525,0.38073394495412843,0.0,0.4908256880733945,0.05504587155963303,0.573394495412844,0.42660550458715596,0.0,Alec Brook-Krasny RECAP,0.573394495412844
46031,46031,100,1,18,76,1,119,15,230,135,94,1,0.004347826086956522,0.0782608695652174,0.33043478260869563,0.004347826086956522,0.5173913043478261,0.06521739130434782,0.5869565217391305,0.40869565217391307,0.004347826086956522,Alec Brook-Krasny RECAP,0.5869565217391305
46032,46032,100,0,0,5,0,61,1,67,62,5,0,0.0,0.0,0.07462686567164178,0.0,0.9104477611940298,0.014925373134328358,0.9253731343283582,0.07462686567164178,0.0,Alec Brook-Krasny RECAP,0.9253731343283582
46033,46033,100,3,0,7,1,130,3,144,136,7,1,0.020833333333333332,0.0,0.04861111111111111,0.006944444444444444,0.9027777777777778,0.020833333333333332,0.9444444444444444,0.04861111111111111,0.006944444444444444,Alec Brook-Krasny RECAP,0.9444444444444444
46034,46034,100,1,10,43,0,62,7,123,70,53,0,0.008130081300813009,0.08130081300813008,0.34959349593495936,0.0,0.5040650406504065,0.056910569105691054,0.5691056910569106,0.43089430894308944,0.0,Alec Brook-Krasny RECAP,0.5691056910569106
46035,46035,100,1,12,34,0,33,6,86,40,46,0,0.011627906976744186,0.13953488372093023,0.3953488372093023,0.0,0.38372093023255816,0.06976744186046512,0.46511627906976744,0.5348837209302325,0.0,Stamatis Lilikakis RECAP,0.5348837209302325
