ED,Reported As,Reporting,Selsia M. Evans (Conservative),Marsha D. Michael (Working Families),Selsia M. Evans (Republican),Scattered,Michael A. Blake (Democratic),Total Votes,Selsia M. Evans RECAP,Marsha D. Michael RECAP,Scattered RECAP,Michael A. Blake RECAP,p_Selsia M. Evans (Conservative),p_Marsha D. Michael (Working Families),p_Selsia M. Evans (Republican),p_Scattered,p_Michael A. Blake (Democratic),p_Selsia M. Evans RECAP,p_Marsha D. Michael RECAP,p_Scattered RECAP,p_Michael A. Blake RECAP,winner,winner_p
79017,79017,100,2,7,5,0,136,150,7,7,0,136,0.013333333333333334,0.04666666666666667,0.03333333333333333,0.0,0.9066666666666666,0.04666666666666667,0.04666666666666667,0.0,0.9066666666666666,Michael A. Blake RECAP,0.9066666666666666
79018,79018,100,0,1,5,0,29,35,5,1,0,29,0.0,0.02857142857142857,0.14285714285714285,0.0,0.8285714285714286,0.14285714285714285,0.02857142857142857,0.0,0.8285714285714286,Michael A. Blake RECAP,0.8285714285714286
79019,79019,100,0,8,5,2,92,107,5,8,2,92,0.0,0.07476635514018691,0.04672897196261682,0.018691588785046728,0.8598130841121495,0.04672897196261682,0.07476635514018691,0.018691588785046728,0.8598130841121495,Michael A. Blake RECAP,0.8598130841121495
79020,79020,100,0,7,6,0,81,94,6,7,0,81,0.0,0.07446808510638298,0.06382978723404255,0.0,0.8617021276595744,0.06382978723404255,0.07446808510638298,0.0,0.8617021276595744,Michael A. Blake RECAP,0.8617021276595744
79021,79021,100,1,4,7,0,79,91,8,4,0,79,0.01098901098901099,0.04395604395604396,0.07692307692307693,0.0,0.8681318681318682,0.08791208791208792,0.04395604395604396,0.0,0.8681318681318682,Michael A. Blake RECAP,0.8681318681318682
79022,79022,100,1,5,1,0,68,75,2,5,0,68,0.013333333333333334,0.06666666666666667,0.013333333333333334,0.0,0.9066666666666666,0.02666666666666667,0.06666666666666667,0.0,0.9066666666666666,Michael A. Blake RECAP,0.9066666666666666
79023,79023,100,3,6,2,0,103,114,5,6,0,103,0.02631578947368421,0.05263157894736842,0.017543859649122806,0.0,0.9035087719298246,0.043859649122807015,0.05263157894736842,0.0,0.9035087719298246,Michael A. Blake RECAP,0.9035087719298246
79024,79024,100,3,11,6,0,124,144,9,11,0,124,0.020833333333333332,0.0763888888888889,0.041666666666666664,0.0,0.8611111111111112,0.0625,0.0763888888888889,0.0,0.8611111111111112,Michael A. Blake RECAP,0.8611111111111112
79025,79025,100,1,2,1,0,139,143,2,2,0,139,0.006993006993006993,0.013986013986013986,0.006993006993006993,0.0,0.972027972027972,0.013986013986013986,0.013986013986013986,0.0,0.972027972027972,Michael A. Blake RECAP,0.972027972027972
79026,79026,100,0,2,5,0,98,105,5,2,0,98,0.0,0.01904761904761905,0.047619047619047616,0.0,0.9333333333333333,0.047619047619047616,0.01904761904761905,0.0,0.9333333333333333,Michael A. Blake RECAP,0.9333333333333333
79027,79027,100,2,3,0,0,168,173,2,3,0,168,0.011560693641618497,0.017341040462427744,0.0,0.0,0.9710982658959537,0.011560693641618497,0.017341040462427744,0.0,0.9710982658959537,Michael A. Blake RECAP,0.9710982658959537
79028,79028,100,0,10,9,0,145,164,9,10,0,145,0.0,0.06097560975609756,0.054878048780487805,0.0,0.8841463414634146,0.054878048780487805,0.06097560975609756,0.0,0.8841463414634146,Michael A. Blake RECAP,0.8841463414634146
79074,79074,100,0,1,0,0,18,19,0,1,0,18,0.0,0.05263157894736842,0.0,0.0,0.9473684210526315,0.0,0.05263157894736842,0.0,0.9473684210526315,Michael A. Blake RECAP,0.9473684210526315
79029,79074,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
79030,79030,100,0,12,5,0,227,244,5,12,0,227,0.0,0.04918032786885246,0.020491803278688523,0.0,0.930327868852459,0.020491803278688523,0.04918032786885246,0.0,0.930327868852459,Michael A. Blake RECAP,0.930327868852459
79031,79031,100,1,1,3,0,177,182,4,1,0,177,0.005494505494505495,0.005494505494505495,0.016483516483516484,0.0,0.9725274725274725,0.02197802197802198,0.005494505494505495,0.0,0.9725274725274725,Michael A. Blake RECAP,0.9725274725274725
79032,79032,100,1,8,5,0,122,136,6,8,0,122,0.007352941176470588,0.058823529411764705,0.03676470588235294,0.0,0.8970588235294118,0.04411764705882353,0.058823529411764705,0.0,0.8970588235294118,Michael A. Blake RECAP,0.8970588235294118
