ED,Reported As,Reporting,Jose R. Peralta (Working Families),Scattered,Jose R. Peralta (Democratic),Total Votes,Jose R. Peralta RECAP,Scattered RECAP,p_Jose R. Peralta (Working Families),p_Scattered,p_Jose R. Peralta (Democratic),p_Jose R. Peralta RECAP,p_Scattered RECAP,winner,winner_p
34025,34025,100,95,2,267,364,362,2,0.260989010989011,0.005494505494505495,0.7335164835164835,0.9945054945054945,0.005494505494505495,Jose R. Peralta RECAP,0.9945054945054945
34026,34026,100,26,3,158,187,184,3,0.13903743315508021,0.016042780748663103,0.8449197860962567,0.983957219251337,0.016042780748663103,Jose R. Peralta RECAP,0.983957219251337
34027,34027,100,26,0,121,147,147,0,0.17687074829931973,0.0,0.8231292517006803,1.0,0.0,Jose R. Peralta RECAP,1.0
34028,34028,100,36,1,166,203,202,1,0.17733990147783252,0.0049261083743842365,0.8177339901477833,0.9950738916256158,0.0049261083743842365,Jose R. Peralta RECAP,0.9950738916256158
34029,34029,100,22,0,156,178,178,0,0.12359550561797752,0.0,0.8764044943820225,1.0,0.0,Jose R. Peralta RECAP,1.0
34030,34030,100,0,0,4,4,4,0,0.0,0.0,1.0,1.0,0.0,Jose R. Peralta RECAP,1.0
34034,34034,100,0,0,26,26,26,0,0.0,0.0,1.0,1.0,0.0,Jose R. Peralta RECAP,1.0
34035,34035,100,18,0,161,179,179,0,0.1005586592178771,0.0,0.8994413407821229,1.0,0.0,Jose R. Peralta RECAP,1.0
34036,34036,100,20,1,156,177,176,1,0.11299435028248588,0.005649717514124294,0.8813559322033898,0.9943502824858758,0.005649717514124294,Jose R. Peralta RECAP,0.9943502824858758
34037,34037,100,15,2,113,130,128,2,0.11538461538461539,0.015384615384615385,0.8692307692307693,0.9846153846153847,0.015384615384615385,Jose R. Peralta RECAP,0.9846153846153847
34038,34038,100,13,1,112,126,125,1,0.10317460317460317,0.007936507936507936,0.8888888888888888,0.9920634920634921,0.007936507936507936,Jose R. Peralta RECAP,0.9920634920634921
34039,34039,100,13,1,142,156,155,1,0.08333333333333333,0.00641025641025641,0.9102564102564102,0.9935897435897436,0.00641025641025641,Jose R. Peralta RECAP,0.9935897435897436
34040,34040,100,24,0,140,164,164,0,0.14634146341463414,0.0,0.8536585365853658,1.0,0.0,Jose R. Peralta RECAP,1.0
34041,34041,100,9,0,68,77,77,0,0.11688311688311688,0.0,0.8831168831168831,1.0,0.0,Jose R. Peralta RECAP,1.0
34042,34042,100,1,0,75,76,76,0,0.013157894736842105,0.0,0.9868421052631579,1.0,0.0,Jose R. Peralta RECAP,1.0
34043,34043,100,6,2,56,64,62,2,0.09375,0.03125,0.875,0.96875,0.03125,Jose R. Peralta RECAP,0.96875
34044,34044,100,12,0,44,56,56,0,0.21428571428571427,0.0,0.7857142857142857,1.0,0.0,Jose R. Peralta RECAP,1.0
34063,34063,100,75,3,225,303,300,3,0.24752475247524752,0.009900990099009901,0.7425742574257426,0.9900990099009901,0.009900990099009901,Jose R. Peralta RECAP,0.9900990099009901
34064,34030,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
35011,35011,100,6,0,109,115,115,0,0.05217391304347826,0.0,0.9478260869565217,1.0,0.0,Jose R. Peralta RECAP,1.0
35012,35012,100,17,0,137,154,154,0,0.11038961038961038,0.0,0.8896103896103896,1.0,0.0,Jose R. Peralta RECAP,1.0
35013,35013,100,3,0,132,135,135,0,0.022222222222222223,0.0,0.9777777777777777,1.0,0.0,Jose R. Peralta RECAP,1.0
35014,35014,100,12,0,94,106,106,0,0.11320754716981132,0.0,0.8867924528301887,1.0,0.0,Jose R. Peralta RECAP,1.0
35015,35015,100,12,0,237,249,249,0,0.04819277108433735,0.0,0.9518072289156626,1.0,0.0,Jose R. Peralta RECAP,1.0
35016,35016,100,8,0,228,236,236,0,0.03389830508474576,0.0,0.9661016949152542,1.0,0.0,Jose R. Peralta RECAP,1.0
35017,35017,100,4,3,219,226,223,3,0.017699115044247787,0.01327433628318584,0.9690265486725663,0.9867256637168141,0.01327433628318584,Jose R. Peralta RECAP,0.9867256637168141
35018,35018,100,14,0,271,285,285,0,0.04912280701754386,0.0,0.9508771929824561,1.0,0.0,Jose R. Peralta RECAP,1.0
