ED,Reported As,Reporting,Elias J. Weir (Conservative),Dell Smitherman (Working Families),Scattered,John L. Sampson (Democratic),Total Votes,Elias J. Weir RECAP,Dell Smitherman RECAP,Scattered RECAP,John L. Sampson RECAP,p_Elias J. Weir (Conservative),p_Dell Smitherman (Working Families),p_Scattered,p_John L. Sampson (Democratic),p_Elias J. Weir RECAP,p_Dell Smitherman RECAP,p_Scattered RECAP,p_John L. Sampson RECAP,winner,winner_p
41060,41060,100,28,17,1,82,128,28,17,1,82,0.21875,0.1328125,0.0078125,0.640625,0.21875,0.1328125,0.0078125,0.640625,John L. Sampson RECAP,0.640625
41061,41061,100,20,6,1,54,81,20,6,1,54,0.24691358024691357,0.07407407407407407,0.012345679012345678,0.6666666666666666,0.24691358024691357,0.07407407407407407,0.012345679012345678,0.6666666666666666,John L. Sampson RECAP,0.6666666666666666
41062,41062,100,35,13,0,58,106,35,13,0,58,0.330188679245283,0.12264150943396226,0.0,0.5471698113207547,0.330188679245283,0.12264150943396226,0.0,0.5471698113207547,John L. Sampson RECAP,0.5471698113207547
41063,41063,100,50,11,1,85,147,50,11,1,85,0.3401360544217687,0.07482993197278912,0.006802721088435374,0.5782312925170068,0.3401360544217687,0.07482993197278912,0.006802721088435374,0.5782312925170068,John L. Sampson RECAP,0.5782312925170068
41064,41064,100,95,30,0,171,296,95,30,0,171,0.32094594594594594,0.10135135135135136,0.0,0.5777027027027027,0.32094594594594594,0.10135135135135136,0.0,0.5777027027027027,John L. Sampson RECAP,0.5777027027027027
41065,41065,100,6,4,0,29,39,6,4,0,29,0.15384615384615385,0.10256410256410256,0.0,0.7435897435897436,0.15384615384615385,0.10256410256410256,0.0,0.7435897435897436,John L. Sampson RECAP,0.7435897435897436
41066,41066,100,4,7,0,109,120,4,7,0,109,0.03333333333333333,0.058333333333333334,0.0,0.9083333333333333,0.03333333333333333,0.058333333333333334,0.0,0.9083333333333333,John L. Sampson RECAP,0.9083333333333333
41067,41067,100,3,2,0,104,109,3,2,0,104,0.027522935779816515,0.01834862385321101,0.0,0.9541284403669725,0.027522935779816515,0.01834862385321101,0.0,0.9541284403669725,John L. Sampson RECAP,0.9541284403669725
41068,41068,100,11,7,1,116,135,11,7,1,116,0.08148148148148149,0.05185185185185185,0.007407407407407408,0.8592592592592593,0.08148148148148149,0.05185185185185185,0.007407407407407408,0.8592592592592593,John L. Sampson RECAP,0.8592592592592593
41069,41069,100,3,6,0,96,105,3,6,0,96,0.02857142857142857,0.05714285714285714,0.0,0.9142857142857143,0.02857142857142857,0.05714285714285714,0.0,0.9142857142857143,John L. Sampson RECAP,0.9142857142857143
41070,41070,100,67,7,0,74,148,67,7,0,74,0.4527027027027027,0.0472972972972973,0.0,0.5,0.4527027027027027,0.0472972972972973,0.0,0.5,John L. Sampson RECAP,0.5
41071,41071,100,77,17,0,107,201,77,17,0,107,0.38308457711442784,0.0845771144278607,0.0,0.5323383084577115,0.38308457711442784,0.0845771144278607,0.0,0.5323383084577115,John L. Sampson RECAP,0.5323383084577115
41072,41072,100,62,19,1,82,164,62,19,1,82,0.3780487804878049,0.11585365853658537,0.006097560975609756,0.5,0.3780487804878049,0.11585365853658537,0.006097560975609756,0.5,John L. Sampson RECAP,0.5
41073,41073,100,52,21,1,136,210,52,21,1,136,0.24761904761904763,0.1,0.004761904761904762,0.6476190476190476,0.24761904761904763,0.1,0.004761904761904762,0.6476190476190476,John L. Sampson RECAP,0.6476190476190476
41074,41074,100,38,18,0,95,151,38,18,0,95,0.25165562913907286,0.11920529801324503,0.0,0.6291390728476821,0.25165562913907286,0.11920529801324503,0.0,0.6291390728476821,John L. Sampson RECAP,0.6291390728476821
41075,41075,100,39,17,1,77,134,39,17,1,77,0.291044776119403,0.12686567164179105,0.007462686567164179,0.5746268656716418,0.291044776119403,0.12686567164179105,0.007462686567164179,0.5746268656716418,John L. Sampson RECAP,0.5746268656716418
41076,41076,100,41,10,0,82,133,41,10,0,82,0.3082706766917293,0.07518796992481203,0.0,0.6165413533834586,0.3082706766917293,0.07518796992481203,0.0,0.6165413533834586,John L. Sampson RECAP,0.6165413533834586
41077,41077,100,30,12,0,59,101,30,12,0,59,0.297029702970297,0.1188118811881188,0.0,0.5841584158415841,0.297029702970297,0.1188118811881188,0.0,0.5841584158415841,John L. Sampson RECAP,0.5841584158415841
41078,41078,100,33,11,0,51,95,33,11,0,51,0.3473684210526316,0.11578947368421053,0.0,0.5368421052631579,0.3473684210526316,0.11578947368421053,0.0,0.5368421052631579,John L. Sampson RECAP,0.5368421052631579
41079,41079,100,49,22,0,68,139,49,22,0,68,0.35251798561151076,0.15827338129496402,0.0,0.4892086330935252,0.35251798561151076,0.15827338129496402,0.0,0.4892086330935252,John L. Sampson RECAP,0.4892086330935252
41080,41080,100,7,4,0,6,17,7,4,0,6,0.4117647058823529,0.23529411764705882,0.0,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.0,0.35294117647058826,Elias J. Weir RECAP,0.4117647058823529
42069,42069,100,26,5,0,16,47,26,5,0,16,0.5531914893617021,0.10638297872340426,0.0,0.3404255319148936,0.5531914893617021,0.10638297872340426,0.0,0.3404255319148936,Elias J. Weir RECAP,0.5531914893617021
45025,45025,100,8,3,0,28,39,8,3,0,28,0.20512820512820512,0.07692307692307693,0.0,0.717948717948718,0.20512820512820512,0.07692307692307693,0.0,0.717948717948718,John L. Sampson RECAP,0.717948717948718
45026,45026,100,15,13,0,55,83,15,13,0,55,0.18072289156626506,0.1566265060240964,0.0,0.6626506024096386,0.18072289156626506,0.1566265060240964,0.0,0.6626506024096386,John L. Sampson RECAP,0.6626506024096386
45027,45027,100,26,7,0,82,115,26,7,0,82,0.22608695652173913,0.06086956521739131,0.0,0.7130434782608696,0.22608695652173913,0.06086956521739131,0.0,0.7130434782608696,John L. Sampson RECAP,0.7130434782608696
45028,45028,100,28,4,0,54,86,28,4,0,54,0.32558139534883723,0.046511627906976744,0.0,0.627906976744186,0.32558139534883723,0.046511627906976744,0.0,0.627906976744186,John L. Sampson RECAP,0.627906976744186
45056,45056,100,9,4,0,59,72,9,4,0,59,0.125,0.05555555555555555,0.0,0.8194444444444444,0.125,0.05555555555555555,0.0,0.8194444444444444,John L. Sampson RECAP,0.8194444444444444
54002,54002,100,0,0,1,64,65,0,0,1,64,0.0,0.0,0.015384615384615385,0.9846153846153847,0.0,0.0,0.015384615384615385,0.9846153846153847,John L. Sampson RECAP,0.9846153846153847
54003,54003,100,5,3,1,83,92,5,3,1,83,0.05434782608695652,0.03260869565217391,0.010869565217391304,0.9021739130434783,0.05434782608695652,0.03260869565217391,0.010869565217391304,0.9021739130434783,John L. Sampson RECAP,0.9021739130434783
54004,54004,100,4,4,0,96,104,4,4,0,96,0.038461538461538464,0.038461538461538464,0.0,0.9230769230769231,0.038461538461538464,0.038461538461538464,0.0,0.9230769230769231,John L. Sampson RECAP,0.9230769230769231
54005,54005,100,0,0,0,16,16,0,0,0,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,John L. Sampson RECAP,1.0
54006,54006,100,0,0,0,17,17,0,0,0,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,John L. Sampson RECAP,1.0
54071,54071,100,1,5,1,80,87,1,5,1,80,0.011494252873563218,0.05747126436781609,0.011494252873563218,0.9195402298850575,0.011494252873563218,0.05747126436781609,0.011494252873563218,0.9195402298850575,John L. Sampson RECAP,0.9195402298850575
54072,54072,100,1,0,0,7,8,1,0,0,7,0.125,0.0,0.0,0.875,0.125,0.0,0.0,0.875,John L. Sampson RECAP,0.875
55005,55005,100,0,3,0,18,21,0,3,0,18,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.8571428571428571,John L. Sampson RECAP,0.8571428571428571
55013,55013,100,0,0,0,7,7,0,0,0,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,John L. Sampson RECAP,1.0
55027,55027,100,4,9,0,83,96,4,9,0,83,0.041666666666666664,0.09375,0.0,0.8645833333333334,0.041666666666666664,0.09375,0.0,0.8645833333333334,John L. Sampson RECAP,0.8645833333333334
55036,55036,100,0,1,0,13,14,0,1,0,13,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0,0.07142857142857142,0.0,0.9285714285714286,John L. Sampson RECAP,0.9285714285714286
55037,55037,100,1,5,0,48,54,1,5,0,48,0.018518518518518517,0.09259259259259259,0.0,0.8888888888888888,0.018518518518518517,0.09259259259259259,0.0,0.8888888888888888,John L. Sampson RECAP,0.8888888888888888
55038,55038,100,0,2,0,18,20,0,2,0,18,0.0,0.1,0.0,0.9,0.0,0.1,0.0,0.9,John L. Sampson RECAP,0.9
55039,55039,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55040,55040,100,0,2,0,34,36,0,2,0,34,0.0,0.05555555555555555,0.0,0.9444444444444444,0.0,0.05555555555555555,0.0,0.9444444444444444,John L. Sampson RECAP,0.9444444444444444
55042,55040,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55044,55044,100,1,1,0,1,3,1,1,0,1,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,Tie,0.3333333333333333
55047,55047,100,0,3,0,60,63,0,3,0,60,0.0,0.047619047619047616,0.0,0.9523809523809523,0.0,0.047619047619047616,0.0,0.9523809523809523,John L. Sampson RECAP,0.9523809523809523
55048,55048,100,3,9,1,145,158,3,9,1,145,0.0189873417721519,0.056962025316455694,0.006329113924050633,0.9177215189873418,0.0189873417721519,0.056962025316455694,0.006329113924050633,0.9177215189873418,John L. Sampson RECAP,0.9177215189873418
55049,55049,100,4,4,0,79,87,4,4,0,79,0.04597701149425287,0.04597701149425287,0.0,0.9080459770114943,0.04597701149425287,0.04597701149425287,0.0,0.9080459770114943,John L. Sampson RECAP,0.9080459770114943
55052,55052,100,0,2,0,49,51,0,2,0,49,0.0,0.0392156862745098,0.0,0.9607843137254902,0.0,0.0392156862745098,0.0,0.9607843137254902,John L. Sampson RECAP,0.9607843137254902
55053,55053,100,0,1,0,43,44,0,1,0,43,0.0,0.022727272727272728,0.0,0.9772727272727273,0.0,0.022727272727272728,0.0,0.9772727272727273,John L. Sampson RECAP,0.9772727272727273
55054,55052,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55055,55055,100,0,7,0,145,152,0,7,0,145,0.0,0.046052631578947366,0.0,0.9539473684210527,0.0,0.046052631578947366,0.0,0.9539473684210527,John L. Sampson RECAP,0.9539473684210527
