ED,Reported As,Reporting,Benjamin Holloway (Republican),Benjamin Holloway (Conservative),Scattered,Carl E. Heastie (Democratic),Total Votes,Benjamin Holloway RECAP,Scattered RECAP,Carl E. Heastie RECAP,p_Benjamin Holloway (Republican),p_Benjamin Holloway (Conservative),p_Scattered,p_Carl E. Heastie (Democratic),p_Benjamin Holloway RECAP,p_Scattered RECAP,p_Carl E. Heastie RECAP,winner,winner_p
83015,83015,100,7,2,0,208,217,9,0,208,0.03225806451612903,0.009216589861751152,0.0,0.9585253456221198,0.041474654377880185,0.0,0.9585253456221198,Carl E. Heastie RECAP,0.9585253456221198
83016,83016,100,11,1,0,205,217,12,0,205,0.05069124423963134,0.004608294930875576,0.0,0.9447004608294931,0.055299539170506916,0.0,0.9447004608294931,Carl E. Heastie RECAP,0.9447004608294931
83017,83017,100,2,4,0,180,186,6,0,180,0.010752688172043012,0.021505376344086023,0.0,0.967741935483871,0.03225806451612903,0.0,0.967741935483871,Carl E. Heastie RECAP,0.967741935483871
83018,83018,100,0,2,0,193,195,2,0,193,0.0,0.010256410256410256,0.0,0.9897435897435898,0.010256410256410256,0.0,0.9897435897435898,Carl E. Heastie RECAP,0.9897435897435898
83019,83019,100,3,1,0,152,156,4,0,152,0.019230769230769232,0.00641025641025641,0.0,0.9743589743589743,0.02564102564102564,0.0,0.9743589743589743,Carl E. Heastie RECAP,0.9743589743589743
83020,83020,100,2,0,0,128,130,2,0,128,0.015384615384615385,0.0,0.0,0.9846153846153847,0.015384615384615385,0.0,0.9846153846153847,Carl E. Heastie RECAP,0.9846153846153847
83021,83021,100,5,2,1,187,195,7,1,187,0.02564102564102564,0.010256410256410256,0.005128205128205128,0.958974358974359,0.035897435897435895,0.005128205128205128,0.958974358974359,Carl E. Heastie RECAP,0.958974358974359
83022,83022,100,5,1,0,153,159,6,0,153,0.031446540880503145,0.006289308176100629,0.0,0.9622641509433962,0.03773584905660377,0.0,0.9622641509433962,Carl E. Heastie RECAP,0.9622641509433962
83023,83023,100,5,0,0,135,140,5,0,135,0.03571428571428571,0.0,0.0,0.9642857142857143,0.03571428571428571,0.0,0.9642857142857143,Carl E. Heastie RECAP,0.9642857142857143
83024,83024,100,4,1,0,82,87,5,0,82,0.04597701149425287,0.011494252873563218,0.0,0.9425287356321839,0.05747126436781609,0.0,0.9425287356321839,Carl E. Heastie RECAP,0.9425287356321839
83025,83025,100,5,3,0,141,149,8,0,141,0.03355704697986577,0.020134228187919462,0.0,0.9463087248322147,0.053691275167785234,0.0,0.9463087248322147,Carl E. Heastie RECAP,0.9463087248322147
83026,83026,100,7,1,0,96,104,8,0,96,0.0673076923076923,0.009615384615384616,0.0,0.9230769230769231,0.07692307692307693,0.0,0.9230769230769231,Carl E. Heastie RECAP,0.9230769230769231
83027,83027,100,13,2,0,213,228,15,0,213,0.05701754385964912,0.008771929824561403,0.0,0.9342105263157895,0.06578947368421052,0.0,0.9342105263157895,Carl E. Heastie RECAP,0.9342105263157895
83028,83028,100,13,5,0,265,283,18,0,265,0.045936395759717315,0.0176678445229682,0.0,0.9363957597173145,0.0636042402826855,0.0,0.9363957597173145,Carl E. Heastie RECAP,0.9363957597173145
83029,83029,100,5,0,0,127,132,5,0,127,0.03787878787878788,0.0,0.0,0.9621212121212122,0.03787878787878788,0.0,0.9621212121212122,Carl E. Heastie RECAP,0.9621212121212122
83030,83030,100,6,0,0,178,184,6,0,178,0.03260869565217391,0.0,0.0,0.967391304347826,0.03260869565217391,0.0,0.967391304347826,Carl E. Heastie RECAP,0.967391304347826
83031,83031,100,4,0,0,237,241,4,0,237,0.016597510373443983,0.0,0.0,0.983402489626556,0.016597510373443983,0.0,0.983402489626556,Carl E. Heastie RECAP,0.983402489626556
