ED,Reported As,Reporting,Brad M. Hoylman (Democratic),Frank J. Scala (Republican),Scattered,Brad M. Hoylman (Working Families),Total Votes,Brad M. Hoylman RECAP,Frank J. Scala RECAP,Scattered RECAP,p_Brad M. Hoylman (Democratic),p_Frank J. Scala (Republican),p_Scattered,p_Brad M. Hoylman (Working Families),p_Brad M. Hoylman RECAP,p_Frank J. Scala RECAP,p_Scattered RECAP,winner,winner_p
66054,66054,100,200,33,0,33,266,233,33,0,0.7518796992481203,0.12406015037593984,0.0,0.12406015037593984,0.8759398496240601,0.12406015037593984,0.0,Brad M. Hoylman RECAP,0.8759398496240601
66057,66057,100,182,58,0,34,274,216,58,0,0.6642335766423357,0.2116788321167883,0.0,0.12408759124087591,0.7883211678832117,0.2116788321167883,0.0,Brad M. Hoylman RECAP,0.7883211678832117
66058,66058,100,63,18,0,20,101,83,18,0,0.6237623762376238,0.1782178217821782,0.0,0.19801980198019803,0.8217821782178217,0.1782178217821782,0.0,Brad M. Hoylman RECAP,0.8217821782178217
66059,66059,100,193,36,0,70,299,263,36,0,0.6454849498327759,0.12040133779264214,0.0,0.23411371237458195,0.8795986622073578,0.12040133779264214,0.0,Brad M. Hoylman RECAP,0.8795986622073578
66060,66060,100,166,36,1,74,277,240,36,1,0.5992779783393501,0.1299638989169675,0.0036101083032490976,0.26714801444043323,0.8664259927797834,0.1299638989169675,0.0036101083032490976,Brad M. Hoylman RECAP,0.8664259927797834
66061,66061,100,208,48,0,75,331,283,48,0,0.6283987915407855,0.14501510574018128,0.0,0.22658610271903323,0.8549848942598187,0.14501510574018128,0.0,Brad M. Hoylman RECAP,0.8549848942598187
66062,66062,100,115,25,0,25,165,140,25,0,0.696969696969697,0.15151515151515152,0.0,0.15151515151515152,0.8484848484848485,0.15151515151515152,0.0,Brad M. Hoylman RECAP,0.8484848484848485
66063,66063,100,157,27,0,49,233,206,27,0,0.6738197424892703,0.11587982832618025,0.0,0.21030042918454936,0.8841201716738197,0.11587982832618025,0.0,Brad M. Hoylman RECAP,0.8841201716738197
66064,66064,100,98,16,0,38,152,136,16,0,0.6447368421052632,0.10526315789473684,0.0,0.25,0.8947368421052632,0.10526315789473684,0.0,Brad M. Hoylman RECAP,0.8947368421052632
66065,66065,100,55,10,2,22,89,77,10,2,0.6179775280898876,0.11235955056179775,0.02247191011235955,0.24719101123595505,0.8651685393258427,0.11235955056179775,0.02247191011235955,Brad M. Hoylman RECAP,0.8651685393258427
66066,66066,100,156,29,1,34,220,190,29,1,0.7090909090909091,0.1318181818181818,0.004545454545454545,0.15454545454545454,0.8636363636363636,0.1318181818181818,0.004545454545454545,Brad M. Hoylman RECAP,0.8636363636363636
66067,66067,100,163,54,2,48,267,211,54,2,0.6104868913857678,0.20224719101123595,0.00749063670411985,0.1797752808988764,0.7902621722846442,0.20224719101123595,0.00749063670411985,Brad M. Hoylman RECAP,0.7902621722846442
66068,66068,100,124,27,0,47,198,171,27,0,0.6262626262626263,0.13636363636363635,0.0,0.23737373737373738,0.8636363636363636,0.13636363636363635,0.0,Brad M. Hoylman RECAP,0.8636363636363636
66069,66069,100,192,42,0,52,286,244,42,0,0.6713286713286714,0.14685314685314685,0.0,0.18181818181818182,0.8531468531468531,0.14685314685314685,0.0,Brad M. Hoylman RECAP,0.8531468531468531
66071,66071,100,87,16,1,29,133,116,16,1,0.6541353383458647,0.12030075187969924,0.007518796992481203,0.21804511278195488,0.8721804511278195,0.12030075187969924,0.007518796992481203,Brad M. Hoylman RECAP,0.8721804511278195
66072,66072,100,166,27,0,56,249,222,27,0,0.6666666666666666,0.10843373493975904,0.0,0.2248995983935743,0.891566265060241,0.10843373493975904,0.0,Brad M. Hoylman RECAP,0.891566265060241
66073,66073,100,185,39,0,56,280,241,39,0,0.6607142857142857,0.1392857142857143,0.0,0.2,0.8607142857142858,0.1392857142857143,0.0,Brad M. Hoylman RECAP,0.8607142857142858
66074,66074,100,180,23,0,49,252,229,23,0,0.7142857142857143,0.09126984126984126,0.0,0.19444444444444445,0.9087301587301587,0.09126984126984126,0.0,Brad M. Hoylman RECAP,0.9087301587301587
66075,66075,100,173,33,0,49,255,222,33,0,0.6784313725490196,0.12941176470588237,0.0,0.19215686274509805,0.8705882352941177,0.12941176470588237,0.0,Brad M. Hoylman RECAP,0.8705882352941177
66076,66076,100,213,21,0,62,296,275,21,0,0.7195945945945946,0.07094594594594594,0.0,0.20945945945945946,0.9290540540540541,0.07094594594594594,0.0,Brad M. Hoylman RECAP,0.9290540540540541
66077,66077,100,205,38,0,68,311,273,38,0,0.6591639871382636,0.12218649517684887,0.0,0.21864951768488747,0.8778135048231511,0.12218649517684887,0.0,Brad M. Hoylman RECAP,0.8778135048231511
66078,66078,100,195,42,0,77,314,272,42,0,0.6210191082802548,0.1337579617834395,0.0,0.24522292993630573,0.8662420382165605,0.1337579617834395,0.0,Brad M. Hoylman RECAP,0.8662420382165605
66079,66079,100,253,39,0,91,383,344,39,0,0.660574412532637,0.10182767624020887,0.0,0.23759791122715404,0.8981723237597912,0.10182767624020887,0.0,Brad M. Hoylman RECAP,0.8981723237597912
66080,66080,100,249,28,1,100,378,349,28,1,0.6587301587301587,0.07407407407407407,0.0026455026455026454,0.26455026455026454,0.9232804232804233,0.07407407407407407,0.0026455026455026454,Brad M. Hoylman RECAP,0.9232804232804233
66081,66081,100,200,33,0,85,318,285,33,0,0.6289308176100629,0.10377358490566038,0.0,0.2672955974842767,0.8962264150943396,0.10377358490566038,0.0,Brad M. Hoylman RECAP,0.8962264150943396
66082,66082,100,138,23,0,54,215,192,23,0,0.641860465116279,0.10697674418604651,0.0,0.25116279069767444,0.8930232558139535,0.10697674418604651,0.0,Brad M. Hoylman RECAP,0.8930232558139535
