ED,Reported As,Reporting,James Sanders Jr. (Democratic),Scattered,James Sanders Jr. (Working Families),Total Votes,James Sanders Jr. RECAP,Scattered RECAP,p_James Sanders Jr. (Democratic),p_Scattered,p_James Sanders Jr. (Working Families),p_James Sanders Jr. RECAP,p_Scattered RECAP,winner,winner_p
28004,28004,100,53,0,6,59,59,0,0.8983050847457628,0.0,0.1016949152542373,1.0,0.0,James Sanders Jr. RECAP,1.0
28005,28005,100,36,1,9,46,45,1,0.782608695652174,0.021739130434782608,0.1956521739130435,0.9782608695652174,0.021739130434782608,James Sanders Jr. RECAP,0.9782608695652174
28008,28008,100,31,2,7,40,38,2,0.775,0.05,0.175,0.95,0.05,James Sanders Jr. RECAP,0.95
28013,28013,100,4,0,3,7,7,0,0.5714285714285714,0.0,0.42857142857142855,1.0,0.0,James Sanders Jr. RECAP,1.0
29035,29035,100,179,1,8,188,187,1,0.9521276595744681,0.005319148936170213,0.0425531914893617,0.9946808510638298,0.005319148936170213,James Sanders Jr. RECAP,0.9946808510638298
29040,29040,100,138,0,7,145,145,0,0.9517241379310345,0.0,0.04827586206896552,1.0,0.0,James Sanders Jr. RECAP,1.0
29041,29041,100,217,3,5,225,222,3,0.9644444444444444,0.013333333333333334,0.022222222222222223,0.9866666666666667,0.013333333333333334,James Sanders Jr. RECAP,0.9866666666666667
29042,29042,100,230,0,2,232,232,0,0.9913793103448276,0.0,0.008620689655172414,1.0,0.0,James Sanders Jr. RECAP,1.0
29043,29043,100,194,0,11,205,205,0,0.9463414634146341,0.0,0.05365853658536585,1.0,0.0,James Sanders Jr. RECAP,1.0
29044,29044,100,158,0,11,169,169,0,0.9349112426035503,0.0,0.0650887573964497,1.0,0.0,James Sanders Jr. RECAP,1.0
29045,29045,100,240,1,6,247,246,1,0.97165991902834,0.004048582995951417,0.024291497975708502,0.9959514170040485,0.004048582995951417,James Sanders Jr. RECAP,0.9959514170040485
29046,29046,100,230,0,7,237,237,0,0.9704641350210971,0.0,0.029535864978902954,1.0,0.0,James Sanders Jr. RECAP,1.0
29047,29047,100,250,0,2,252,252,0,0.9920634920634921,0.0,0.007936507936507936,1.0,0.0,James Sanders Jr. RECAP,1.0
29048,29048,100,185,1,5,191,190,1,0.9685863874345549,0.005235602094240838,0.02617801047120419,0.9947643979057592,0.005235602094240838,James Sanders Jr. RECAP,0.9947643979057592
29049,29049,100,174,0,8,182,182,0,0.9560439560439561,0.0,0.04395604395604396,1.0,0.0,James Sanders Jr. RECAP,1.0
29071,29071,100,217,1,5,223,222,1,0.9730941704035875,0.004484304932735426,0.02242152466367713,0.9955156950672646,0.004484304932735426,James Sanders Jr. RECAP,0.9955156950672646
31001,31001,100,108,1,11,120,119,1,0.9,0.008333333333333333,0.09166666666666666,0.9916666666666667,0.008333333333333333,James Sanders Jr. RECAP,0.9916666666666667
31002,31002,100,124,2,11,137,135,2,0.9051094890510949,0.014598540145985401,0.08029197080291971,0.9854014598540146,0.014598540145985401,James Sanders Jr. RECAP,0.9854014598540146
31003,31003,100,116,0,10,126,126,0,0.9206349206349206,0.0,0.07936507936507936,1.0,0.0,James Sanders Jr. RECAP,1.0
31004,31004,100,138,0,5,143,143,0,0.965034965034965,0.0,0.03496503496503497,1.0,0.0,James Sanders Jr. RECAP,1.0
31005,31005,100,104,0,12,116,116,0,0.896551724137931,0.0,0.10344827586206896,1.0,0.0,James Sanders Jr. RECAP,1.0
31007,31007,100,84,0,5,89,89,0,0.9438202247191011,0.0,0.056179775280898875,1.0,0.0,James Sanders Jr. RECAP,1.0
31008,31008,100,93,0,10,103,103,0,0.9029126213592233,0.0,0.0970873786407767,1.0,0.0,James Sanders Jr. RECAP,1.0
31009,31009,100,135,0,6,141,141,0,0.9574468085106383,0.0,0.0425531914893617,1.0,0.0,James Sanders Jr. RECAP,1.0
31010,31010,100,179,1,17,197,196,1,0.9086294416243654,0.005076142131979695,0.08629441624365482,0.9949238578680203,0.005076142131979695,James Sanders Jr. RECAP,0.9949238578680203
31011,31011,100,202,0,2,204,204,0,0.9901960784313726,0.0,0.00980392156862745,1.0,0.0,James Sanders Jr. RECAP,1.0
31012,31012,100,109,1,6,116,115,1,0.9396551724137931,0.008620689655172414,0.05172413793103448,0.9913793103448276,0.008620689655172414,James Sanders Jr. RECAP,0.9913793103448276
31013,31013,100,161,1,3,165,164,1,0.9757575757575757,0.006060606060606061,0.01818181818181818,0.9939393939393939,0.006060606060606061,James Sanders Jr. RECAP,0.9939393939393939
31014,31014,100,195,0,2,197,197,0,0.9898477157360406,0.0,0.01015228426395939,1.0,0.0,James Sanders Jr. RECAP,1.0
31015,31015,100,155,1,4,160,159,1,0.96875,0.00625,0.025,0.99375,0.00625,James Sanders Jr. RECAP,0.99375
31016,31016,100,60,0,5,65,65,0,0.9230769230769231,0.0,0.07692307692307693,1.0,0.0,James Sanders Jr. RECAP,1.0
31017,31017,100,134,1,3,138,137,1,0.9710144927536232,0.007246376811594203,0.021739130434782608,0.9927536231884058,0.007246376811594203,James Sanders Jr. RECAP,0.9927536231884058
31018,31018,100,199,1,2,202,201,1,0.9851485148514851,0.0049504950495049506,0.009900990099009901,0.995049504950495,0.0049504950495049506,James Sanders Jr. RECAP,0.995049504950495
31019,31019,100,225,0,10,235,235,0,0.9574468085106383,0.0,0.0425531914893617,1.0,0.0,James Sanders Jr. RECAP,1.0
31020,31020,100,42,0,3,45,45,0,0.9333333333333333,0.0,0.06666666666666667,1.0,0.0,James Sanders Jr. RECAP,1.0
31022,31022,100,115,1,5,121,120,1,0.9504132231404959,0.008264462809917356,0.04132231404958678,0.9917355371900827,0.008264462809917356,James Sanders Jr. RECAP,0.9917355371900827
31023,31023,100,66,0,4,70,70,0,0.9428571428571428,0.0,0.05714285714285714,1.0,0.0,James Sanders Jr. RECAP,1.0
31024,31024,100,169,1,4,174,173,1,0.9712643678160919,0.005747126436781609,0.022988505747126436,0.9942528735632183,0.005747126436781609,James Sanders Jr. RECAP,0.9942528735632183
31025,31025,100,115,0,4,119,119,0,0.9663865546218487,0.0,0.03361344537815126,1.0,0.0,James Sanders Jr. RECAP,1.0
31026,31026,100,92,2,8,102,100,2,0.9019607843137255,0.0196078431372549,0.0784313725490196,0.9803921568627451,0.0196078431372549,James Sanders Jr. RECAP,0.9803921568627451
31029,31029,100,201,1,2,204,203,1,0.9852941176470589,0.004901960784313725,0.00980392156862745,0.9950980392156863,0.004901960784313725,James Sanders Jr. RECAP,0.9950980392156863
31030,31030,100,4,0,1,5,5,0,0.8,0.0,0.2,1.0,0.0,James Sanders Jr. RECAP,1.0
31031,31030,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
31032,31032,100,222,0,14,236,236,0,0.940677966101695,0.0,0.059322033898305086,1.0,0.0,James Sanders Jr. RECAP,1.0
31033,31033,100,86,0,3,89,89,0,0.9662921348314607,0.0,0.033707865168539325,1.0,0.0,James Sanders Jr. RECAP,1.0
31034,31034,100,274,1,4,279,278,1,0.982078853046595,0.0035842293906810036,0.014336917562724014,0.996415770609319,0.0035842293906810036,James Sanders Jr. RECAP,0.996415770609319
31035,31035,100,196,1,8,205,204,1,0.9560975609756097,0.004878048780487805,0.03902439024390244,0.9951219512195122,0.004878048780487805,James Sanders Jr. RECAP,0.9951219512195122
31036,31036,100,238,1,2,241,240,1,0.9875518672199171,0.004149377593360996,0.008298755186721992,0.995850622406639,0.004149377593360996,James Sanders Jr. RECAP,0.995850622406639
31037,31037,100,208,0,2,210,210,0,0.9904761904761905,0.0,0.009523809523809525,1.0,0.0,James Sanders Jr. RECAP,1.0
