ED,Reported As,Reporting,Andrew D. Hevesi (Working Families),Andrew D. Hevesi (Democratic),Scattered,Total Votes,Andrew D. Hevesi RECAP,Scattered RECAP,p_Andrew D. Hevesi (Working Families),p_Andrew D. Hevesi (Democratic),p_Scattered,p_Andrew D. Hevesi RECAP,p_Scattered RECAP,winner,winner_p
28032,28032,100,14,116,2,132,130,2,0.10606060606060606,0.8787878787878788,0.015151515151515152,0.9848484848484849,0.015151515151515152,Andrew D. Hevesi RECAP,0.9848484848484849
28033,28033,100,0,7,0,7,7,0,0.0,1.0,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28034,28034,100,5,20,0,25,25,0,0.2,0.8,0.0,1.0,0.0,Andrew D. Hevesi RECAP,1.0
28035,28035,100,33,223,2,258,256,2,0.12790697674418605,0.8643410852713178,0.007751937984496124,0.9922480620155039,0.007751937984496124,Andrew D. Hevesi RECAP,0.9922480620155039
28036,28036,100,36,189,3,228,225,3,0.15789473684210525,0.8289473684210527,0.013157894736842105,0.9868421052631579,0.013157894736842105,Andrew D. Hevesi RECAP,0.9868421052631579
28037,28037,100,24,165,1,190,189,1,0.12631578947368421,0.868421052631579,0.005263157894736842,0.9947368421052631,0.005263157894736842,Andrew D. Hevesi RECAP,0.9947368421052631
28038,28038,100,31,186,2,219,217,2,0.1415525114155251,0.8493150684931506,0.0091324200913242,0.9908675799086758,0.0091324200913242,Andrew D. Hevesi RECAP,0.9908675799086758
28039,28039,100,27,220,3,250,247,3,0.108,0.88,0.012,0.988,0.012,Andrew D. Hevesi RECAP,0.988
28040,28040,100,30,195,4,229,225,4,0.13100436681222707,0.851528384279476,0.017467248908296942,0.982532751091703,0.017467248908296942,Andrew D. Hevesi RECAP,0.982532751091703
28041,28041,100,29,172,1,202,201,1,0.14356435643564355,0.8514851485148515,0.0049504950495049506,0.995049504950495,0.0049504950495049506,Andrew D. Hevesi RECAP,0.995049504950495
28042,28042,100,20,219,4,243,239,4,0.0823045267489712,0.9012345679012346,0.01646090534979424,0.9835390946502057,0.01646090534979424,Andrew D. Hevesi RECAP,0.9835390946502057
28043,28043,100,20,140,1,161,160,1,0.12422360248447205,0.8695652173913043,0.006211180124223602,0.9937888198757764,0.006211180124223602,Andrew D. Hevesi RECAP,0.9937888198757764
28044,28044,100,27,178,2,207,205,2,0.13043478260869565,0.8599033816425121,0.00966183574879227,0.9903381642512077,0.00966183574879227,Andrew D. Hevesi RECAP,0.9903381642512077
28045,28045,100,15,129,3,147,144,3,0.10204081632653061,0.8775510204081632,0.02040816326530612,0.9795918367346939,0.02040816326530612,Andrew D. Hevesi RECAP,0.9795918367346939
