ED,Reported As,Reporting,Scattered,Velmanette Montgomery (Democratic),Velmanette Montgomery (Working Families),Total Votes,Scattered RECAP,Velmanette Montgomery RECAP,p_Scattered,p_Velmanette Montgomery (Democratic),p_Velmanette Montgomery (Working Families),p_Scattered RECAP,p_Velmanette Montgomery RECAP,winner,winner_p
52053,52053,100,2,227,91,320,2,318,0.00625,0.709375,0.284375,0.00625,0.99375,Velmanette Montgomery RECAP,0.99375
52054,52054,100,0,106,4,110,0,110,0.0,0.9636363636363636,0.03636363636363636,0.0,1.0,Velmanette Montgomery RECAP,1.0
52055,52055,100,2,215,47,264,2,262,0.007575757575757576,0.8143939393939394,0.17803030303030304,0.007575757575757576,0.9924242424242424,Velmanette Montgomery RECAP,0.9924242424242424
52056,52056,100,1,101,21,123,1,122,0.008130081300813009,0.8211382113821138,0.17073170731707318,0.008130081300813009,0.991869918699187,Velmanette Montgomery RECAP,0.991869918699187
52057,52057,100,1,136,64,201,1,200,0.004975124378109453,0.6766169154228856,0.31840796019900497,0.004975124378109453,0.9950248756218906,Velmanette Montgomery RECAP,0.9950248756218906
52058,52058,100,0,129,65,194,0,194,0.0,0.6649484536082474,0.33505154639175255,0.0,1.0,Velmanette Montgomery RECAP,1.0
52059,52059,100,0,208,109,317,0,317,0.0,0.6561514195583596,0.3438485804416404,0.0,1.0,Velmanette Montgomery RECAP,1.0
52060,52060,100,0,167,81,248,0,248,0.0,0.6733870967741935,0.32661290322580644,0.0,1.0,Velmanette Montgomery RECAP,1.0
52061,52061,100,0,169,79,248,0,248,0.0,0.6814516129032258,0.3185483870967742,0.0,1.0,Velmanette Montgomery RECAP,1.0
52062,52062,100,3,196,85,284,3,281,0.01056338028169014,0.6901408450704225,0.2992957746478873,0.01056338028169014,0.9894366197183099,Velmanette Montgomery RECAP,0.9894366197183099
52063,52063,100,0,1,0,1,0,1,0.0,1.0,0.0,0.0,1.0,Velmanette Montgomery RECAP,1.0
52089,52089,100,4,192,131,327,4,323,0.012232415902140673,0.5871559633027523,0.40061162079510704,0.012232415902140673,0.9877675840978594,Velmanette Montgomery RECAP,0.9877675840978594
52090,52090,100,2,175,99,276,2,274,0.007246376811594203,0.6340579710144928,0.358695652173913,0.007246376811594203,0.9927536231884058,Velmanette Montgomery RECAP,0.9927536231884058
