ED,Reported As,Reporting,John A. Jasilli (Conservative),John A. Jasilli (Republican),Jo Anne Simon (Democratic),Scattered,Pete Sikora (Working Families),Total Votes,John A. Jasilli RECAP,Jo Anne Simon RECAP,Scattered RECAP,Pete Sikora RECAP,p_John A. Jasilli (Conservative),p_John A. Jasilli (Republican),p_Jo Anne Simon (Democratic),p_Scattered,p_Pete Sikora (Working Families),p_John A. Jasilli RECAP,p_Jo Anne Simon RECAP,p_Scattered RECAP,p_Pete Sikora RECAP,winner,winner_p
52011,52011,100,4,41,237,0,35,317,45,237,0,35,0.012618296529968454,0.12933753943217666,0.7476340694006309,0.0,0.11041009463722397,0.14195583596214512,0.7476340694006309,0.0,0.11041009463722397,Jo Anne Simon RECAP,0.7476340694006309
52012,52012,100,9,45,201,1,53,309,54,201,1,53,0.02912621359223301,0.14563106796116504,0.6504854368932039,0.003236245954692557,0.1715210355987055,0.17475728155339806,0.6504854368932039,0.003236245954692557,0.1715210355987055,Jo Anne Simon RECAP,0.6504854368932039
52013,52013,100,1,30,257,0,28,316,31,257,0,28,0.0031645569620253164,0.0949367088607595,0.8132911392405063,0.0,0.08860759493670886,0.0981012658227848,0.8132911392405063,0.0,0.08860759493670886,Jo Anne Simon RECAP,0.8132911392405063
52014,52014,100,6,27,234,1,59,327,33,234,1,59,0.01834862385321101,0.08256880733944955,0.7155963302752294,0.0030581039755351682,0.18042813455657492,0.10091743119266056,0.7155963302752294,0.0030581039755351682,0.18042813455657492,Jo Anne Simon RECAP,0.7155963302752294
52015,52015,100,1,41,266,0,58,366,42,266,0,58,0.00273224043715847,0.11202185792349727,0.726775956284153,0.0,0.15846994535519127,0.11475409836065574,0.726775956284153,0.0,0.15846994535519127,Jo Anne Simon RECAP,0.726775956284153
52016,52016,100,15,45,273,0,58,391,60,273,0,58,0.03836317135549872,0.11508951406649616,0.6982097186700768,0.0,0.1483375959079284,0.1534526854219949,0.6982097186700768,0.0,0.1483375959079284,Jo Anne Simon RECAP,0.6982097186700768
52017,52017,100,3,44,234,1,49,331,47,234,1,49,0.00906344410876133,0.13293051359516617,0.7069486404833837,0.0030211480362537764,0.14803625377643503,0.1419939577039275,0.7069486404833837,0.0030211480362537764,0.14803625377643503,Jo Anne Simon RECAP,0.7069486404833837
52018,52018,100,6,33,215,1,60,315,39,215,1,60,0.01904761904761905,0.10476190476190476,0.6825396825396826,0.0031746031746031746,0.19047619047619047,0.12380952380952381,0.6825396825396826,0.0031746031746031746,0.19047619047619047,Jo Anne Simon RECAP,0.6825396825396826
52019,52019,100,4,23,214,0,49,290,27,214,0,49,0.013793103448275862,0.07931034482758621,0.7379310344827587,0.0,0.16896551724137931,0.09310344827586207,0.7379310344827587,0.0,0.16896551724137931,Jo Anne Simon RECAP,0.7379310344827587
52020,52020,100,8,43,183,0,55,289,51,183,0,55,0.02768166089965398,0.14878892733564014,0.6332179930795848,0.0,0.1903114186851211,0.17647058823529413,0.6332179930795848,0.0,0.1903114186851211,Jo Anne Simon RECAP,0.6332179930795848
52021,52021,100,0,2,30,0,14,46,2,30,0,14,0.0,0.043478260869565216,0.6521739130434783,0.0,0.30434782608695654,0.043478260869565216,0.6521739130434783,0.0,0.30434782608695654,Jo Anne Simon RECAP,0.6521739130434783
52022,52022,100,3,7,124,0,28,162,10,124,0,28,0.018518518518518517,0.043209876543209874,0.7654320987654321,0.0,0.1728395061728395,0.06172839506172839,0.7654320987654321,0.0,0.1728395061728395,Jo Anne Simon RECAP,0.7654320987654321
52023,52023,100,13,56,441,0,87,597,69,441,0,87,0.021775544388609715,0.09380234505862646,0.7386934673366834,0.0,0.1457286432160804,0.11557788944723618,0.7386934673366834,0.0,0.1457286432160804,Jo Anne Simon RECAP,0.7386934673366834
52024,52024,100,2,3,32,0,12,49,5,32,0,12,0.04081632653061224,0.061224489795918366,0.6530612244897959,0.0,0.24489795918367346,0.10204081632653061,0.6530612244897959,0.0,0.24489795918367346,Jo Anne Simon RECAP,0.6530612244897959
52025,52025,100,4,15,108,0,18,145,19,108,0,18,0.027586206896551724,0.10344827586206896,0.7448275862068966,0.0,0.12413793103448276,0.1310344827586207,0.7448275862068966,0.0,0.12413793103448276,Jo Anne Simon RECAP,0.7448275862068966
52026,52026,100,4,9,132,0,54,199,13,132,0,54,0.020100502512562814,0.04522613065326633,0.6633165829145728,0.0,0.271356783919598,0.06532663316582915,0.6633165829145728,0.0,0.271356783919598,Jo Anne Simon RECAP,0.6633165829145728
52027,52027,100,3,6,71,0,16,96,9,71,0,16,0.03125,0.0625,0.7395833333333334,0.0,0.16666666666666666,0.09375,0.7395833333333334,0.0,0.16666666666666666,Jo Anne Simon RECAP,0.7395833333333334
52028,52028,100,3,29,223,0,45,300,32,223,0,45,0.01,0.09666666666666666,0.7433333333333333,0.0,0.15,0.10666666666666667,0.7433333333333333,0.0,0.15,Jo Anne Simon RECAP,0.7433333333333333
52029,52029,100,5,12,212,0,51,280,17,212,0,51,0.017857142857142856,0.04285714285714286,0.7571428571428571,0.0,0.18214285714285713,0.060714285714285714,0.7571428571428571,0.0,0.18214285714285713,Jo Anne Simon RECAP,0.7571428571428571
52030,52030,100,2,4,232,0,38,276,6,232,0,38,0.007246376811594203,0.014492753623188406,0.8405797101449275,0.0,0.13768115942028986,0.021739130434782608,0.8405797101449275,0.0,0.13768115942028986,Jo Anne Simon RECAP,0.8405797101449275
