ED,Reported As,Reporting,Crystal Collins (Independence),Robert L. Diamond (Conservative),Scattered,Ruth H. Thompson (Democratic),Robert L. Diamond (Republican),Total Votes,Crystal Collins RECAP,Robert L. Diamond RECAP,Scattered RECAP,Ruth H. Thompson RECAP,p_Crystal Collins (Independence),p_Robert L. Diamond (Conservative),p_Scattered,p_Ruth H. Thompson (Democratic),p_Robert L. Diamond (Republican),p_Crystal Collins RECAP,p_Robert L. Diamond RECAP,p_Scattered RECAP,p_Ruth H. Thompson RECAP,winner,winner_p
82090,82090,100,3,2,0,184,7,196,3,9,0,184,0.015306122448979591,0.01020408163265306,0.0,0.9387755102040817,0.03571428571428571,0.015306122448979591,0.04591836734693878,0.0,0.9387755102040817,Ruth H. Thompson RECAP,0.9387755102040817
82091,82091,100,4,5,0,186,8,203,4,13,0,186,0.019704433497536946,0.024630541871921183,0.0,0.916256157635468,0.03940886699507389,0.019704433497536946,0.06403940886699508,0.0,0.916256157635468,Ruth H. Thompson RECAP,0.916256157635468
82092,82092,100,7,4,0,234,17,262,7,21,0,234,0.026717557251908396,0.015267175572519083,0.0,0.8931297709923665,0.0648854961832061,0.026717557251908396,0.08015267175572519,0.0,0.8931297709923665,Ruth H. Thompson RECAP,0.8931297709923665
82093,82093,100,5,3,0,138,7,153,5,10,0,138,0.032679738562091505,0.0196078431372549,0.0,0.9019607843137255,0.0457516339869281,0.032679738562091505,0.06535947712418301,0.0,0.9019607843137255,Ruth H. Thompson RECAP,0.9019607843137255
82094,82094,100,5,1,0,168,10,184,5,11,0,168,0.02717391304347826,0.005434782608695652,0.0,0.9130434782608695,0.05434782608695652,0.02717391304347826,0.059782608695652176,0.0,0.9130434782608695,Ruth H. Thompson RECAP,0.9130434782608695
82095,82095,100,4,5,0,153,7,169,4,12,0,153,0.023668639053254437,0.029585798816568046,0.0,0.9053254437869822,0.04142011834319527,0.023668639053254437,0.07100591715976332,0.0,0.9053254437869822,Ruth H. Thompson RECAP,0.9053254437869822
82096,82096,100,3,1,0,162,2,168,3,3,0,162,0.017857142857142856,0.005952380952380952,0.0,0.9642857142857143,0.011904761904761904,0.017857142857142856,0.017857142857142856,0.0,0.9642857142857143,Ruth H. Thompson RECAP,0.9642857142857143
82097,82097,100,8,1,1,189,12,211,8,13,1,189,0.037914691943127965,0.004739336492890996,0.004739336492890996,0.8957345971563981,0.05687203791469194,0.037914691943127965,0.061611374407582936,0.004739336492890996,0.8957345971563981,Ruth H. Thompson RECAP,0.8957345971563981
82098,82098,100,7,7,0,234,17,265,7,24,0,234,0.026415094339622643,0.026415094339622643,0.0,0.8830188679245283,0.06415094339622641,0.026415094339622643,0.09056603773584905,0.0,0.8830188679245283,Ruth H. Thompson RECAP,0.8830188679245283
82099,82099,100,7,3,0,233,5,248,7,8,0,233,0.028225806451612902,0.012096774193548387,0.0,0.9395161290322581,0.020161290322580645,0.028225806451612902,0.03225806451612903,0.0,0.9395161290322581,Ruth H. Thompson RECAP,0.9395161290322581
82100,82100,100,5,3,0,200,6,214,5,9,0,200,0.02336448598130841,0.014018691588785047,0.0,0.9345794392523364,0.028037383177570093,0.02336448598130841,0.04205607476635514,0.0,0.9345794392523364,Ruth H. Thompson RECAP,0.9345794392523364
82101,82101,100,0,4,0,197,3,204,0,7,0,197,0.0,0.0196078431372549,0.0,0.9656862745098039,0.014705882352941176,0.0,0.03431372549019608,0.0,0.9656862745098039,Ruth H. Thompson RECAP,0.9656862745098039
82102,82102,100,2,1,0,165,4,172,2,5,0,165,0.011627906976744186,0.005813953488372093,0.0,0.9593023255813954,0.023255813953488372,0.011627906976744186,0.029069767441860465,0.0,0.9593023255813954,Ruth H. Thompson RECAP,0.9593023255813954
82103,82103,100,3,0,0,157,4,164,3,4,0,157,0.018292682926829267,0.0,0.0,0.9573170731707317,0.024390243902439025,0.018292682926829267,0.024390243902439025,0.0,0.9573170731707317,Ruth H. Thompson RECAP,0.9573170731707317
82104,82104,100,4,2,0,221,8,235,4,10,0,221,0.01702127659574468,0.00851063829787234,0.0,0.9404255319148936,0.03404255319148936,0.01702127659574468,0.0425531914893617,0.0,0.9404255319148936,Ruth H. Thompson RECAP,0.9404255319148936
82105,82105,100,5,2,0,220,9,236,5,11,0,220,0.0211864406779661,0.00847457627118644,0.0,0.9322033898305084,0.038135593220338986,0.0211864406779661,0.046610169491525424,0.0,0.9322033898305084,Ruth H. Thompson RECAP,0.9322033898305084
82109,82109,100,3,0,0,67,5,75,3,5,0,67,0.04,0.0,0.0,0.8933333333333333,0.06666666666666667,0.04,0.06666666666666667,0.0,0.8933333333333333,Ruth H. Thompson RECAP,0.8933333333333333
82110,82054,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
82111,82111,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
82113,82111,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
82116,82111,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
83001,83001,100,1,7,0,235,9,252,1,16,0,235,0.003968253968253968,0.027777777777777776,0.0,0.9325396825396826,0.03571428571428571,0.003968253968253968,0.06349206349206349,0.0,0.9325396825396826,Ruth H. Thompson RECAP,0.9325396825396826
83002,83002,100,0,0,0,23,2,25,0,2,0,23,0.0,0.0,0.0,0.92,0.08,0.0,0.08,0.0,0.92,Ruth H. Thompson RECAP,0.92
83003,83003,100,5,0,0,138,4,147,5,4,0,138,0.034013605442176874,0.0,0.0,0.9387755102040817,0.027210884353741496,0.034013605442176874,0.027210884353741496,0.0,0.9387755102040817,Ruth H. Thompson RECAP,0.9387755102040817
83004,83004,100,2,2,3,64,5,76,2,7,3,64,0.02631578947368421,0.02631578947368421,0.039473684210526314,0.8421052631578947,0.06578947368421052,0.02631578947368421,0.09210526315789473,0.039473684210526314,0.8421052631578947,Ruth H. Thompson RECAP,0.8421052631578947
83005,83005,100,1,0,0,30,1,32,1,1,0,30,0.03125,0.0,0.0,0.9375,0.03125,0.03125,0.03125,0.0,0.9375,Ruth H. Thompson RECAP,0.9375
83006,83006,100,4,0,0,178,2,184,4,2,0,178,0.021739130434782608,0.0,0.0,0.967391304347826,0.010869565217391304,0.021739130434782608,0.010869565217391304,0.0,0.967391304347826,Ruth H. Thompson RECAP,0.967391304347826
83007,83007,100,4,1,0,233,3,241,4,4,0,233,0.016597510373443983,0.004149377593360996,0.0,0.966804979253112,0.012448132780082987,0.016597510373443983,0.016597510373443983,0.0,0.966804979253112,Ruth H. Thompson RECAP,0.966804979253112
83008,83008,100,0,0,0,147,4,151,0,4,0,147,0.0,0.0,0.0,0.9735099337748344,0.026490066225165563,0.0,0.026490066225165563,0.0,0.9735099337748344,Ruth H. Thompson RECAP,0.9735099337748344
83009,83009,100,0,1,0,163,1,165,0,2,0,163,0.0,0.006060606060606061,0.0,0.9878787878787879,0.006060606060606061,0.0,0.012121212121212121,0.0,0.9878787878787879,Ruth H. Thompson RECAP,0.9878787878787879
83010,83010,100,2,0,0,295,4,301,2,4,0,295,0.006644518272425249,0.0,0.0,0.9800664451827242,0.013289036544850499,0.006644518272425249,0.013289036544850499,0.0,0.9800664451827242,Ruth H. Thompson RECAP,0.9800664451827242
83011,83011,100,0,0,0,194,6,200,0,6,0,194,0.0,0.0,0.0,0.97,0.03,0.0,0.03,0.0,0.97,Ruth H. Thompson RECAP,0.97
83012,83012,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
83013,83013,100,2,1,0,197,7,207,2,8,0,197,0.00966183574879227,0.004830917874396135,0.0,0.9516908212560387,0.033816425120772944,0.00966183574879227,0.03864734299516908,0.0,0.9516908212560387,Ruth H. Thompson RECAP,0.9516908212560387
