ED,Reported As,Reporting,Kevin R. Bryant Sr. (Working Families),Matthew A. Doheny (Conservative),Kenneth Schaeffer (Working Families),Evelyn J. Laporte (Democratic),Dennis W. Houdek (Conservative),Kathy J. King (Democratic),Wavny Toussaint (Democratic),Anthony R. Caccamo (Conservative),Philip J. Smallman (Conservative),Lara J. Genovesi (Democratic),Scattered,Total Votes,Kevin R. Bryant Sr. RECAP,Matthew A. Doheny RECAP,Kenneth Schaeffer RECAP,Evelyn J. Laporte RECAP,Dennis W. Houdek RECAP,Kathy J. King RECAP,Wavny Toussaint RECAP,Anthony R. Caccamo RECAP,Philip J. Smallman RECAP,Lara J. Genovesi RECAP,Scattered RECAP,p_Kevin R. Bryant Sr. (Working Families),p_Matthew A. Doheny (Conservative),p_Kenneth Schaeffer (Working Families),p_Evelyn J. Laporte (Democratic),p_Dennis W. Houdek (Conservative),p_Kathy J. King (Democratic),p_Wavny Toussaint (Democratic),p_Anthony R. Caccamo (Conservative),p_Philip J. Smallman (Conservative),p_Lara J. Genovesi (Democratic),p_Scattered,p_Kevin R. Bryant Sr. RECAP,p_Matthew A. Doheny RECAP,p_Kenneth Schaeffer RECAP,p_Evelyn J. Laporte RECAP,p_Dennis W. Houdek RECAP,p_Kathy J. King RECAP,p_Wavny Toussaint RECAP,p_Anthony R. Caccamo RECAP,p_Philip J. Smallman RECAP,p_Lara J. Genovesi RECAP,p_Scattered RECAP,winner,winner_p
41024,41024,100,1,6,5,12,5,14,10,6,9,9,0,77,1,6,5,12,5,14,10,6,9,9,0,0.012987012987012988,0.07792207792207792,0.06493506493506493,0.15584415584415584,0.06493506493506493,0.18181818181818182,0.12987012987012986,0.07792207792207792,0.11688311688311688,0.11688311688311688,0.0,0.012987012987012988,0.07792207792207792,0.06493506493506493,0.15584415584415584,0.06493506493506493,0.18181818181818182,0.12987012987012986,0.07792207792207792,0.11688311688311688,0.11688311688311688,0.0,Kathy J. King RECAP,0.18181818181818182
41025,41025,100,2,4,2,14,4,11,16,4,5,13,0,75,2,4,2,14,4,11,16,4,5,13,0,0.02666666666666667,0.05333333333333334,0.02666666666666667,0.18666666666666668,0.05333333333333334,0.14666666666666667,0.21333333333333335,0.05333333333333334,0.06666666666666667,0.17333333333333334,0.0,0.02666666666666667,0.05333333333333334,0.02666666666666667,0.18666666666666668,0.05333333333333334,0.14666666666666667,0.21333333333333335,0.05333333333333334,0.06666666666666667,0.17333333333333334,0.0,Wavny Toussaint RECAP,0.21333333333333335
41026,41026,100,1,1,1,18,1,20,18,1,0,15,0,76,1,1,1,18,1,20,18,1,0,15,0,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.23684210526315788,0.013157894736842105,0.2631578947368421,0.23684210526315788,0.013157894736842105,0.0,0.19736842105263158,0.0,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.23684210526315788,0.013157894736842105,0.2631578947368421,0.23684210526315788,0.013157894736842105,0.0,0.19736842105263158,0.0,Kathy J. King RECAP,0.2631578947368421
41027,41027,100,7,15,8,91,12,91,88,15,13,84,0,424,7,15,8,91,12,91,88,15,13,84,0,0.01650943396226415,0.03537735849056604,0.018867924528301886,0.21462264150943397,0.02830188679245283,0.21462264150943397,0.20754716981132076,0.03537735849056604,0.030660377358490566,0.19811320754716982,0.0,0.01650943396226415,0.03537735849056604,0.018867924528301886,0.21462264150943397,0.02830188679245283,0.21462264150943397,0.20754716981132076,0.03537735849056604,0.030660377358490566,0.19811320754716982,0.0,Tie,0.21462264150943397
41028,41028,100,18,20,12,178,20,170,160,28,25,164,0,795,18,20,12,178,20,170,160,28,25,164,0,0.022641509433962263,0.025157232704402517,0.01509433962264151,0.2238993710691824,0.025157232704402517,0.2138364779874214,0.20125786163522014,0.03522012578616352,0.031446540880503145,0.20628930817610064,0.0,0.022641509433962263,0.025157232704402517,0.01509433962264151,0.2238993710691824,0.025157232704402517,0.2138364779874214,0.20125786163522014,0.03522012578616352,0.031446540880503145,0.20628930817610064,0.0,Evelyn J. Laporte RECAP,0.2238993710691824
41029,41029,100,0,0,0,4,0,5,3,0,0,4,0,16,0,0,0,4,0,5,3,0,0,4,0,0.0,0.0,0.0,0.25,0.0,0.3125,0.1875,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.3125,0.1875,0.0,0.0,0.25,0.0,Kathy J. King RECAP,0.3125
41030,41030,100,8,2,8,105,5,101,98,2,3,92,0,424,8,2,8,105,5,101,98,2,3,92,0,0.018867924528301886,0.0047169811320754715,0.018867924528301886,0.24764150943396226,0.01179245283018868,0.23820754716981132,0.23113207547169812,0.0047169811320754715,0.007075471698113208,0.2169811320754717,0.0,0.018867924528301886,0.0047169811320754715,0.018867924528301886,0.24764150943396226,0.01179245283018868,0.23820754716981132,0.23113207547169812,0.0047169811320754715,0.007075471698113208,0.2169811320754717,0.0,Evelyn J. Laporte RECAP,0.24764150943396226
41031,41031,100,9,0,8,175,1,150,147,5,2,133,0,630,9,0,8,175,1,150,147,5,2,133,0,0.014285714285714285,0.0,0.012698412698412698,0.2777777777777778,0.0015873015873015873,0.23809523809523808,0.23333333333333334,0.007936507936507936,0.0031746031746031746,0.2111111111111111,0.0,0.014285714285714285,0.0,0.012698412698412698,0.2777777777777778,0.0015873015873015873,0.23809523809523808,0.23333333333333334,0.007936507936507936,0.0031746031746031746,0.2111111111111111,0.0,Evelyn J. Laporte RECAP,0.2777777777777778
41032,41032,100,13,2,14,129,3,121,108,2,2,99,1,494,13,2,14,129,3,121,108,2,2,99,1,0.02631578947368421,0.004048582995951417,0.02834008097165992,0.2611336032388664,0.006072874493927126,0.24493927125506074,0.21862348178137653,0.004048582995951417,0.004048582995951417,0.20040485829959515,0.0020242914979757085,0.02631578947368421,0.004048582995951417,0.02834008097165992,0.2611336032388664,0.006072874493927126,0.24493927125506074,0.21862348178137653,0.004048582995951417,0.004048582995951417,0.20040485829959515,0.0020242914979757085,Evelyn J. Laporte RECAP,0.2611336032388664
41033,41033,100,16,6,18,144,4,137,123,3,3,111,0,565,16,6,18,144,4,137,123,3,3,111,0,0.02831858407079646,0.010619469026548672,0.03185840707964602,0.25486725663716814,0.007079646017699115,0.2424778761061947,0.2176991150442478,0.005309734513274336,0.005309734513274336,0.19646017699115045,0.0,0.02831858407079646,0.010619469026548672,0.03185840707964602,0.25486725663716814,0.007079646017699115,0.2424778761061947,0.2176991150442478,0.005309734513274336,0.005309734513274336,0.19646017699115045,0.0,Evelyn J. Laporte RECAP,0.25486725663716814
